"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",7.075796,
"AUT","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",29.33455,
"BEL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",7.79338,
"CAN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",16.75163,
"CZE","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",10.15497,
"DNK","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",33.15907,
"FIN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",33.8208,
"FRA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",10.3907,
"DEU","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",13.86558,
"GRC","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",12.48338,
"HUN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",10.41176,
"ISL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",88.70075,
"IRL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",10.38431,
"ITA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",17.72249,
"JPN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",5.882878,
"KOR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",1.943619,
"LUX","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",7.510895,
"MEX","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",8.980627,
"NLD","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",6.04382,
"NZL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",42.11451,
"NOR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",48.92325,
"POL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",8.530004,
"PRT","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",24.94435,
"SVK","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",9.110817,
"ESP","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",14.35405,
"SWE","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",37.82301,
"CHE","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",21.5005,
"TUR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",13.27799,
"GBR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",10.83259,
"USA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",7.727601,
"ALB","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",43.66438,
"DZA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",0.1460285,
"AGO","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",46.29088,
"ARG","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",8.208918,
"ARM","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",9.763218,
"AZE","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",1.655307,
"BHR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",0,
"BGD","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",23.26197,
"BLR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",5.83392,
"BEN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",51.60244,
"BOL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",9.410636,
"BIH","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",23.48688,
"BWA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",20.09148,
"BRA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",44.89628,
"BRN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",0,
"BGR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",13.12716,
"KHM","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",61.04339,
"CMR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",74.07063,
"CHL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",28.76635,
"CHN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",9.242439,
"COL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",26.02172,
"COG","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",58.72054,
"CRI","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",46.79276,
"CIV","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",62.68168,
"HRV","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",25.4849,
"CUB","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",18.69168,
"CYP","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",8.567604,
"COD","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",97.62378,
"DOM","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",12.47156,
"ECU","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",15.95541,
"EGY","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",3.860111,
"SLV","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",46.85185,
"ERI","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",73.24914,
"EST","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",18.44288,
"ETH","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",90.79759,
"GAB","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",76.96218,
"GEO","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",23.76931,
"GHA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",44.59076,
"GTM","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",63.41933,
"HTI","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",75.35885,
"HND","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",48.92654,
"IND","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",22.59242,
"IDN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",25.69829,
"IRN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",0.7199443,
"IRQ","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",0.3230717,
"ISR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",2.479043,
"JAM","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",9.116708,
"JOR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",5.501263,
