"GEO$Country" "GEO_2_avg"
"1" "BE" 0
"2" "BG" 0
"3" "CZ" 0
"4" "DK" 0
"5" "DE" 0.000134219357932788
"6" "EE" 0
"7" "IE" 0
"8" "EL" 0
"9" "ES" 0
"10" "FR" 0.00010368370028452
"11" "HR" 0.000457253643168402
"12" "IT" 0.00669594152248539
"13" "CY" 0
"14" "LV" 0
"15" "LT" 0
"16" "LU" 0
"17" "HU" 0.000104107624148342
"18" "MT" 0
"19" "NL" 0
"20" "AT" 4.16678330156883e-05
"21" "PL" 0
"22" "PT" 0.00145979654098232
"23" "RO" 7.52400296138737e-07
"24" "SI" 0
"25" "SK" 0
"26" "FI" 0
"27" "SE" 0
"28" "IS" 0.244507275651528
"29" "NO" 0
"30" "UK" 0
"31" "MK" 0
"32" "AL" 0
"33" "RS" 0
"34" "TR" 0.00964950348207649
"35" "XK" 0
"36" "UA" 0
