"HYDRO$Country" "HYDRO_2_avg"
"1" "BE" 0.0837970145035898
"2" "BG" 0.297226463997246
"3" "CZ" 0.105404031822535
"4" "DK" 0.000642085969438031
"5" "DE" 0.0588268060991823
"6" "EE" 0.0023288426805484
"7" "IE" 0.051054446268911
"8" "EL" 0.185532500032636
"9" "ES" 0.194160703605475
"10" "FR" 0.203795754101712
"11" "HR" 0.496129347910579
"12" "IT" 0.195912424024907
"13" "CY" 0
"14" "LV" 0.564438125667022
"15" "LT" 0.254367129011665
"16" "LU" 0.762564158130146
"17" "HU" 0.00652407777996275
"18" "MT" 0
"19" "NL" 0.00151043846469204
"20" "AT" 0.601699750057148
"21" "PL" 0.0666247312087064
"22" "PT" 0.347948365877706
"23" "RO" 0.327960695290706
"24" "SI" 0.376520321664772
"25" "SK" 0.360025411859831
"26" "FI" 0.213032437736575
"27" "SE" 0.431383771975887
"28" "IS" 0.712829588502274
"29" "NO" 0.941421435878919
"30" "UK" 0.0529296961166094
"31" "MK" 0.357721827221483
"32" "AL" 0.957816377171216
"33" "RS" 0.497111051308161
"34" "TR" 0.346700956900903
"35" "XK" 0.0724375101897783
"36" "UA" 0.112833257733322
