"PV$Country" "PV_2_avg"
"1" "BE" 0.000270820025374659
"2" "BG" 0.0773287556332427
"3" "CZ" 0.103269946963654
"4" "DK" 0
"5" "DE" 0.195753363176362
"6" "EE" 0.00639890984206409
"7" "IE" 0
"8" "EL" 0.116024778949356
"9" "ES" 0.0505320788306933
"10" "FR" 0.0371263468226436
"11" "HR" 0.00850720403114812
"12" "IT" 0.150641611211427
"13" "CY" 0.0270115890108336
"14" "LV" 1.5661947367112e-05
"15" "LT" 0.0157274679356973
"16" "LU" 0
"17" "HU" 0.0123194021908871
"18" "MT" 0
"19" "NL" 0.00646575434713784
"20" "AT" 0.0385373818125627
"21" "PL" 0
"22" "PT" 0.0123258864268051
"23" "RO" 0.0310137596307677
"24" "SI" 0.00169805882985495
"25" "SK" 0.0171818824990254
"26" "FI" 9.09098029299251e-05
"27" "SE" 0.00470761830746288
"28" "IS" 0
"29" "NO" 0
"30" "UK" 0.0188333083471679
"31" "MK" 0.00635356362695348
"32" "AL" 0.000844728367034476
"33" "RS" 0.000962244623387657
"34" "TR" 0.0176004940028493
"35" "XK" 0.00310143242634325
"36" "UA" 0.011710901187476
