"Country" "TOTAL_2_avg"
"1" "BE" 16985.45
"2" "BG" 10877.1943
"3" "CZ" 19528.1363
"4" "DK" 12882.0756
"5" "DE" 188497.4
"6" "EE" 2773.91
"7" "IE" 9217.6105
"8" "EL" 17947.7989
"9" "ES" 98296.0174
"10" "FR" 124899.0918
"11" "HR" 4373.94
"12" "IT" 112270.5444
"13" "CY" 1678.2019
"14" "LV" 2790.2022
"15" "LT" 3446.2
"16" "LU" 1639.0752
"17" "HU" 8644.9
"18" "MT" 583.7
"19" "NL" 24496.1982
"20" "AT" 21980.9847
"21" "PL" 35548.1194
"22" "PT" 17968.2574
"23" "RO" 19936.1963
"24" "SI" 3139.4672
"25" "SK" 6925.9
"26" "FI" 14299.888
"27" "SE" 38087.2
"28" "IS" 2775.4078
"29" "NO" 33234
"30" "UK" 81043.5146
"31" "MK" 1759.7998
"32" "AL" 1894.1
"33" "RS" 6027.5733
"34" "TR" 66240.5896
"35" "XK" 989.3493
"36" "UA" 51873.89
