ut	nuts2
000082942700022	HR03
000085521800037	NL22
000086361700001	UKI3
000086361700001	UKI7
000086361700001	UKL2
000086398600004	EL30
000088561100044	FR10
000088561100044	FRL0
000088738300032	DE92
000089656300004	FRJ2
000089806300004	DK05
000089806300004	SE23
000166233500009	NL33
000166233500009	RO32
000169098100019	FRL0
000169098100031	ES61
000169098100031	ES70
000169455400010	SE12
000171751500015	EL30
000171751500019	CY00
000171751500021	FRJ2
000172551900006	UKF1
000172590900006	ES70
000173003900004	FI1B
000173085900003	DE30
000173085900005	DE30
000173924200006	EL30
000174269400006	TR33
000174603200015	DK01
000174867400005	NL22
000176239000001	ES70
000177361000011	PL41
000177361000011	PL84
000177374000001	ITI1
000177846300022	UKH2
000177989100011	EL30
000179161800001	ES51
000179432000005	TRC1
000180486800001	UKF2
000180486800002	UKF2
000180997500016	ES51
000181227400005	DED4
000182421600018	SE23
000182693200001	ITF5
000185264600011	NL22
000185812200016	NL22
000187671200002	EL30
000187671200004	EL30
000187671200004	UKM8
000187671200005	ES70
000189084700015	NL22
000189084700015	NL33
000189136800004	ES70
000220160000007	FI1B
000223116600006	DEA4
000223397400010	ES51
000224664000002	ES51
000225196900009	EL30
000225521100011	FRH0
000225521100011	FRJ2
000225723800059	ITH3
000225723800059	ITI3
000226128100013	ES51
000226727600018	FI19
000228221800021	TR31
000229877900013	FRF3
000229877900013	FRI1
000230054700036	ITF6
000230061400002	CY00
000231237200023	ES61
000233390000006	FR10
000233488600004	DE13
000233488600004	DE21
000233488600004	ES70
000233488600004	TR10
000233745800009	DEA2
000234061800001	UKF2
000234102900037	ES61
000234658500011	ES61
000234768800003	DE11
000234818200025	UKF1
000235682700012	NL22
000235682700012	NL33
000235917100029	SE33
000236300100028	ITI1
000236430000007	CH01
000236432000001	AT13
000237177300026	NL33
000237215200021	DE40
000237219400006	CZ01
000237219400006	SE22
000239196200018	FRJ2
000239196200019	CH04
000239612300003	CZ01
000239612300003	SE22
000239935400034	PT16
000240251700007	EL30
000240323700012	NO0A
000240934700004	PL21
000241249100013	FRK2
000241644200057	NL31
000242105100005	TR31
000242105100007	ITI4
000242758100008	FI1B
000243112300001	UKI3
000243378600036	SE11
000243741700023	FR10
000243741700023	FRK2
000244548500037	EL30
000245417100004	ITG1
000245417100004	UKI3
000245417100014	ES61
000245417100022	EL30
000245417100023	PT16
000245417100026	ES70
000245589300010	TR31
000245589300010	TR33
000245895400003	IE04
000245895400003	IE05
000246018100003	CH04
000246922800016	AT13
000248088700005	FR10
000248109600009	SE22
000249137500019	UKM8
000250696900003	TR31
000250705400006	EL30
000250705400011	ITG1
000251011500003	UKD4
000251104000008	CY00
000251977800020	TRC1
000252594200006	IE05
000253382900014	ITG1
000254024800064	ES61
000254024800064	ES70
000254510200055	EL30
000254781100035	UKF1
000254781100035	UKJ1
000255082500010	SI03
000255082500010	SI04
000255166600022	SE22
000255586000005	UKC2
000255586000005	UKI3
000255606800013	DEF0
000255606800013	NO06
000255606800013	NO08
000255745700009	NO0A
000256084700003	DE92
000256084700003	NL31
000256084700003	SE11
000256440600014	UKI3
000256440600014	UKK1
000256612200005	DEA2
000256915400024	IE04
000257982300002	FR10
000258089800003	DEA2
000258542500009	UKF1
000258542500009	UKJ1
000259171700024	ES61
000259171700024	FRK2
000259171700024	NO08
000259630000008	DE71
000259630000008	SE22
000259630000009	TR31
000259881700012	ES51
000259888700008	UKG3
000259888700008	UKH2
000260152300013	FI1D
000260265200011	UKN0
000260265200036	ITI4
000260921400031	BE21
000260949100011	ES51
000261710200005	TR31
000262055900019	FR10
000262292400099	ES61
000262292400099	FRK2
000262292400099	NO08
000262529500005	ITF4
000262551000031	ES51
000262623100007	HR05
000262742400015	ES62
000263453900010	RO32
000264049600008	FR10
000264306500021	EL30
000264569300033	ITH2
000264569300033	ITH3
000264569300033	ITI3
000264704700004	TRB1
000264739200017	SE22
000265473900009	TR31
000265722300002	ES11
000265735300041	TR31
000265735300041	TR33
000266019300003	TR31
000266019300021	ES61
000266057600016	NO06
000266720200008	ES61
000267104800009	UKC2
000267104800009	UKF1
000267568800014	ITI3
000267958400009	ES52
000268429500008	FR10
000268429500009	FR10
000268429500012	FR10
000268429500014	NL31
000268446400002	ES51
000268548900008	UKI3
000268949300008	UKI3
000269089300007	UKH2
000269141300019	FRK2
000269347000045	EL30
000269595900006	ITC1
000269711300044	FRK2
000269919900018	ES51
000271269500010	ITI4
000271588000027	NL12
000271588000027	NL21
000271588000027	NL22
000271588000027	NL33
000271715900028	DE12
000272180000002	DE11
000272180000002	DE92
000272180000002	DEA2
000272180000002	FR10
000272180000002	FRB0
000272180000002	NL33
000272180000002	NO0A
000272180000002	UKM7
000272364300013	ES24
000272383900017	UKF1
000272596100001	ITI4
000276074402125	FR10
000276074402125	FRB0
000276074402125	FRF3
000276074402125	FRI1
000276074402125	FRK2
000276074403076	NL31
000281344000046	TR61
000281344000046	TRC1
000307633800010	UKC1
000319085500050	TR31
000319085500050	TR33
000345725400036	UKJ3
000349875900034	CH04
000351788700091	ITH2
000351788700091	UKJ3
000353747900017	CH04
000370239800048	ITC1
