ut	nuts2
000244997900007	CH01
000261426600002	DEE0
000243443000010	SE22
000227357207074	FRF1
000271489700071	DEG0
000262355000038	DE21
000176089200027	ES30
000240876600037	NL32
000237950200074	FR10
000248500800146	ES30
000168814200010	DEA1
000089908900035	DE14
000180528600003	DE14
000243904800008	SE11
000231247100013	FR10
000224685600015	DEB3
000246072200042	PL91
000243684100052	BE24
000230374600011	BG41
000251987600028	SE12
000181863200042	FRK2
000243839600002	IE05
000252890700117	FRK1
000090078200009	DE91
000237437100010	DE12
000229878200012	FRJ2
000261710700015	ES51
000179629300021	FR10
000236430000001	ES21
000241855500019	SI04
000171862800009	NO0A
000246832900004	UKM8
000183531400014	UKJ3
000269745700006	FRH0
000243082800009	AT22
000228078700019	DEC0
000169828700008	NL22
000255554900012	UKM7
000236500000030	CZ01
000235988600009	CH01
000171014800018	FR10
000260498401646	DE25
000262978600053	UKJ2
000172206300009	NL11
000231030900011	FRG0
000235689200004	DEA2
000266296800005	ES51
000239750900010	AT13
000180069000058	SE12
000263642300008	SE11
000171334500023	DE71
000169444500023	UKJ3
000233896500009	CH01
000189483800050	ITC4
000178867200223	DEA5
000268089200092	CH02
000266977000002	UKE4
000266263300170	UKH1
000263298700044	DED2
000263573400010	DE80
000246744800006	DED4
000239069300012	ITC4
000227933200003	CH01
000185842800002	DK01
000227414900026	DE14
000232565900015	DEB3
000209672200014	DEA2
000185089800049	SE22
000248060100015	FR10
000252257700021	NL32
000222855400055	FRK2
000220510500087	CZ01
000247367400018	IE06
000179999700011	UKJ2
000187943300008	DE11
000249232300017	ITC4
000238128200023	UKI3
000183439100005	CH01
000260498401783	ES51
000253830300035	IE05
000184085000077	NL32
000090034400023	EL63
000175101100034	PL21
000226460900010	FRK2
000171791900017	LT01
000247625100048	SE22
000229111501033	CH04
000371601800030	FRK2
000261937300006	UKJ1
000180323900002	SE31
000251799800043	DE94
000182769400043	FRF1
000262960800118	DE25
000274991300047	DE30
000259673500104	PL63
000265677100057	FRK2
000266519900030	UKJ2
000228514800023	IE05
000269654900025	FRJ2
000188665800009	UKH1
000165202200048	DE72
000185967300008	NL11
000238143300001	FRJ1
000230712500014	PL41
000242427200002	UKL2
000229926500003	ITC4
000273336700037	DE21
000182195800026	FRC2
000267460100058	BE24
000257841400023	PL61
000268175800035	FRI1
000225620100009	UKJ2
000263431600013	EL30
000186554500052	NL41
000270295300103	UKI3
000243897700003	ES51
000241314800007	ITF4
000262584700004	ITF1
000220727000031	DEB3
000270624200016	FRI1
000226962100062	FRI1
000227246800033	UKH2
000252862000133	DE12
000186111000036	FRB0
000226484200025	UKM7
000280345900497	NL32
000183134400011	NL41
000225597100008	UKJ1
000253594300026	DE25
000234158400002	EL52
000269215900001	FR10
000268481500007	CH03
000256597400005	UKH1
000227172200023	FRF1
000179806200012	DED2
000238474700082	FRK2
000242515800014	FR10
000185657400026	UKD7
000266253100072	SI04
000252508900032	UKM8
000222708700014	NL41
