ut	nuts2
000171825100008	UKI3
000184389700004	NO06
000262971800102	SE12
000228065600048	NL11
000246313000049	ITH4
000241723700076	FRJ2
000256087700002	FRK2
000250620600123	UKH1
000227311900019	FRG0
000265944200088	SE22
000229361300021	DE21
000263828200021	SE12
000253260000017	PT15
000245798700042	FRK2
000247349400023	DED2
000254543000147	FI1D
000246890800063	NL33
000188057000002	DEA4
000269988600037	ITH3
000227750100015	NL41
000248330700031	UKI3
000224411400051	PT17
000177582600050	DE72
000238893000021	CH04
000236926300002	ITC4
000237951400090	FRK2
000265179000013	UKE3
000261518300018	ITC4
000234500100033	NL41
000242941600075	CH01
000180517000046	FR10
000246271100018	ES21
000241641900023	DE12
000252411700010	UKN0
000265890300016	ITH4
000249357500001	UKC1
000251032300003	ITF3
000186513200009	UKH1
000258706600004	ITC1
000266181300002	DEA2
000232991900010	DK01
000172329900003	CH01
000240025100005	DE21
000246776100046	SE23
000086005100010	UKH1
000272912000005	TR83
000241106800022	UKM7
000258440700013	DEG0
000087059500021	ITH4
000227311900019	FR10
000266285400007	NL41
000250092000006	UKM7
000257376400011	FRG0
000247619200018	ES51
000243817900008	TR10
000238249000015	UKI3
000239913800008	TRB1
000183378800053	DED2
000088706800015	DE40
000176179700005	NL22
000188491600016	ITC4
000234699200030	LV00
000408286900010	DEA2
000263432500009	EL43
000235538700008	CH03
000175564100049	DE11
000235303100007	DE13
000245799100013	ITC4
000260581800051	DE30
000184977900003	NL22
000237716100001	ES30
000169215300004	DK02
000223837200003	UKH1
000246509800038	FRI3
000257878600016	PT17
000237998300024	TR31
000245433800024	DE11
000234410300016	FI1C
000242220400008	UKF2
000246568600141	DED2
000242382200008	ES52
000255901700036	ITC3
000226703400004	PL91
000254292400100	UKJ3
000271271800074	FRJ1
000257260800008	CH04
000265030000065	ITH5
000165963000008	SE33
000233916800005	ES30
000261839200002	CZ01
000238243800011	UKF2
000240959500001	DE13
000233775400009	NL41
000259078500004	CH04
000250092000006	UKJ1
000268329200010	CZ03
000240236800113	FR10
000240072000009	DK05
000271208600002	FRK2
000222159700002	UKF1
000242520700002	NL41
000238038400005	FRF3
000183160500007	ITF4
000174181800005	UKH1
000084606300011	DE71
000249023200016	DE92
000255626700086	EL30
000177042800059	DE71
000229277400017	ES24
000222005200010	DEG0
000181918600007	ES11
000269557000048	UKJ3
000264111200017	DE24
000265794500008	PT17
000233983900043	FRL0
000268059500015	FR10
000253346900001	CZ08
000248487900037	CH04
000226342900010	FR10
000247148200003	UKI3
000244509300021	DE60
000235333600046	PT17
000234699200030	IE05
000340733700156	DE23
000249349700008	DE25
000270619600099	EL54
000232039100035	DK02
000250990000005	ES30
000268059500015	FRJ2
000186276600017	FRJ2
000246558700045	FRF2
000220889900116	EL52
000182553700006	EL63
000253182100024	BE10
000261180500008	ITG2
000247107900022	SI04
000280345900141	NL21
000257868500002	FRE1
000167413000007	FR10
000238623300077	SK01
000281966900104	UKG3
000235833400043	DE12
000226090900032	DE30
000245510000002	DE21
000174125900005	CH04
000244738900003	DE40
000166615200001	DE40
000247966700090	EL63
000250295900046	UKM7
000390510900108	ES42
000229117700018	DE40
000266546700039	NO06
000265168000018	FRL0
000245382100017	LT02
000249885300019	ITG1
000263653300180	NO06
000221367000036	DEB3
000207495400002	PT11
000225814200013	NL41
000228738600049	DE40
000226694600005	DE21
000086255400012	SE23
000237235300026	CH01
000225568200002	RO32
000229686200028	PT16
000240601200060	PT30
000239685900013	SE12
000271050500021	BE22
000329595400020	FRK2
000253325500038	DEB3
000166831100020	EE00
000264659300001	CH01
000271271800007	DE13
000257333100016	ITI1
000258722100085	FRK2
000236612400021	UKH1
000181181800006	DE21
000173752500014	CH04
000261747700028	FRF1
000252652200007	DEA5
000087352000020	CH03
000242771200011	DK01
000223962100033	DED2
000222005200008	UKI3
000249160600016	RS11
000262648400010	NL41
000256934900058	FRE1
000257260600092	NO06
000183788700004	TR90
000226111400094	DEA2
000269135000027	FR10
000266655400027	FRL0
000277050900005	ES30
000263260100009	SI04
000269844400014	CZ01
000316787400016	BE35
000262253300034	FI1B
000285603700033	CH04
000228242700045	UKI3
000169077600012	FRJ1
000245798700027	ITH4
000246891500141	ITI1
000171386300045	UKD4
000271891900003	ITH2
000247240300065	SE11
000271106100020	FRE1
000176045200002	DE25
000166011800009	DEG0
000171281900008	SI04
000220278100016	CH04
000234104200004	UKE4
000228431700023	UKM7
000170464900006	CH05
000189087100025	FR10
000220043200007	ITI2
000176600500047	DE71
000174434400006	UKD3
000221707700004	UKJ1
000247835500027	ES70
000236086400018	UKD3
000258223600020	DE30
000263190000087	EL63
000248730500060	DE40
000254136800014	ITC4
000175298400060	PT16
000181409500002	ES11
000345066300003	CH02
000221226000004	ITF3
000225969900005	ITH4
000245616600005	UKF2
000260054800011	DE23
000230119400004	DEB3
000225220800005	FRK2
000171391100013	PT17
000266783800033	TR71
000225706000012	BG41
000247255800009	SE23
000179074000011	FRG0
000270075600017	NL41
000243725000003	UKK1
000226614200022	UKF1
000181525800003	DEB3
000260063600002	PT17
000175609300003	TR62
000220634400023	DK02
000227812000012	ITH3
000246568600141	SE12
000230244100021	DEA2
000177802200011	UKI3
000269711300028	TR32
000253503100021	FRJ1
000268429900015	HU21
000227218600007	FRK2
000189442000002	UKI3
000260759500004	ES51
000224762400008	DE91
000234530400034	FI1B
000260677400021	DED2
000248716800002	UKI3
000246509800038	PT16
000183479700002	NO08
000244591700076	CH01
000251383900009	FRF1
000176625200004	DE71
000254543000131	TR51
000225816800067	DE30
000252673000024	ITC4
000241289600006	EL30
000171592800565	DE21
000246601200010	CH04
000237368300023	FR10
000175990100025	FI1B
000182148100007	DE40
000170078300060	FR10
000088206200002	DEA4
000234233500007	CH05
000247782200011	IE06
000259483000004	CH01
000188391600006	UKF2
000235826500056	DE23
000220750300032	FRJ1
000166081100004	CH01
000178798000002	DE11
000087506200005	ES11
000234958900021	DE13
000241354900014	DEE0
000168621900005	UKG3
000232089500091	PT16
000249786400006	ES51
000238056400014	PT17
000230571300033	UKI3
000225836300025	DEG0
000174640900007	UKF2
000088722300002	TRB1
000267114900019	FRK1
000257203400002	ITF3
000090149800001	PT17
000222864200048	ITH3
000232094200006	DED4
000227265100022	DED4
000243242700014	FRK1
000243166700088	BE21
000255839800007	DEA2
000231209900042	PT17
000240158600008	ITF4
000228983700001	DEA1
000270343800012	NL33
000262440400014	DEA1
000257927100078	CH01
000238249000116	DE30
000277082200112	ES30
000188946000006	FR10
000244261600049	PT17
000185419800017	PL81
000237950300068	NL31
000088345800003	ITI1
000366223900072	EL63
000184201100014	RS11
000088788000015	DE40
000268310800003	EL63
000269655800012	IE06
000264646900036	FRJ2
000168622400004	SE11
000178251800014	ES61
000246695400014	CZ01
000273410600015	SI04
000248030100036	ITF3
000256786600001	ITC4
000248711700014	IE05
000176995300007	DE13
000272166200018	NO06
000242408600012	ES21
000266900400013	ES21
000171480200004	SI04
000262245400083	DEA2
000255656400012	FRJ1
000267974500026	TR61
000172728900011	UKH1
000271352000141	BE33
000243902600015	ITF4
000221007000003	DEA2
000227609700024	UKG3
000227311900019	PL21
000259140200007	NL41
000176543500013	UKI3
000175227600064	SE11
000244010600005	TR31
000270593400020	DEA5
000239688800002	UKD3
000252770500009	DE13
000182765600002	PT16
000284040100003	PT17
000258355200006	CH04
000268416700010	MK00
000222658800249	NL32
000268071200021	NL11
000242428200018	DEA2
000254423900003	DED2
000174858800042	NL31
000270720100024	ITC1
000174938600008	UKJ1
000268523400049	ES24
000268138200023	FRK2
000240109200007	UKF2
000260916600003	LV00
000266501500074	FRK2
000170265600004	DE21
000184943400035	PL21
000229361300021	ES51
000226187900039	BE35
000257808700017	NL41
000233830000009	TR72
000265013600022	CZ01
000236612300006	DE91
000235283600015	UKI3
000246123200027	UKM8
000171825100008	UKF1
000254543000147	FI1B
000184024500003	ITC3
000229609600014	ES61
000254650000011	UKI3
000229661400016	DEA4
000256330700005	EL54
000236226700006	FRF1
000244517200009	DE40
000231343400004	DE26
000273995000006	ITC4
000187341900021	PL51
000226846800020	FR10
000171973900024	DED2
000252688800002	FRK2
000248711700014	IE06
000226112300079	FRE1
000337724700058	DK02
000172029100041	DEF0
000269259300042	ITF3
000251487100009	ITH2
000271298400009	EL52
000256711300011	ES30
000258048500038	FRI1
000225890300036	SE22
000263737800003	ES61
000259382900015	DE12
000171751500015	EL30
000261630700085	ITC4
000223040500015	SE22
000254566000025	NL33
000266930400075	FI19
000252862600066	ES61
000241136300024	TR10
000262222600003	NL22
000347579100052	FRL0
000252758000002	FI1C
000231924400001	EE00
000241985100021	FR10
000241133800014	DE24
000252020500141	FRI1
000257260800046	ES24
