ut	nuts2
000264607500017	ES52
000257582900016	DE13
000245532800007	UKE3
000256933800067	SI04
000269442900010	DK05
000268377700003	DK05
000247029800017	UKD3
000185239200004	DEB3
000268756100009	SE22
000246286100047	DK05
000355314000052	CH02
000240567400024	UKC2
000224639200005	IE06
000227583700003	UKD3
000232395300060	AT22
000186429000003	DK01
000169923500006	ES70
000245672000004	ITF3
000252021900006	ES30
000245199400010	UKD4
000333750100089	IE05
000261544700010	UKD3
000247952800016	ES51
000268919201379	UKM7
000256153800018	UKM7
000256895300014	TR22
000253460200002	UKJ1
000266084100007	SE11
000258730100068	NL41
000279099500037	UKK1
000230969500024	DK03
000187023700004	DE13
000258337300005	DE91
000248583500016	FRB0
000252021900012	AT13
000247456200004	DE14
000238420800002	EL30
000264374600011	NL33
000229867300014	DEA5
000268919201124	NL33
000169036200016	UKF1
000435276400019	BE24
000255100300036	ES24
000259871500006	IE05
000235418500011	UKH1
000238901000003	CH04
000207169700004	EL52
000256907800012	AT13
000250388600017	FRK2
000241050400004	ES13
000264594700001	UKK1
000249730800018	UKH1
000269315000091	UKE3
000180808000002	FRE1
000261854200006	NL33
000176177000020	ES30
000172101600011	ES51
000253451401103	BE24
000263685300001	DED2
000280762001326	UKC2
000169168100014	DE30
000245402505023	ES51
000264523100076	NL11
000089056300017	DEB3
000229571600001	DEA1
000086888800007	UKM7
000262393500012	DE30
000243963200003	DK03
000237516900016	DE13
000170012900004	UKM7
000264047300009	UKK1
000280762001346	ITI4
000361486900042	DED4
000233253500003	IE05
000088469000003	UKI3
000256902800011	FI1C
000270902200006	SE11
000252884300020	UKJ1
000265001400009	RO32
000181441900121	DEA4
000279630101068	DEF0
000236814100023	UKJ3
000175391800006	DE11
000228832600023	ES24
000258730100089	BE10
000256054900013	UKC1
000260234800006	DK01
000252021900009	CH01
000239264300003	ITH3
000181734800004	ES30
000237029100004	SE23
000231885600067	NL11
000170920900005	DE30
000258504200011	EL30
000306594800033	DK05
000240251700011	DK05
000275384102087	EL30
000263417000142	FR10
000268919201259	CH01
000250411400004	UKJ3
000232605500012	UKM7
000248430901006	FRI3
000174745600007	DK03
000269154000004	UKH1
000260398501161	ES21
000280762000042	AT13
000259140600022	BE32
000247203000011	UKH1
000288334300002	NO06
000265828100007	DE91
000279924100123	UKK1
000233784400013	ES51
000227320600010	ES12
000268628300007	TR90
000085745300008	DE30
000255677200008	FRE2
000263146900141	PT11
000265492300001	DE21
000273930800039	BE24
000276054100078	UKI3
000250915300058	DE25
000230090000033	NL33
000230762600007	ITI1
000221037500024	DED5
000189465300468	DK05
000221417400021	FRK1
000232012000017	DK03
000167061300013	ITH3
000228488500013	UKH1
000258544800005	DK02
000297469604030	UKI7
000182901700003	DE30
000167865500056	FI1C
000232973100040	ES13
000263709500014	ES30
000247062900092	SI04
000248118800121	UKE3
000249474000104	UKI3
000165963100001	DEA2
000177383100002	TR90
000270543900038	AT33
000235318300006	ES51
000280699600216	FRK2
000267099000014	DED2
000271846800002	DE91
000256956100033	FR10
000245417100025	EL30
000261616700005	ITH5
000247305900003	DE30
000271595700011	FRE1
000184032400017	DEA5
000087550600017	ITI4
000167320500040	DE13
000270720100015	ITF4
000245600000004	DE73
000258011100006	UKJ3
000230664000005	ES22
000221828200044	UKH1
000261616700004	ITI4
000169136200006	PT16
000240158700010	DE24
000087229800002	ITI4
000260398500153	FRK2
000260561400028	PT16
000279891700301	TR51
000265454500078	ES51
000220431800014	UKI3
000247080003047	DEA1
000242223400003	FI1B
000244591700107	DEB3
000234636600006	CH04
000181599500007	DE14
000228097500014	ITC3
000242821500031	UKF2
000223723900024	BE24
000270003300003	ES30
000259871500006	LV00
000238921700013	NO08
000246361100168	ES51
000245905005030	DK05
000166292100031	UKM7
000253857400012	SE12
000270899500059	ITC1
000181513600002	ES30
000267582400037	ITF3
000262404502197	ITI4
000297702400033	SE11
000276834600191	FR10
000221578600032	ES30
000264403800225	UKK1
000175245000016	DEB3
000242298700003	MT00
000307488600031	IE05
000257456702165	UKD7
000248419900001	UKD3
000265262500009	ES51
000253620100015	FRE1
000270547800009	FR10
000272992000012	ES51
000173358700002	FRK2
000236684300005	UKD3
000228778800008	IE06
000173044900069	DEA1
000246745700008	DE13
000250983700001	DE25
000236519200013	CH03
000173159500009	UKK1
000256943100022	ITF3
000206343300003	UKG2
000261308700018	ITH5
000260099100002	UKM8
000263639000001	UKI3
000227686800005	ES70
000269154400015	ITI4
000235084700011	ITG1
000266370000001	TR32
000189127600029	ES11
000229684900014	DK05
000276834601025	PT11
000248438000022	PL91
000338193100037	ITH5
000260099100007	DK02
000188242000033	DE60
000265092100040	FRK2
000264019000076	EL30
000262817200020	ES51
000168033500003	DEB3
000241311400001	SE22
000266687900023	IE06
000236651600056	UKI3
000258370000002	DK05
000262093800035	PL43
000237036501147	UKI3
000241190900015	FRK2
000179985800028	SE23
000228093500015	DE91
000250622100015	DED2
000167623300006	DE91
000221801600005	FRL0
000244799800021	SE11
000278733100009	AT13
000247839300032	FRD1
000271479300014	CH04
000258377900015	FR10
000247029801043	DK03
000244334100049	DE11
000178186000234	FI1B
000255539300017	TR41
000280762001273	ITF4
000264920800020	ITC1
000236569700007	DK05
000269315100256	FI1C
000280762001234	ES61
000248611800006	FRJ2
000274280600003	NL22
000183920700001	ES30
000173449200007	DE40
000246380400027	FRJ2
000261854200002	NL33
000279924100241	UKM8
000269013800008	SE11
000252328700004	TR90
000271952200025	FRC2
000229962600005	FR10
000248419900001	UKM8
000224947200001	UKK1
000272610800001	FRD2
000175487300040	UKH1
000206300800011	DK05
000262050800064	NL41
000243195800075	ES51
000170379300013	DE80
000265388400014	ITC1
000170506800010	CH01
000263417001115	IE05
000179753700015	UKC1
000268554200006	DK02
000249117500014	DE71
000240567400024	UKE3
000188857500006	DE40
000275384100008	ES21
000166107300301	RO42
000086597100054	ES22
000235722400034	EL52
000231001900045	IE06
000268912800194	DEA1
000276834600096	PT17
000234636600006	ITH5
000266224600003	FR10
000187415400002	DK03
000084395700009	UKD7
000234243800003	SE11
000255993601077	ITG1
000231001900015	DEA5
000237371300003	ITG2
000224960600029	CH01
000237313000035	UKD3
000238196600007	ES30
000178414600001	TR63
000246090900006	ES30
000229748500033	ITH3
000165311500006	DE71
000275384101194	FRE1
000251143100005	UKK1
000239555900001	ES30
000221190000002	NL41
000226486900005	DE30
000275384102087	EL64
000248118800006	FRE1
000275854900032	ITC3
000185565700002	ITG1
000236288200014	EL52
000169285000090	PT11
000264374600011	IE05
000255859500136	ITC1
000263146900179	UKN0
000235555900015	DK02
000180267100005	ITC1
000259261503194	UKD7
000252580700001	NO06
000268518400006	NL31
000268919200253	DK05
000169644900034	NL32
000242325800012	ITI4
000246425200006	UKE3
000268617800017	FRK2
000287611902128	DEF0
000252813800013	FRH0
000259574000064	SE22
000254408000027	TR10
000248634000006	DK02
000253763800019	ITC4
000260398501153	ES51
000251085700018	DE13
000276398000029	ITG2
000260923900058	ITC1
000229651100023	DED2
000275735500123	RO11
000270774000004	SE33
000245600000011	UKH1
000088598000005	NO06
000264431500004	DK01
000254842200033	FR10
000270497300219	DK05
000171221700021	UKM5
000179751100019	FRK1
000255787100015	FRF2
000253451300113	DE71
000177820600009	FRI3
000259063900148	FRE1
000207817000001	UKN0
000249240600079	FRK2
000263639000027	FRF3
000272992000047	PL63
000352223503062	CH04
000266702100123	CH03
000278587400025	FRE1
000177271100023	HU11
000279924101077	UKK1
000177971300027	DE13
000178587600001	IE05
000269838700040	CH01
000170117500014	DEA2
000228136700024	CH01
000258766000012	ITF3
000166292100031	UKH1
000226240900003	FRJ1
000251457600008	FRE1
000270246900001	ES24
000239360800026	AT13
000178057200022	ES11
000237744500021	CH03
000237867600031	DE11
000225891700020	DEB3
000167139200016	ES30
000088388600482	SE31
000257582900004	UKH1
000184185500010	DK05
000251457600006	DED2
000263017900010	UKF1
000275524900156	BE10
000183286600048	SE11
000188808100018	DK04
000165401800005	UKJ3
000229342600010	DEB3
000261456400005	FRK2
000255993602033	DK05
000248428000005	TR62
000235722400012	UKE3
000086384500005	UKG3
000265940900024	ES30
000186274800025	FR10
000249898100012	EL30
000260234800007	EL30
000272933700001	DE72
000263458800010	UKM8
000273080600004	PL51
000275384101036	PT11
000085298500009	SE11
000227459400029	DED2
000258730100039	PT11
000250749100015	FRK2
000272376800033	UKI3
000187787100007	TR10
000256881000005	UKK1
000261009000028	TR10
000257945500064	FRF3
000168831200288	DE24
000250384900046	PT11
000267765100009	SE12
000189465300469	DK05
000272212400107	PT11
000244911400001	DK05
000294154300013	UKG2
000187434200012	UKI3
000181280400006	FRK2
000350893000010	CH01
000275735500024	NO06
000178956300007	UKJ1
000285248900003	ITG1
000273080600001	DE30
000250749100015	FRE1
000180578000007	DEA1
000171470500014	UKH1
000174745600005	DED2
000253620100006	ES42
000189465300203	UKF1
000279630101024	DK05
000169966500004	DE91
000259894400020	DK05
000256943100125	BE10
000257261900226	PL91
000258766000002	UKM8
000288334300002	ITF4
000244892300011	UKH1
000267729000005	UKH2
000267277700011	PL43
000246286100049	RS12
000258993900010	ES61
000280762000261	ES61
000266702100019	UKD3
000264348900036	FR10
000258118000036	ITC4
000235318300006	ES61
000236090703107	FR10
000247952800018	UKI3
000189299900006	ITF6
000275384101049	FRI1
000223609800004	UKI3
000231001900031	IE06
000233181200004	NL33
000088469000003	NL42
000265085900051	BE10
000259920400039	FRI3
000270440100040	PT17
000243474900007	DK04
000264547900005	FR10
000240247600012	NL33
000280762000056	CH01
000235295800011	FRI1
000254687000011	SI04
000247952800018	UKH1
000242298700001	CH02
000177606900009	BE32
000264777600006	DE40
000187671100005	ES52
000179630800102	DE30
000171849100010	UKC1
000225805200016	ES51
000254299900006	RO11
000266447600054	ES24
000183901700018	FR10
000231108600024	ES53
000252911600006	FRI1
000182809900011	UKG3
000221303800045	FRF3
000248118800006	FRH0
000259411701149	FR10
000242262000019	ITG1
000263224900003	ES21
000248971000008	ES61
000255770000024	ITF3
000273919200032	DE30
000258730100077	ITC1
000247547600019	FRJ2
000255013200009	IE06
000266702101075	ITF3
000233262000034	FRF3
000173448300083	DE71
000179317100003	FR10
000236800500001	AT13
000187916500006	UKJ3
000232170800070	ES61
000174542200049	FR10
000259626600008	ES30
000179437700002	ITH5
000181674600007	TR63
000245413900011	UKJ4
000243195800075	DK01
000087640200008	DE21
000250915300058	DE21
000177374000002	SE11
000165733200084	UKI3
000225604600003	CH03
000272212400102	PT11
000246563400005	UKD3
000249843000007	UKG3
000272110000007	SE12
000297448500007	BE24
000355314000148	ITH3
000255582300019	TR71
000225335600006	SE11
000176552500131	DK01
000251457600003	UKF1
000250554600018	FRJ1
000224587600694	ES51
000240501200001	UKE2
000270127500054	EL52
000258014100017	UKH1
000267561400045	ES61
000224947200004	DEB3
000177339800011	UKC1
000265465500008	DEA4
000260446900026	DK05
000245895800016	PT17
000165341700064	CH01
000268311000028	ITI4
000229414500003	DE94
000185275500001	UKD3
000268266000003	UKG3
000256418400037	FRE1
000261796600005	FRF3
000226965200007	UKI3
000181099700022	ITG2
000251326200091	CH02
000184738800002	BE24
000249773800029	CH04
