ut	nuts2
000416497900053	SE33
000388724500009	DK05
000504648100119	DK04
000450299300347	IE06
000445355900040	DK05
000372071500017	UKE3
000460666200231	EL52
000430030400017	CH01
000309809300003	ES42
000451907000031	DEF0
000348006700022	ES70
000387091900200	AT13
000444771900051	HU11
000392132500003	PL91
000317399200010	ES53
000347580600092	FRB0
000497045300001	DK01
000410396300054	FRL0
000452837600005	PT17
000399480100006	DEA2
000329292700291	BE24
000414286204118	SE22
000463577200007	DEA5
000478946200034	UKL2
000322989900037	FR10
000360869000005	IE05
000325435500026	PT17
000425203500019	UKC2
000312874700019	TR42
000426847404073	DK05
000418374408055	DK05
000327100400140	DK05
000416498700022	ITI4
000403318300002	ITG1
000406762000017	DE30
000411130200050	ES30
000399031207044	CH01
000426921802081	ES51
000361920000037	CH04
000388047600004	DEF0
000309200900010	UKC1
000380443100072	FRG0
000331513000006	ITH3
000372760200009	PL43
000499062600003	ITC4
000208787800004	DK05
000292659100012	NO06
000413773100001	ITC4
000348880600059	ES21
000337123000013	PT17
000339163800034	DK01
000433646100013	CZ01
000295237000027	ITF4
000338519300005	SI03
000434981901125	UKE3
000320827300024	SE12
000348006700061	ES30
000447055700001	FRJ2
000386226900004	ITG2
000286868200053	FRK2
000380545600015	PT11
000416189500018	FRF3
000309054800009	UKC1
000387586600002	ES30
000407854900072	IE06
000390949702063	DK05
000299032403071	DK05
000373147800046	BE24
000280616200008	ES30
000281747800010	FRF3
000300146002017	ES30
000380610000087	UKJ2
000487316100010	ES61
000472579200056	UKC2
000309118100238	UKM8
000323607500048	LV00
000493720200026	ITI4
000403861800026	DE94
000487564400031	ES30
000412611900048	FRK2
000493192600001	UKG1
000379126300003	TR71
000405883500014	NL41
000462375900014	UKE4
000455187601126	UKF1
000490616500001	TR51
000277664000015	DE73
000380441400041	CH04
000426847405040	ES51
000468972100031	EL30
000380600500070	PT17
000496648000012	NL32
000346502700111	ITG1
000390697400182	DEF0
000373053400033	DEA5
000311348600001	ES51
000318477500014	UKI3
000378882905009	SE23
000426130600083	FI1C
000496648000012	NL22
000295007803110	ITC4
000460696500190	DE14
000282013000017	PT16
000418374402004	MT00
000370111300022	SE11
000378882900012	ES21
000418314500001	UKF1
000464494300018	UKJ1
000322765700013	FRF3
000375940400010	RO31
000403381300058	BE21
000344032700007	ITC1
000454605000008	UKE3
000350338100011	PT16
000417246000004	AT22
000448650800014	FR10
000295007803001	DK05
000493393400107	BG41
000309372900003	RO22
000279127700042	ES51
000380473300082	FR10
000336380000006	SE11
