"nuts2" "inter_link"
"1" "AT13" 0
"2" "BE21" 0
"3" "CH01" 0
"4" "CH04" 0
"5" "CY00" 0
"6" "CZ01" 4333.42
"7" "DE11" 14583.45
"8" "DE12" 0
"9" "DE13" 6450.12
"10" "DE21" 6450.12
"11" "DE30" 0
"12" "DE40" 0
"13" "DE71" 2166.71
"14" "DE92" 17399.97
"15" "DEA2" 12658.45
"16" "DEA4" 0
"17" "DED4" 0
"18" "DEF0" 4450.08
"19" "DK01" 0
"20" "DK05" 2150.02
"21" "EL30" 1950.04
"22" "ES11" 0
"23" "ES24" 0
"24" "ES51" 0
"25" "ES52" 0
"26" "ES61" 10500.24
"27" "ES62" 0
"28" "ES70" 10750.2
"29" "FI19" 0
"30" "FI1B" 0
"31" "FI1D" 0
"32" "FR10" 21450.26
"33" "FRB0" 24016.85
"34" "FRF3" 10916.75
"35" "FRH0" 2150.02
"36" "FRI1" 10916.75
"37" "FRJ2" 2050.02
"38" "FRK2" 19350.36
"39" "FRL0" 1916.71
"40" "HR03" 0
"41" "HR05" 0
"42" "IE04" 1750.02
"43" "IE05" 2000.04
"44" "ITC1" 0
"45" "ITF4" 0
"46" "ITF5" 0
"47" "ITF6" 0
"48" "ITG1" 2150.04
"49" "ITH2" 5325.06
"50" "ITH3" 5250.06
"51" "ITI1" 0
"52" "ITI3" 4599.99
"53" "ITI4" 0
"54" "NL12" 6675.12
"55" "NL21" 6675.12
"56" "NL22" 9125.2
"57" "NL31" 4166.7
"58" "NL33" 17658.29
"59" "NO06" 4450.08
"60" "NO08" 12050.1
"61" "NO0A" 15283.45
"62" "PL21" 0
"63" "PL41" 2025.04
"64" "PL84" 2025.04
"65" "PT16" 0
"66" "RO32" 1750.02
"67" "SE11" 4366.7
"68" "SE12" 0
"69" "SE22" 4550.07
"70" "SE23" 2150.02
"71" "SE33" 0
"72" "SI03" 2150.02
"73" "SI04" 2150.02
"74" "TR10" 6450.12
"75" "TR31" 3575.13
"76" "TR33" 4725.12
"77" "TR61" 2200.04
"78" "TRB1" 0
"79" "TRC1" 2200.04
"80" "UKC1" 0
"81" "UKC2" 4050.08
"82" "UKD4" 0
"83" "UKF1" 4725.06
"84" "UKF2" 0
"85" "UKG3" 2000.04
"86" "UKH2" 1391.71
"87" "UKI3" 9041.75
"88" "UKI7" 4050.08
"89" "UKJ1" 4333.42
"90" "UKJ3" 1825.04
"91" "UKK1" 2183.35
"92" "UKL2" 4050.08
"93" "UKM7" 15283.45
"94" "UKM8" 2150.04
"95" "UKN0" 0
