"nuts2" "inter_link"
"1" "AT13" 13952.52
"2" "AT22" 23310.9
"3" "AT33" 5043.14
"4" "BE10" 0
"5" "BE23" 0
"6" "BE24" 14402.43
"7" "CH01" 31543.96
"8" "CH02" 18816.6
"9" "CH04" 16446.32
"10" "CH06" 5117.47
"11" "CZ01" 0
"12" "DE11" 41655
"13" "DE12" 0
"14" "DE13" 74609.26
"15" "DE14" 10008.28
"16" "DE21" 12412.26
"17" "DE25" 15414.9
"18" "DE26" 10081.6
"19" "DE30" 0
"20" "DE40" 0
"21" "DE71" 10086.28
"22" "DE72" 5004.14
"23" "DEA1" 4849.61
"24" "DEA2" 0
"25" "DEB3" 0
"26" "DEC0" 9270.88
"27" "DED2" 5000.8
"28" "DED4" 5150.8
"29" "DED5" 9836.28
"30" "DEE0" 5043.14
"31" "DEF0" 10101.64
"32" "DEG0" 4754.13
"33" "DK01" 4802.1
"34" "DK02" 5000.79
"35" "DK05" 18066
"36" "EE00" 4867.18
"37" "EL30" 26671.86
"38" "EL43" 5096.27
"39" "EL51" 5035.42
"40" "EL52" 4835.44
"41" "ES11" 4585.14
"42" "ES12" 0
"43" "ES21" 4790.79
"44" "ES22" 0
"45" "ES30" 4399.7
"46" "ES51" 35340.16
"47" "ES52" 4396.48
"48" "ES61" 0
"49" "ES62" 0
"50" "ES70" 0
"51" "FI19" 5040.8
"52" "FI1B" 14206.35
"53" "FI1D" 5040.8
"54" "FR10" 88280.84
"55" "FRB0" 5100.8
"56" "FRD2" 10201.6
"57" "FRE1" 14192.67
"58" "FRF1" 18755.08
"59" "FRG0" 29919.06
"60" "FRH0" 9663.46
"61" "FRI1" 15452.4
"62" "FRI3" 14672.4
"63" "FRJ1" 5043.14
"64" "FRJ2" 23965.7
"65" "FRK2" 35509.6
"66" "FRY3" 15452.4
"67" "HR03" 14385.21
"68" "HR05" 5106.37
"69" "HR06" 5106.37
"70" "HU12" 5004.14
"71" "HU33" 65053.82
"72" "IE05" 51551.72
"73" "IE06" 9554.88
"74" "ITC1" 8502.28
"75" "ITC3" 0
"76" "ITC4" 13276.32
"77" "ITF3" 19332.56
"78" "ITF4" 0
"79" "ITF5" 4950.81
"80" "ITF6" 0
"81" "ITG1" 0
"82" "ITH4" 5041.73
"83" "ITH5" 34230.32
"84" "ITI2" 0
"85" "ITI4" 27750.84
"86" "LU00" 29612.58
"87" "NL22" 46905.1
"88" "NL31" 9608.32
"89" "NL32" 34574.56
"90" "NL33" 31660.16
"91" "NL41" 14552.43
"92" "NO06" 30248.05
"93" "NO08" 17213.6
"94" "NO09" 5150.8
"95" "PL91" 0
"96" "PT11" 14672.37
"97" "PT15" 5125.8
"98" "PT16" 19946.04
"99" "PT17" 58338.12
"100" "RO32" 10083.46
"101" "RO42" 9594.6
"102" "SE11" 0
"103" "SE12" 18066.44
"104" "SE22" 4821.73
"105" "SE23" 24932.55
"106" "SE33" 10301.6
"107" "SI04" 0
"108" "SK01" 0
"109" "TR10" 0
"110" "TR31" 0
"111" "TR42" 0
"112" "TR51" 0
"113" "TR63" 4986.51
"114" "UKC1" 24699.24
"115" "UKC2" 21570.3
"116" "UKD3" 38626.29
"117" "UKD4" 44418.87
"118" "UKE3" 8827.02
"119" "UKE4" 4935.43
"120" "UKF1" 4893.14
"121" "UKF2" 24146.7
"122" "UKG1" 9590.14
"123" "UKG3" 16497.96
"124" "UKH1" 81305
"125" "UKH3" 15414.9
"126" "UKI3" 77338.44
"127" "UKJ1" 41837.4
"128" "UKJ3" 37933.92
"129" "UKJ4" 14011.35
"130" "UKK1" 43218.2
"131" "UKK4" 0
"132" "UKL1" 9397.46
"133" "UKM7" 59407.14
"134" "UKM8" 9033
"135" "UKN0" 0
