"nuts2" "inter_link"
"1" "AT12" 5593.75
"2" "AT13" 21187.2
"3" "AT22" 11211.1
"4" "AT33" 11107.42
"5" "BE10" 9950.3
"6" "BE21" 0
"7" "BE23" 5151.17
"8" "BE24" 37548.64
"9" "BE33" 40301.52
"10" "BE35" 26174.8
"11" "CH01" 20528.76
"12" "CH02" 0
"13" "CH03" 16661.13
"14" "CH04" 45252.18
"15" "CZ01" 55070.18
"16" "CZ05" 5752.06
"17" "DE11" 5421.13
"18" "DE12" 0
"19" "DE13" 11187.5
"20" "DE14" 10769.92
"21" "DE21" 36242.56
"22" "DE23" 11107.42
"23" "DE25" 11187.5
"24" "DE26" 11264.4
"25" "DE30" 33418.21
"26" "DE40" 11107.42
"27" "DE50" 40301.52
"28" "DE71" 5553.71
"29" "DE72" 16749.93
"30" "DE80" 11449.94
"31" "DE91" 43079.68
"32" "DE94" 21539.84
"33" "DEA1" 5606.8
"34" "DEA2" 16774.92
"35" "DEA3" 5553.71
"36" "DEA4" 5571.13
"37" "DEA5" 0
"38" "DEB3" 51183
"39" "DEC0" 10582.42
"40" "DED2" 52210.62
"41" "DED5" 0
"42" "DEE0" 0
"43" "DEF0" 52597.1
"44" "DEG0" 15790.11
"45" "DK01" 75921.3
"46" "DK03" 59652.45
"47" "DK04" 5553.71
"48" "DK05" 27027.65
"49" "EE00" 0
"50" "EL30" 34031.27
"51" "EL43" 11107.42
"52" "EL52" 0
"53" "EL54" 11187.5
"54" "EL63" 11504.12
"55" "ES11" 5462.7
"56" "ES21" 15876.57
"57" "ES24" 33363.68
"58" "ES30" 13674.36
"59" "ES41" 0
"60" "ES42" 5593.75
"61" "ES51" 35769.65
"62" "ES52" 0
"63" "ES61" 10864.22
"64" "ES70" 0
"65" "FI19" 16471.62
"66" "FI1B" 14109.78
"67" "FI1C" 5509.58
"68" "FI1D" 10626.9
"69" "FR10" 143760.02
"70" "FRB0" 5346.39
"71" "FRC1" 11107.42
"72" "FRD2" 11330.28
"73" "FRE1" 22925
"74" "FRE2" 49983.39
"75" "FRF1" 16082.55
"76" "FRF3" 0
"77" "FRG0" 48649.77
"78" "FRH0" 24268
"79" "FRI1" 52537.4
"80" "FRI2" 5733.72
"81" "FRI3" 16210.86
"82" "FRJ1" 76621.92
"83" "FRJ2" 21385.56
"84" "FRK2" 96284.16
"85" "FRL0" 0
"86" "HR03" 0
"87" "HR05" 0
"88" "HU11" 10290.28
"89" "HU32" 5762.96
"90" "HU33" 0
"91" "IE05" 42744.4
"92" "IE06" 25134.95
"93" "IS00" 40301.52
"94" "ITC1" 5086.78
"95" "ITC3" 5768.71
"96" "ITC4" 25760.95
"97" "ITF3" 15734.07
"98" "ITF4" 5412.69
"99" "ITF5" 5753.72
"100" "ITF6" 4622.25
"101" "ITG1" 0
"102" "ITH3" 0
"103" "ITH4" 56657.04
"104" "ITH5" 15364.86
"105" "ITI1" 0
"106" "ITI2" 0
"107" "ITI4" 15354.9
"108" "NL11" 39513.53
"109" "NL12" 75082.15
"110" "NL21" 22535.56
"111" "NL22" 70408.52
"112" "NL31" 31548.84
"113" "NL32" 71111.69
"114" "NL33" 51427.4
"115" "NL41" 33562.5
"116" "NL42" 22214.84
"117" "NO06" 39191.12
"118" "NO08" 41708.88
"119" "NO09" 5777.06
"120" "NO0A" 50391.27
"121" "PL22" 0
"122" "PL41" 0
"123" "PL42" 10829.94
"124" "PL61" 0
"125" "PL81" 0
"126" "PL91" 0
"127" "PT11" 30048.54
"128" "PT15" 11537.42
"129" "PT16" 21372.2
"130" "PT17" 80708.1
"131" "RO11" 0
"132" "RO32" 5615.13
"133" "RO42" 5615.13
"134" "SE11" 5313.45
"135" "SE12" 32620.8
"136" "SE22" 21100.48
"137" "SE23" 62683.27
"138" "SE33" 22214.84
"139" "SI04" 0
"140" "SK01" 57214.96
"141" "SK02" 28814.8
"142" "TR10" 0
"143" "TR31" 0
"144" "TR42" 5768.71
"145" "TR51" 0
"146" "TR63" 5605.55
"147" "UKC1" 37838.71
"148" "UKC2" 20736.44
"149" "UKD3" 13962.18
"150" "UKD4" 33633.3
"151" "UKE1" 5593.75
"152" "UKE2" 5762.96
"153" "UKE3" 10392.74
"154" "UKE4" 11107.42
"155" "UKF1" 24262.7
"156" "UKF2" 16355.13
"157" "UKG1" 16383.87
"158" "UKG3" 10255.32
"159" "UKH1" 85249.62
"160" "UKH2" 0
"161" "UKI3" 35126.16
"162" "UKJ1" 34848.31
"163" "UKJ2" 30357.66
"164" "UKJ3" 27833.64
"165" "UKJ4" 5498.47
"166" "UKK1" 5114.47
"167" "UKK4" 0
"168" "UKL1" 0
"169" "UKM5" 10957.54
"170" "UKM7" 102538.8
"171" "UKM8" 15916.59
"172" "UKN0" 0
