"nuts2" "inter_link"
"1" "AL02" 832189.14
"2" "AT11" 1951744.34
"3" "AT12" 7034566.24
"4" "AT13" 174619621.56
"5" "AT21" 3559697.7
"6" "AT22" 178959696.5
"7" "AT31" 143317699.2
"8" "AT32" 4129899.45
"9" "AT33" 34450760.8
"10" "AT34" 1949340.05
"11" "BE10" 85490784
"12" "BE21" 102220185.21
"13" "BE22" 57159659.46
"14" "BE23" 82116846.63
"15" "BE24" 301129850.5
"16" "BE25" 2491463.7
"17" "BE31" 2761620.7
"18" "BE32" 136589820.44
"19" "BE33" 35786157
"20" "BE34" 0
"21" "BE35" 100890655.7
"22" "BG32" 3893228.36
"23" "BG33" 3603030.86
"24" "BG34" 832689.99
"25" "BG41" 80112844
"26" "BG42" 1653369.78
"27" "CH01" 412171648.68
"28" "CH02" 166318720.76
"29" "CH03" 167613051.2
"30" "CH04" 263116519.18
"31" "CH05" 20935369.72
"32" "CH06" 4113511.35
"33" "CH07" 6858652.75
"34" "CY00" 22628732.8
"35" "CZ01" 183105835.64
"36" "CZ02" 24414195.39
"37" "CZ03" 17567953.92
"38" "CZ04" 4676803.02
"39" "CZ05" 25294077.93
"40" "CZ06" 39592626.66
"41" "CZ07" 13192877
"42" "CZ08" 2482843.14
"43" "DE11" 313014845.1
"44" "DE12" 253124887.38
"45" "DE13" 210703063.41
"46" "DE14" 181996890.13
"47" "DE21" 399678119.7
"48" "DE22" 2181605.92
"49" "DE23" 81746526.4
"50" "DE24" 77774997.9
"51" "DE25" 217771801.13
"52" "DE26" 146011579.82
"53" "DE27" 33509652.02
"54" "DE30" 475096348.04
"55" "DE40" 218283979.74
"56" "DE50" 87395425.92
"57" "DE60" 181099436.85
"58" "DE71" 203050652.2
"59" "DE72" 143827890.66
"60" "DE73" 25664342.22
"61" "DE80" 37599002.46
"62" "DE91" 144140707.9
"63" "DE92" 83992097.28
"64" "DE93" 279396.53
"65" "DE94" 69068067.74
"66" "DEA1" 249275935.44
"67" "DEA2" 405317237.34
"68" "DEA3" 92886128.01
"69" "DEA4" 104155664.52
"70" "DEA5" 145286003.64
"71" "DEB1" 4361336.32
"72" "DEB2" 834240.06
"73" "DEB3" 359176674.56
"74" "DEC0" 52500953.16
"75" "DED2" 305411621.94
"76" "DED4" 91393105.65
"77" "DED5" 74216514.08
"78" "DEE0" 158434719.04
"79" "DEF0" 72204905.76
"80" "DEG0" 198763719.84
"81" "DK01" 143192203.6
"82" "DK02" 73871578.2
"83" "DK03" 60139571.45
"84" "DK04" 54759762.2
"85" "DK05" 69029462.7
"86" "EE00" 54765102
"87" "EL30" 123743508.56
"88" "EL41" 1108343.96
"89" "EL43" 71397107.19
"90" "EL51" 1374814.05
"91" "EL52" 45082517.76
"92" "EL53" 1114126.72
"93" "EL54" 36888884.5
"94" "EL61" 3015740.64
"95" "EL62" 556702.8
"96" "EL63" 75510682.91
"97" "EL64" 2760952
"98" "EL65" 1947980.65
"99" "ES11" 48053899.32
"100" "ES12" 19695110.31
"101" "ES13" 8438750.25
"102" "ES21" 36517077.45
"103" "ES22" 13922752.85
"104" "ES23" 11776401.4
"105" "ES24" 101474921.7
"106" "ES30" 403266346.7
"107" "ES41" 63878695.4
"108" "ES42" 33417795.75
"109" "ES43" 6150995.34
"110" "ES51" 332067809.64
"111" "ES52" 176087040.36
"112" "ES53" 13394985
"113" "ES61" 114719213.84
"114" "ES62" 24104115.84
"115" "ES70" 28988797.8
"116" "FI19" 72276907.23
"117" "FI1B" 185244447.44
"118" "FI1C" 68233080.35
"119" "FI1D" 37021905.18
"120" "FI20" 558248.68
"121" "FR10" 597460787.37
"122" "FRB0" 63548231.6
"123" "FRC1" 47076769.41
"124" "FRC2" 32248014.08
"125" "FRD1" 44527317.48
"126" "FRD2" 29283034.48
"127" "FRE1" 101372872.08
"128" "FRE2" 25005043.8
"129" "FRF1" 338296665.56
"130" "FRF2" 24030924.22
"131" "FRF3" 61307186.38
"132" "FRG0" 151954821.7
"133" "FRH0" 116335691.82
"134" "FRI1" 141588432.66
"135" "FRI2" 11960055.9
"136" "FRI3" 27370085.3
"137" "FRJ1" 171575965.8
"138" "FRJ2" 190054092.79
"139" "FRK1" 64869882.65
"140" "FRK2" 539476043.29
"141" "FRL0" 186758162.76
"142" "FRM0" 0
"143" "FRY1" 837373.02
"144" "HR02" 557369.98
"145" "HR03" 4623307.76
"146" "HR05" 30199706.48
"147" "HR06" 278840.81
"148" "HU11" 87704484
"149" "HU12" 558576.82
"150" "HU21" 5645902.08
"151" "HU23" 5425553.2
"152" "HU31" 279197.12
"153" "HU32" 7225784.28
"154" "HU33" 40141763.28
"155" "IE04" 9424341.72
"156" "IE05" 104330964.5
"157" "IE06" 154364094.72
"158" "IS00" 9482056.15
"159" "ITC1" 108376742.14
"160" "ITC2" 3056496.41
"161" "ITC3" 70287808.92
"162" "ITC4" 348844181.88
"163" "ITF1" 49856737.2
"164" "ITF2" 5220389.46
"165" "ITF3" 102042336.52
"166" "ITF4" 175653071.1
"167" "ITF5" 18063146.68
"168" "ITF6" 38912751.54
"169" "ITG1" 87320978.64
"170" "ITG2" 81858135.8
"171" "ITH1" 6089240.52
"172" "ITH2" 95240874.24
"173" "ITH3" 200175695.04
"174" "ITH4" 232965365.86
"175" "ITH5" 457480459.34
"176" "ITI1" 158351499.6
"177" "ITI2" 57674303.52
"178" "ITI3" 28919691.7
"179" "ITI4" 253445199.63
"180" "LI00" 6550516.08
"181" "LT01" 95509509.48
"182" "LT02" 44307612.68
"183" "LU00" 10383264.02
"184" "LV00" 24448725.36
"185" "MK00" 3793416.62
"186" "MT00" 278831.52
"187" "NL11" 167439035.1
"188" "NL12" 3073519.46
"189" "NL13" 834923.58
"190" "NL21" 74466616.25
"191" "NL22" 137681030.25
"192" "NL23" 3027171.62
"193" "NL31" 137027545.49
"194" "NL32" 250466288.53
"195" "NL33" 236002988
"196" "NL34" 2775223.4
"197" "NL41" 365968597.22
"198" "NL42" 34830058
"199" "NO02" 278524.32
"200" "NO06" 45087009.24
"201" "NO07" 3232803.84
"202" "NO08" 64659054.2
"203" "NO09" 3806340.3
"204" "NO0A" 7966614.9
"205" "PL21" 101667198.15
"206" "PL22" 37315624.5
"207" "PL41" 42082948.16
"208" "PL42" 13816407.82
"209" "PL43" 554102.2
"210" "PL51" 60118438.04
"211" "PL52" 3017518.24
