"nuts2" "inter_link"
"1" "AL02" 232622.13
"2" "AT11" 237233.67
"3" "AT12" 1323638.82
"4" "AT13" 7580040.58
"5" "AT21" 677775.87
"6" "AT22" 6897011.52
"7" "AT31" 6269951.7
"8" "AT32" 845706.07
"9" "AT33" 1370472.47
"10" "AT34" 385894.55
"11" "BE10" 3550503.39
"12" "BE21" 8034428.31
"13" "BE22" 4519624.76
"14" "BE23" 14041273.08
"15" "BE24" 14678466.24
"16" "BE25" 2237462.52
"17" "BE31" 1770603
"18" "BE32" 4980748.92
"19" "BE33" 6541899.84
"20" "BE34" 155482.26
"21" "BE35" 3548023.56
"22" "BG32" 78506.86
"23" "BG33" 78724.21
"24" "BG34" 388062.15
"25" "BG41" 2555246.92
"26" "BG42" 232370.64
"27" "CH01" 17769697.54
"28" "CH02" 8894881.66
"29" "CH03" 16728123.3
"30" "CH04" 22374461.16
"31" "CH05" 3298651.2
"32" "CH06" 1116321.6
"33" "CH07" 1432486.38
"34" "CY00" 3079455.51
"35" "CZ01" 7725642.24
"36" "CZ02" 303676.8
"37" "CZ03" 1680045.35
"38" "CZ04" 311457.56
"39" "CZ05" 1699817.76
"40" "CZ06" 1272541.32
"41" "CZ07" 1312129.8
"42" "CZ08" 1022878.78
"43" "DE11" 17367159.66
"44" "DE12" 15030139.14
"45" "DE13" 18427834.95
"46" "DE14" 5544578.24
"47" "DE21" 17660647.78
"48" "DE22" 532073.5
"49" "DE23" 1859108.42
"50" "DE24" 3019800.08
"51" "DE25" 7196175.72
"52" "DE26" 3569804.93
"53" "DE27" 2093512.96
"54" "DE30" 16399061.28
"55" "DE40" 11409739.42
"56" "DE50" 4788732.48
"57" "DE60" 9144688.1
"58" "DE71" 6581494.7
"59" "DE72" 5482901.6
"60" "DE73" 1665137.54
"61" "DE80" 2102665.83
"62" "DE91" 5689148.4
"63" "DE92" 2616288.72
"64" "DE93" 1952813.46
"65" "DE94" 6182253.28
"66" "DEA1" 11248594.72
"67" "DEA2" 30983970.16
"68" "DEA3" 3956665.8
"69" "DEA4" 2944280.24
"70" "DEA5" 9734106.33
"71" "DEB1" 784143.8
"72" "DEB2" 156917.9
"73" "DEB3" 9916771.2
"74" "DEC0" 2029013.42
"75" "DED2" 14928564.45
"76" "DED4" 3576364.96
"77" "DED5" 2907969.24
"78" "DEE0" 6763002.48
"79" "DEF0" 4601928.1
"80" "DEG0" 7573552.96
"81" "DK01" 12167288.91
"82" "DK02" 3614706
"83" "DK03" 2745736.74
"84" "DK04" 2070777.68
"85" "DK05" 2702724.96
"86" "EE00" 2068530.6
"87" "EL30" 8119906.2
"88" "EL41" 78071.29
"89" "EL43" 5196834.4
"90" "EL51" 376930.8
"91" "EL52" 8125126.03
"92" "EL53" 1289680.35
"93" "EL54" 1788925.68
"94" "EL61" 309576.88
"95" "EL62" 78629.09
"96" "EL63" 7446168.6
"97" "EL64" 78629.09
"98" "EL65" 78795.78
"99" "ES11" 4279867.83
"100" "ES12" 2824604.8
"101" "ES13" 566517.76
"102" "ES21" 10416581.56
"103" "ES22" 1536128.14
"104" "ES23" 1052935.24
"105" "ES24" 6888893
"106" "ES30" 32450486.76
"107" "ES41" 3466926.84
"108" "ES42" 5039886.24
"109" "ES43" 600038.72
"110" "ES51" 31160900.3
"111" "ES52" 7325256.98
"112" "ES53" 1002043.77
"113" "ES61" 27555519.66
"114" "ES62" 1224371.45
"115" "ES70" 1592338.88
"116" "FI19" 4704266.25
"117" "FI1B" 6434164.86
"118" "FI1C" 4751323.92
"119" "FI1D" 2303777.44
"120" "FR10" 28514442.24
"121" "FRB0" 4200974.64
"122" "FRC1" 1829622
"123" "FRC2" 2478929.4
"124" "FRD1" 2303901.27
"125" "FRD2" 581641.04
"126" "FRE1" 6826175.9
"127" "FRE2" 2572763.55
"128" "FRF1" 7000461.78
"129" "FRF2" 4925554.2
"130" "FRF3" 5719340.04
"131" "FRG0" 7163203.48
"132" "FRH0" 2745137.7
"133" "FRI1" 9850236.39
"134" "FRI2" 2889203.6
"135" "FRI3" 5032874.05
"136" "FRJ1" 14986784.19
"137" "FRJ2" 4545143.28
"138" "FRK1" 3476786
"139" "FRK2" 26938621.86
"140" "FRL0" 13766418.9
"141" "FRY4" 76374.83
"142" "HR02" 680496.3
"143" "HR03" 2092703.51
"144" "HR05" 2213751.87
"145" "HR06" 233142.15
"146" "HU11" 3671024.58
"147" "HU12" 617958.96
"148" "HU21" 451050.12
"149" "HU22" 1054648.56
"150" "HU23" 232521.81
"151" "HU31" 79038.06
"152" "HU32" 827504.37
"153" "HU33" 649886.94
"154" "IE04" 1011890.74
"155" "IE05" 6153325.61
"156" "IE06" 9460100.8
"157" "IS00" 997547.07
"158" "ITC1" 9598620.36
"159" "ITC3" 11009487.87
"160" "ITC4" 19183520.72
"161" "ITF1" 2482520.62
"162" "ITF2" 155322.12
"163" "ITF3" 10451970.54
"164" "ITF4" 8041852.04
"165" "ITF5" 1579413.66
"166" "ITF6" 3213468.02
"167" "ITG1" 5702448.45
"168" "ITG2" 2950302.18
"169" "ITH1" 3129581.71
"170" "ITH2" 6021517.08
"171" "ITH3" 9395273.84
"172" "ITH4" 7406964.6
"173" "ITH5" 17814681.28
"174" "ITI1" 18141093.69
"175" "ITI2" 4776931.12
"176" "ITI3" 1645854.96
"177" "ITI4" 12973766.4
"178" "LI00" 2268189.76
"179" "LT01" 2229265.83
"180" "LT02" 1981157.92
"181" "LU00" 1029811.72
"182" "LV00" 776210.93
"183" "ME00" 0
"184" "MK00" 231467.25
"185" "MT00" 0
"186" "NL11" 3237095.5
"187" "NL12" 391747.45
"188" "NL21" 4319218.2
"189" "NL22" 6393028.42
"190" "NL23" 308696.28
"191" "NL31" 6288588.24
"192" "NL32" 7508238.52
"193" "NL33" 12098530.64
"194" "NL34" 0
"195" "NL41" 16962143
"196" "NL42" 1264227.78
"197" "NO06" 5356909.64
"198" "NO07" 693996.84
"199" "NO08" 3249822.68
"200" "NO09" 865586.4
"201" "NO0A" 675274.95
"202" "PL21" 3085178.19
"203" "PL22" 3050728.64
"204" "PL41" 1922984.84
"205" "PL42" 357234.45
"206" "PL43" 232266.03
"207" "PL51" 4899123.44
"208" "PL52" 226811.94
"209" "PL61" 1663662.96
"210" "PL62" 225515.97
"211" "PL63" 1217759.04
"212" "PL71" 1245304.08
"213" "PL72" 153819.26
"214" "PL81" 432120.9
"215" "PL82" 1039311.42
"216" "PL84" 294726
"217" "PL91" 7297977.96
"218" "PL92" 79384.13
"219" "PT11" 10483431.75
"220" "PT15" 464296.32
"221" "PT16" 12206539.2
"222" "PT17" 13729225.32
"223" "PT18" 1276211.76
"224" "RO11" 911911.39
"225" "RO12" 902813.73
"226" "RO21" 2091105.3
"227" "RO22" 454045.62
"228" "RO31" 541217.11
"229" "RO32" 5028270.94
"230" "RO41" 231640.92
"231" "RO42" 769948.85
"232" "RS11" 1915856.7
"233" "RS12" 300325.4
"234" "RS21" 76904.14
"235" "RS22" 1029692.72
"236" "SE11" 10937469.6
"237" "SE12" 19112193.1
"238" "SE21" 883417.92
"239" "SE22" 9229642.72
"240" "SE23" 10327818.15
"241" "SE31" 746057.3
"242" "SE32" 78779.37
"243" "SE33" 2083545.92
"244" "SI03" 1419685.51
"245" "SI04" 8477588.4
"246" "SK01" 6199471.8
"247" "SK02" 1211110.72
"248" "SK03" 231112.23
"249" "SK04" 750036.1
"250" "TR10" 3932591.13
"251" "TR21" 0
"252" "TR22" 376909.4
"253" "TR31" 2915993.7
"254" "TR32" 1897017.98
"255" "TR33" 2042448.6
"256" "TR41" 646893.45
"257" "TR42" 3335579.01
"258" "TR51" 6651668.1
"259" "TR52" 1852203.24
"260" "TR61" 2800804.5
"261" "TR62" 2728669.42
"262" "TR63" 1035911.38
"263" "TR71" 2402748.81
"264" "TR72" 1646008.32
"265" "TR81" 1142044.16
"266" "TR82" 910891.56
"267" "TR83" 4267888.24
"268" "TR90" 1763152
"269" "TRA1" 1287739.08
"270" "TRA2" 157258.18
"271" "TRB1" 1541040.38
"272" "TRB2" 1771912.25
"273" "TRC1" 1038596.7
"274" "TRC2" 389065.6
"275" "TRC3" 229983.78
"276" "UKC1" 2098643.1
"277" "UKC2" 2757260.1
"278" "UKD1" 389498.3
"279" "UKD3" 7013048.55
"280" "UKD4" 1616473.76
"281" "UKD6" 1116785.1
"282" "UKD7" 2315619.57
"283" "UKE1" 1090905.9
"284" "UKE2" 2945911.92
"285" "UKE3" 2990321.55
"286" "UKE4" 4155999
"287" "UKF1" 5323148.56
"288" "UKF2" 4978568.48
"289" "UKF3" 310684.48
"290" "UKG1" 786802.4
"291" "UKG2" 683242.92
"292" "UKG3" 11259895.52
"293" "UKH1" 16599240.7
"294" "UKH2" 3450802.95
"295" "UKH3" 234560.37
"296" "UKI3" 26410888.6
"297" "UKI4" 77748.81
"298" "UKI7" 2335440.28
"299" "UKJ1" 15869849.52
"300" "UKJ2" 6264831.93
"301" "UKJ3" 4549037.76
"302" "UKJ4" 1783282.08
"303" "UKK1" 6118629.51
"304" "UKK2" 0
"305" "UKK3" 2064133.26
"306" "UKK4" 930801.69
"307" "UKL1" 2748936.68
"308" "UKL2" 3137718.72
"309" "UKM5" 1258818.55
"310" "UKM6" 1170704.25
"311" "UKM7" 5909815.44
"312" "UKM8" 6005725.56
"313" "UKM9" 79004.37
"314" "UKN0" 8048039.88
