"nuts2" "inter_link"
"1" "AL02" 73727.5
"2" "AT12" 1412906.6
"3" "AT13" 7401096.36
"4" "AT21" 608239.89
"5" "AT22" 2430143.6
"6" "AT31" 1226197.8
"7" "AT32" 73341.53
"8" "AT33" 429893.82
"9" "AT34" 219783.84
"10" "BE10" 9560097.75
"11" "BE21" 4487494.32
"12" "BE22" 3728993.42
"13" "BE23" 4888858.12
"14" "BE24" 13031922.33
"15" "BE25" 1051576.5
"16" "BE31" 695041.4
"17" "BE32" 897178.1
"18" "BE33" 1457550.82
"19" "BE35" 1290757.68
"20" "BG33" 0
"21" "BG34" 145766.9
"22" "BG41" 1691105.78
"23" "BG42" 146421.84
"24" "CH01" 11104817.52
"25" "CH02" 2297140.2
"26" "CH03" 6764568.16
"27" "CH04" 12318339.28
"28" "CH05" 841379.64
"29" "CH06" 1300149.54
"30" "CH07" 1019824.35
"31" "CY00" 4154362.08
"32" "CZ01" 3735060.21
"33" "CZ02" 216885.9
"34" "CZ03" 339962.75
"35" "CZ04" 147594.32
"36" "CZ05" 430419.96
"37" "CZ06" 475520.71
"38" "CZ07" 766319.73
"39" "CZ08" 1168142.04
"40" "DE11" 7515297.24
"41" "DE12" 6830687.16
"42" "DE13" 5297885.88
"43" "DE14" 3354920.82
"44" "DE21" 12788027.92
"45" "DE22" 433346.52
"46" "DE23" 922247.95
"47" "DE24" 1130983.2
"48" "DE25" 6506111.36
"49" "DE26" 2302267.45
"50" "DE27" 1062285.28
"51" "DE30" 15253773.38
"52" "DE40" 9564907.56
"53" "DE50" 5149316
"54" "DE60" 4044515.44
"55" "DE71" 7793868.96
"56" "DE72" 1845343.35
"57" "DE73" 4669182.23
"58" "DE80" 2332124.43
"59" "DE91" 8366065.92
"60" "DE92" 3664687.06
"61" "DE93" 73984.77
"62" "DE94" 9176924.1
"63" "DEA1" 5000001.34
"64" "DEA2" 10676847.96
"65" "DEA3" 1496577.28
"66" "DEA4" 1094496.16
"67" "DEA5" 3307421
"68" "DEB1" 145038.12
"69" "DEB2" 296433.28
"70" "DEB3" 3908892.19
"71" "DEC0" 1215839.34
"72" "DED2" 5973359.17
"73" "DED4" 1270750.4
"74" "DED5" 1021434.9
"75" "DEE0" 5972242.56
"76" "DEF0" 8929755.17
"77" "DEG0" 3476194.96
"78" "DK01" 20297174.4
"79" "DK02" 12306104.1
"80" "DK03" 12103368.6
"81" "DK04" 10822319.76
"82" "DK05" 40449106.2
"83" "EE00" 6922323.86
"84" "EL30" 11746872.48
"85" "EL41" 72497.82
"86" "EL43" 1509575.54
"87" "EL51" 1216299.42
"88" "EL52" 3720643.56
"89" "EL53" 349554.05
"90" "EL54" 348418.3
"91" "EL61" 662321.16
"92" "EL63" 2341693
"93" "EL64" 705374.6
"94" "EL65" 148353.02
"95" "ES11" 4624328.68
"96" "ES12" 952618.05
"97" "ES13" 767061.68
"98" "ES21" 7920494.78
"99" "ES22" 3951034.66
"100" "ES23" 499305.87
"101" "ES24" 10754255.72
"102" "ES30" 20783343.7
"103" "ES41" 3246509.5
"104" "ES42" 8496602.5
"105" "ES43" 5499317.6
"106" "ES51" 29708010.4
"107" "ES52" 4554305.02
"108" "ES53" 2380718.08
"109" "ES61" 15329610.53
"110" "ES62" 4266052.2
"111" "ES70" 1003745.68
"112" "FI19" 3546579.33
"113" "FI1B" 7312495.76
"114" "FI1C" 3696795.52
"115" "FI1D" 1385511.2
"116" "FR10" 25912029.72
"117" "FRB0" 2391786.12
"118" "FRC1" 776921.75
"119" "FRC2" 4503095.32
"120" "FRD1" 1245789.54
"121" "FRD2" 1719421.5
"122" "FRE1" 12124661.44
"123" "FRE2" 2158835.58
"124" "FRF1" 2920805.13
"125" "FRF2" 1791320.18
"126" "FRF3" 2450190.6
"127" "FRG0" 4157093.16
"128" "FRH0" 5548835.88
"129" "FRI1" 3896043.42
"130" "FRI2" 894310.68
"131" "FRI3" 2196630.72
"132" "FRJ1" 2637680.06
"133" "FRJ2" 7484249.5
"134" "FRK1" 339312.75
"135" "FRK2" 11614363.74
"136" "FRL0" 5442394.72
"137" "FRM0" 657736.29
"138" "FRY1" 74100.88
"139" "FRY3" 0
"140" "FRY4" 0
"141" "HR02" 285732.84
"142" "HR03" 1026736.5
"143" "HR05" 2662041.9
"144" "HR06" 73959.04
"145" "HU11" 3547052.88
"146" "HU12" 74609.07
"147" "HU21" 280153.2
"148" "HU22" 74379.33
"149" "HU31" 74422.32
"150" "HU32" 1013544.84
"151" "HU33" 292168.32
"152" "IE04" 950550.58
"153" "IE05" 7275778.8
"154" "IE06" 10263652.06
"155" "IS00" 563548.8
"156" "ITC1" 10505728.05
"157" "ITC3" 4820844.49
"158" "ITC4" 18031639.73
"159" "ITF1" 3199017.43
"160" "ITF2" 370541.6
"161" "ITF3" 13733520.54
"162" "ITF4" 6086210.51
"163" "ITF5" 858684.12
"164" "ITF6" 1803412
"165" "ITG1" 9911432.57
"166" "ITG2" 2201506.3
"167" "ITH1" 1336957.23
"168" "ITH2" 3567099.6
"169" "ITH3" 6510965.08
"170" "ITH4" 3959260.8
"171" "ITH5" 7902506.85
"172" "ITI1" 14298306.12
"173" "ITI2" 3880126.43
"174" "ITI3" 1710328.56
"175" "ITI4" 14101289.35
"176" "LI00" 73772.94
"177" "LT01" 408789.06
"178" "LT02" 861404.7
"179" "LU00" 1235253.65
"180" "LV00" 2211440.96
"181" "ME00" 1662163.77
"182" "MK00" 477944.32
"183" "MT00" 1348778.84
"184" "NL11" 2340142.92
"185" "NL12" 147545.88
"186" "NL21" 2341937.57
"187" "NL22" 3621895.75
"188" "NL23" 74388.51
"189" "NL31" 1223714
"190" "NL32" 7735923.87
"191" "NL33" 18481775.13
"192" "NL41" 8851786.76
"193" "NL42" 1270690.36
"194" "NO02" 72761.21
"195" "NO06" 11392982.56
"196" "NO07" 664231.1
"197" "NO08" 4957515.36
"198" "NO09" 1565812.08
"199" "NO0A" 2133923.84
"200" "PL21" 2201059.52
"201" "PL22" 477069.11
"202" "PL41" 811113.36
"203" "PL42" 769379.38
"204" "PL43" 707271
"205" "PL51" 2830537.35
"206" "PL52" 0
"207" "PL61" 1064456.25
"208" "PL62" 297026.72
"209" "PL63" 1807163.19
"210" "PL71" 950490.6
"211" "PL72" 0
"212" "PL81" 349205.55
"213" "PL82" 275376.28
"214" "PL84" 494719.12
"215" "PL91" 5726029.26
"216" "PL92" 221577.39
"217" "PT11" 12115793.55
"218" "PT15" 283512.72
