nuts_level3_code	cluster_id1	counts
UKN0D	688	1
UKN0C	377	1
UKN06	237	1
UKN06	331	3
UKN06	434	2
UKN06	615	8
UKN06	627	1
UKN06	1258	2
UKN06	1835	1
UKN06	3170	1
UKM84	1053	1
UKM82	13	1
UKM82	120	1
UKM82	158	1
UKM82	165	2
UKM82	257	1
UKM82	282	5
UKM82	331	3
UKM82	345	1
UKM82	368	1
UKM82	406	1
UKM82	492	1
UKM82	547	1
UKM82	613	3
UKM82	615	20
UKM82	657	1
UKM82	679	1
UKM82	681	1
UKM82	696	1
UKM82	724	1
UKM82	841	1
UKM82	849	3
UKM82	948	1
UKM82	1053	1
UKM82	1177	1
UKM82	1264	1
UKM82	1318	2
UKM82	1361	2
UKM82	1495	1
UKM82	1501	2
UKM82	1502	1
UKM82	1561	1
UKM82	1806	1
UKM82	2414	2
UKM82	2454	2
UKM75	0	1
UKM75	18	1
UKM75	67	2
UKM75	68	6
UKM75	98	1
UKM75	244	4
UKM75	282	2
UKM75	341	1
UKM75	438	1
UKM75	571	1
UKM75	615	2
UKM75	740	2
UKM75	777	1
UKM75	822	2
UKM75	842	1
UKM75	864	9
UKM75	881	2
UKM75	903	3
UKM75	981	1
UKM75	1032	1
UKM75	1107	3
UKM75	1264	3
UKM75	1282	1
UKM75	1361	1
UKM75	1442	1
UKM75	1532	2
UKM75	1647	4
UKM75	1694	3
UKM75	1835	1
UKM75	1874	1
UKM75	2015	1
UKM75	2309	1
UKM75	2510	15
UKM75	2560	2
UKM75	3110	1
UKM73	254	1
UKM73	1532	2
UKM73	3257	2
UKM72	251	5
UKM72	1227	1
UKM72	1264	1
UKM72	1856	1
UKM71	18	1
UKM71	102	1
UKM71	341	1
UKM71	492	1
UKM71	571	1
UKM71	613	4
UKM71	842	1
UKM71	903	2
UKM71	976	1
UKM71	1036	1
UKM71	1299	1
UKM71	1361	3
UKM71	1495	1
UKM71	1532	1
UKM71	1754	2
UKM71	1856	1
UKM71	2077	3
UKM66	2287	1
UKM63	212	1
UKM63	377	2
UKM62	3110	1
UKM61	1016	1
UKM50	13	1
UKM50	142	1
UKM50	250	1
UKM50	331	1
UKM50	615	4
UKM50	627	1
UKM50	657	1
UKM50	1251	1
UKM50	1264	1
UKM50	1495	2
UKM50	1532	2
UKM50	2670	1
UKL23	615	1
UKL23	1230	2
UKL23	1248	1
UKL23	1253	1
UKL23	3406	1
UKL22	32	1
UKL22	199	1
UKL22	282	2
UKL22	341	1
UKL22	345	1
UKL22	353	1
UKL22	395	1
UKL22	634	1
UKL22	748	1
UKL22	927	1
UKL22	1126	19
UKL22	1230	1
UKL22	1248	1
UKL22	1253	2
UKL22	1532	2
UKL22	1646	1
UKL22	2624	2
UKL22	2675	2
UKL22	3015	1
UKL22	3245	1
UKL22	3773	1
UKL18	1694	1
UKL15	257	1
UKL14	63	1
UKL14	808	2
UKL14	864	1
UKL11	2287	1
UKK43	32	1
UKK43	68	1
UKK43	717	2
UKK41	1282	1
UKK30	1263	1
UKK23	864	1
UKK23	1318	1
UKK15	350	1
UKK15	1674	1
UKK14	3322	1
UKK13	3036	1
UKK12	237	1
UKK12	402	1
UKK12	864	1
UKK12	881	1
UKK12	931	2
UKK12	1500	1
UKK12	1596	1
UKK12	2560	2
UKK11	68	12
UKK11	135	1
UKK11	165	1
UKK11	183	2
UKK11	188	1
UKK11	248	1
UKK11	250	1
UKK11	256	1
UKK11	434	1
UKK11	615	3
UKK11	679	1
UKK11	681	1
UKK11	864	1
UKK11	908	1
UKK11	912	1
UKK11	939	1
UKK11	976	1
UKK11	1008	1
UKK11	1056	1
UKK11	1123	1
UKK11	1156	1
UKK11	1419	1
UKK11	1532	1
UKK11	1684	1
UKK11	2033	1
UKK11	2116	3
UKK11	2243	3
UKK11	2581	1
UKJ44	1177	1
UKJ44	1264	1
UKJ44	2414	3
UKJ41	1206	1
UKJ41	3406	2
UKJ37	350	1
UKJ37	912	1
UKJ37	1450	1
