"CSP01" "CSP02" "CSP03" "CSP04" "CSP05" "CSP06" "CSP07" "CSP08" "CSP09" "CSP10" "CSP11" "CSP12" "CSP13" "CSP14" "CSP15" "CSP16" "CSP17" "CSP18" "CSP19" "CSP20" "CSP21" "CSP22"
"AT111" 0 0 0 0 0 0 0 0 0.6 0 0 0 0 0 0 0 0 0 0 0 0 0
"AT124" 0 0 0 0 0 0 0 0 0.571428571428572 0 0 0 0 0 0 0 0 0 0 0 0 0
"AT125" 0 0 0 0 0 0 0 0 0.571428571428572 0 0 0 0 0 0 0 0 0 0 0 0 0
"AT126" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0
"AT127" 0 0 0 0 0 0 0 0 1.45714285714286 0 0 0 0 0 0 0 0 0 0 0 0 0
"AT130" 0 0 0 0 0 0 0 0 1.25714285714286 0 0 0 0 0 0 0 0 0 0 0 0.5 0
"AT211" 0 0 0 0 0 0 0 0 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0
"AT213" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"AT221" 0 0 0 0 0 0 0 0 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0
"AT223" 0 0 0 0 0 0 0 0 0.6 0 0 0 0 0 0 0 0 0 0 0 0 0
"AT311" 0 0 0 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0
"AT312" 0.25 0 0 0 0 0 0 0 2.48809523809524 0 0 0 0 0 0 0 0 0 0 0 0.333333333333334 0
"AT314" 0 0 0 0 0 0 0 0 2.23809523809524 0 0 0 0 0 0 0 0 0 0 0 0 0
"AT331" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"AT332" 0 0 0 0 0 0 0 0 0.285714285714286 0 0 0 0 0 0 0 0 0 0 0 0 0
"AT342" 0 0 0 0 0 0 0 0 12.4166666666667 0 0 0 0 0 0 0 0 0 0 0 0 0
"BE100" 0 0 0 0 0 0 0 0 16.8809523809524 0 0 0 0 0 0 0 0 0 0 0 0 0
"BE211" 0 0 0 0 0 0 0 0 9.06666666666667 0 0 0 0.5 0 0 0 0 0 0 0 0 0
"BE212" 0 0 0 0 0 0 0 0 0.916666666666666 0 0 0 0 0 0 0 0 0 0 0 0 0
"BE213" 0 0 0 0 0 0 0 0 6.25 0 0 0 0 0 0 0 0 0 0 0 0 0
"BE221" 0 0 0 0 0 0 0 0 3.5 0 0 0 0 0 0 0 0 0 0 0 0 0
"BE223" 0 0 0 0 0 0 0 0 0.666666666666668 0 0 0 0 0 0 0 0 0 0 0 0 0
"BE231" 0 0 0 0 0 0 0 0 2.75 0 0 0 0 0 0 0 0 0 0 0 0 0
"BE232" 0 0 0 0 0 0 0 0 1.66666666666666 0 0 0 0 0 0 0 0 0 0 0 0 0
"BE233" 0 0 0 0 0 0 0 0 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0
"BE234" 0 0.5 0 0 0 0 0 0 2.58333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0
"BE235" 0 0 0 0 0 0 0 0 1.66666666666666 0 0 0 0 0 0 0 0 0 0 0 0 0
"BE236" 0 0 0 0 0 0 0 0 1.5 0 0 0 0 0 0 0 0 0 0 0 0 0
"BE241" 0 0 0 0 0 0 0 0 4.75 0 0 0 0 0 0 0 0 0 0 0 0 0
"BE242" 0 0 0 0 0 0 0 0 25.4833333333333 0 0 0 0 0 0 0 0 0 0 0 0.2 0
"BE251" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2 0
"BE256" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2 0
"BE257" 0 0 0 0 0 0 0 0 0.4 0 0 0 0 0 0 0 0 0 0 0 0 0
"BE310" 0 0 0 0 0 0 0 0 4.04761904761905 0 0 0 0 0 0 0 0 0 0 0 0 0
"BE322" 0 0 0 0 0 0 0 0 6.25 0 0 0 0 0 0 0 0 0 0 0 0 0
"BE323" 0 0 0 0 0 0 0 0 1.16666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0
"BE331" 0 0 0 0 0 0 0 0 1.75 0 0 0 0 0 0 0 0 0 0 0 0 0
"BE332" 0 0 0 0 0 0 0 0 2.75 0 0 0 0 0 0 0 0 0 0 0 0 0
"BE334" 0 0 0 0 0 0 0 0 0.999999999999999 0 0 0 0 0 0 0 0 0 0 0 0 0
"BE352" 0 0 0 0 0 0 0 0 17.0833333333333 0 0 0 0 0 0 0 0 0 0 0 0 0
"BE353" 0 0 0 0 0 0 0 0 0.999999999999999 0 0 0 0 0 0 0 0 0 0 0 0 0
"BG411" 0 0 0 0 0 0 0 0 0 1 6 0 0 0 0 0 0 0 0 0 0 0
"CH011" 0 0 2.5 0 0 0 0 0 6.45238095238095 0 0 0 0 0 0 0 1.66666666666666 0 0 0 0 0
"CH013" 0 0 0 0 0 0 0 0 3.5 0 0 0 0 0 0 0 0 0 0 0 0 0
"CH021" 0 0 0 0 0 0 0 0 1.33333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0
"CH022" 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0
"CH023" 0 0 0 0 0 0 0 0 7.36904761904762 0 0 0 0 0 0 0 0 0 0 0 0.25 0
"CH024" 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0
"CH031" 0 0 0 0 0 0 0 0 1.75 0 0 0 0 0 0 0 0 0 0 0 0.25 0
"CH032" 0 0 0 0 0 0 0 0 1.83333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0
