
id	label	sublabel	description	x	y	cluster	weight<Links>	weight<Total  link strength>	weight<No. of pub. (2000-2020)>	score<Avg. pub. year>	weight<absloute no>	weight<relative no>	score<Avg.year.set>
7	7	"metal organic framework; mof; mil; coordination polymer; zif"	"<table><tr><td>Micro-level field:</td><td>7</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>crystengcomm; crystal growth & design; inorganic chemistry; inorganic chemistry communications; chemical communications</td></tr><tr><td>Terms:</td><td>metal organic framework; mof; mil; coordination polymer; zif</td></tr></table>"	0,3382	-0,6328	3	2747	974883	42786	2013,4358	1	2,3372131070911E-05	2017
8	8	"organic thin film transistor; polymer solar cells; open circuit voltage; photovoltaic performance"	"<table><tr><td>Micro-level field:</td><td>8</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>organic electronics; applied physics letters; acs applied materials & interfaces; advanced materials; journal of physical chemistry c</td></tr><tr><td>Terms:</td><td>organic thin film transistor; polymer solar cells; open circuit voltage; photovoltaic performance</td></tr></table>"	0,5269	-0,5983	3	2508	740458	41730	2013,3393	8	0,000191708602923556	2013,25
22	22	"zno nanorod array; zinc oxide thin film; zno nanowires; zno film"	"<table><tr><td>Micro-level field:</td><td>22</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>applied physics letters; applied surface science; thin solid films; journal of applied physics; journal of alloys and compounds</td></tr><tr><td>Terms:</td><td>zno nanorod array; zinc oxide thin film; zno nanowires; zno film</td></tr></table>"	0,705	-0,5574	3	2409	670954	36855	2011,7641	1	2,71333604666938E-05	2016
25	25	"hepatitis c virus genotype; chronic hepatitis c; hcv genotype; ribavirin; direct acting antiviral"	"<table><tr><td>Micro-level field:</td><td>25</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>hepatology; journal of viral hepatitis; journal of hepatology; journal of virology; plos one</td></tr><tr><td>Terms:</td><td>hepatitis c virus genotype; chronic hepatitis c; hcv genotype; ribavirin; direct acting antiviral</td></tr></table>"	-0,7703	-0,1795	2	2547	449431	35948	2010,7657	0	0	0
38	38	"white organic light; iridium; diode; oled; host material"	"<table><tr><td>Micro-level field:</td><td>38</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>applied physics letters; synthetic metals; organic electronics; proceedings of spie; journal of materials chemistry c</td></tr><tr><td>Terms:</td><td>white organic light; iridium; diode; oled; host material</td></tr></table>"	0,4308	-0,6236	3	2259	480663	32475	2010,1662	1	3,07929176289453E-05	2004
41	41	"hydroformylation; carbonylation; ii ii; mu co; fischer carbene complex"	"<table><tr><td>Micro-level field:</td><td>41</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>organometallics; journal of organometallic chemistry; inorganic chemistry; dalton transactions; inorganica chimica acta</td></tr><tr><td>Terms:</td><td>hydroformylation; carbonylation; ii ii; mu co; fischer carbene complex</td></tr></table>"	0,2306	-0,6859	3	1728	510321	32130	2007,4212	0	0	0
72	72	"voter turnout; us house; electoral system; political knowledge; voter"	"<table><tr><td>Micro-level field:</td><td>72</td></tr><tr><td>Main fields:</td><td>Social sciences and humanities</td></tr><tr><td>Sources:</td><td>electoral studies; journal of politics; party politics; political research quarterly; american journal of political science</td></tr><tr><td>Terms:</td><td>voter turnout; us house; electoral system; political knowledge; voter</td></tr></table>"	-0,1735	0,8423	1	1969	269894	28558	2012,3535	0	0	0
74	74	"binocular rivalry; lateral geniculate nucleus; contrast sensitivity; primary visual cortex; color constancy"	"<table><tr><td>Micro-level field:</td><td>74</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>vision research; journal of vision; journal of neuroscience; perception; journal of neurophysiology</td></tr><tr><td>Terms:</td><td>binocular rivalry; lateral geniculate nucleus; contrast sensitivity; primary visual cortex; color constancy</td></tr></table>"	-0,3464	0,5432	2	2712	460671	28446	2009,638	0	0	0
88	88	"group decision; ahp; analytic hierarchy process; supplier selection; fuzzy ahp"	"<table><tr><td>Micro-level field:</td><td>88</td></tr><tr><td>Main fields:</td><td>Mathematics and computer science</td></tr><tr><td>Sources:</td><td>journal of intelligent & fuzzy systems; expert systems with applications; european journal of operational research; lecture notes in computer science; information sciences</td></tr><tr><td>Terms:</td><td>group decision; ahp; analytic hierarchy process; supplier selection; fuzzy ahp</td></tr></table>"	0,5046	0,5356	5	3048	278261	27142	2013,3398	0	0	0
105	105	"mos2; black phosphorus; phosphorene; silicene; transition metal dichalcogenide"	"<table><tr><td>Micro-level field:</td><td>105</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>physical review b; nanoscale; nano letters; applied physics letters; acs nano</td></tr><tr><td>Terms:</td><td>mos2; black phosphorus; phosphorene; silicene; transition metal dichalcogenide</td></tr></table>"	0,7054	-0,5382	3	2577	714434	26129	2017,2801	1	3,82716521872249E-05	2016
