id	label	x	y	cluster	weight
1878	1878	-0.8871	0.0387	2	4
1288	1288	0.765	-0.1196	3	1
1289	1289	-0.7918	0.0806	2	7
3993	3993	-0.0566	0.7981	1	1
4004	4004	-0.1495	0.8291	1	3
3927	3927	0.7959	-0.5616	3	1
3954	3954	-0.6461	-0.4102	2	1
3748	3748	-0.6306	0.4739	2	1
3769	3769	-0.2334	0.848	1	1
3822	3822	0.677	0.4779	5	1
3662	3662	-0.225	0.8782	1	1
3665	3665	-0.8263	-0.3406	2	1
3688	3688	0.0026	-0.7256	3	1
3728	3728	-0.3927	0.5853	1	2
3573	3573	0.8651	-0.5053	3	26
3580	3580	-0.4556	-0.3556	4	2
3591	3591	0.674	0.3893	3	3
3594	3594	-0.6295	-0.3796	4	1
3618	3618	-0.5709	-0.3525	4	1
3623	3623	-1.0317	-0.1696	2	1
3472	3472	-0.564	-0.4051	4	2
3481	3481	0.0219	-0.4058	4	1
3485	3485	0.879	-0.4943	3	3
3500	3500	-1.0356	-0.0523	2	1
3504	3504	0.4127	-0.0272	4	1
3505	3505	-0.6737	-0.3873	2	1
3371	3371	-0.2287	0.9177	1	2
3396	3396	0.5775	0.6185	5	3
3414	3414	0.8561	0.5348	5	1
3308	3308	-0.5989	0.4587	2	1
3323	3323	1.1556	0.2109	5	1
3327	3327	0.8323	0.1904	5	1
3339	3339	0.7275	-0.3043	3	1
3341	3341	0.1027	-0.7182	3	1
3178	3178	0.2526	0.6187	3	1
3207	3207	0.444	0.4232	5	2
3212	3212	0.4303	0.5544	1	2
3214	3214	-0.3557	-0.3139	4	2
3220	3220	-0.1472	0.7898	1	3
3235	3235	0.8495	0.2136	5	1
3251	3251	0.7898	0.457	5	1
3073	3073	-0.2964	-0.4588	3	1
3076	3076	-0.3529	0.7068	1	3
3082	3082	-0.6337	-0.4247	2	1
3104	3104	0.7782	-0.5617	3	4
3106	3106	0.231	0.3058	4	1
3109	3109	-0.957	-0.1401	2	1
3114	3114	0.5475	-0.5138	3	1
3115	3115	0.6627	-0.5563	3	4
3123	3123	-1.0243	-0.161	2	1
3147	3147	-0.2088	0.8756	1	1
3148	3148	1.1747	0.1947	5	1
2960	2960	0.3818	-0.4686	3	1
3001	3001	0.5881	0.6499	5	1
3005	3005	0.4322	-0.4575	3	1
3006	3006	0.4431	-0.4753	3	1
3022	3022	0.8184	0.5232	5	1
3045	3045	-0.9346	0.0132	2	2
3049	3049	-0.0673	-0.1149	4	5
3059	3059	-0.8711	-0.0087	2	1
3062	3062	-0.7235	-0.3615	2	4
3064	3064	-0.7801	-0.1828	2	2
2870	2870	-0.6666	-0.3773	2	1
2882	2882	0.6351	0.4904	5	2
2887	2887	0.6611	-0.552	3	1
2899	2899	0.8303	0.2685	5	1
2910	2910	0.0755	-0.5678	3	1
2914	2914	-0.5064	-0.1941	4	4
2933	2933	-0.2131	-0.2644	4	12
2935	2935	0.7054	0.6155	5	1
2968	2968	-0.6557	-0.2492	2	1
2774	2774	0.8766	-0.5365	3	1
2778	2778	-0.8105	-0.0613	2	1
2787	2787	-0.5585	0.4992	2	1
2788	2788	0.7485	-0.141	3	1
2791	2791	0.7981	-0.2177	3	1
2800	2800	0.1708	0.52	5	2
2802	2802	-0.2075	0.8812	1	1
2806	2806	0.5712	0.5068	3	2
2821	2821	-0.5904	0.3528	2	2
2822	2822	-0.6241	-0.2124	4	1
2830	2830	0.0065	0.7693	1	1
2849	2849	-0.8343	-0.2444	2	3
2855	2855	-0.0396	0.7626	1	2
2670	2670	0.479	-0.3308	4	4
2685	2685	-1.0311	-0.0736	2	1
2689	2689	1.2566	-0.2634	3	1
2694	2694	0.8202	0.47	5	1
2698	2698	-0.9887	-0.0053	2	1
2719	2719	0.956	0.0905	5	1
2721	2721	-0.5846	-0.3293	2	16
2725	2725	-0.7856	0.1248	2	22
2727	2727	-0.2892	0.77	1	1
2743	2743	0.9495	-0.4179	3	8
2745	2745	-0.7956	-0.1757	2	2
2751	2751	0.3898	-0.1227	4	1
2752	2752	-0.2821	0.7404	1	2
2766	2766	-0.7188	-0.3524	2	1
2583	2583	0.8541	-0.2926	5	1
2585	2585	-0.9477	0.0358	2	1
2592	2592	-0.3153	0.7456	1	1
2610	2610	0.9962	-0.0162	5	1
2612	2612	-0.1067	0.6929	1	2
2619	2619	-0.7921	-0.282	2	1
2629	2629	-1.0099	-0.1236	2	4
2630	2630	0.331	-0.4723	3	5
2631	2631	0.7896	-0.422	3	1
2635	2635	-0.5816	0.3989	2	17
2654	2654	-0.3534	0.6483	1	2
2655	2655	-0.4138	-0.2492	4	1
2674	2674	-0.1306	0.7675	1	1
2471	2471	0.6232	-0.1405	4	1
2483	2483	-0.7856	-0.2616	2	1
2492	2492	0.8548	-0.4575	3	1
2501	2501	1.1993	0.2358	5	1
2505	2505	0.5787	0.5415	5	4
2509	2509	-0.6628	0.2704	2	1
2516	2516	-0.6217	-0.1667	4	2
2520	2520	0.993	0.0123	5	1
2528	2528	-0.7637	0.0432	2	1
2529	2529	-0.2128	0.8871	1	2
2543	2543	-0.042	0.7534	1	1
2560	2560	-0.9704	-0.2043	2	1
2566	2566	-0.2687	-0.2009	4	1
2573	2573	0.8692	-0.192	3	2
1291	1291	0.8642	0.1398	5	8
2390	2390	0.4649	0.4186	5	2
2391	2391	-0.8877	-0.0476	4	1
2403	2403	-0.8921	-0.1939	2	1
2413	2413	-0.638	0.3051	2	1
2426	2426	-0.964	-0.0587	2	1
2437	2437	-0.5288	-0.247	4	1
2443	2443	-0.8943	-0.0145	2	1
