id	label	x	y	cluster	weight
1878	1878	-0.8871	0.0387	2	90
1879	1879	0.89	-0.0134	5	1
1880	1880	-0.6533	-0.2027	2	21
1881	1881	0.5691	0.5155	5	7
1884	1884	-0.3183	0.6532	1	6
1886	1886	-0.2042	0.805	1	1
1289	1289	-0.7918	0.0806	2	198
3964	3964	-0.955	0.0889	2	1
3993	3993	-0.0566	0.7981	1	1
1679	1679	0.8385	0.5305	5	12
1682	1682	-0.1679	0.8125	1	2
3860	3860	0.7825	-0.5486	3	1
3865	3865	0.7355	-0.175	3	1
3877	3877	-0.9988	-0.2091	2	1
3891	3891	0.6112	0.5775	5	2
3894	3894	-0.6351	-0.4314	2	2
3896	3896	-0.2633	0.8963	1	5
3907	3907	-0.6581	-0.4131	2	1
3910	3910	0.9813	-0.4249	3	1
3927	3927	0.7959	-0.5616	3	3
3930	3930	-0.2529	-0.1792	4	3
3940	3940	-0.1498	-0.2072	4	1
3748	3748	-0.6306	0.4739	2	1
3755	3755	-0.7432	-0.3919	2	1
3762	3762	-0.7666	-0.3633	2	1
3769	3769	-0.2334	0.848	1	2
3772	3772	-0.2604	0.8539	1	1
3774	3774	1.2609	-0.0869	5	1
3784	3784	-0.0131	-0.7188	3	2
3796	3796	0.6428	0.5444	5	3
3797	3797	0.705	0.6435	5	1
3800	3800	-0.196	0.9156	1	3
3812	3812	0.0018	0.8076	1	1
3817	3817	0.6344	0.4481	5	1
3832	3832	-0.217	0.8794	1	1
3834	3834	0.2365	0.1641	1	2
3835	3835	-0.6446	-0.4347	2	2
3837	3837	0.8235	-0.5237	3	2
3656	3656	-0.6616	-0.3981	2	1
3665	3665	-0.8263	-0.3406	2	2
3679	3679	0.5828	-0.0324	4	2
3686	3686	0.6989	0.4056	5	1
3687	3687	-0.5968	-0.3972	4	2
3688	3688	0.0026	-0.7256	3	1
3697	3697	0.011	0.8006	1	1
3723	3723	-0.2106	0.8983	1	2
3728	3728	-0.3927	0.5853	1	16
3736	3736	0.6294	-0.1358	3	1
3740	3740	0.034	-0.7395	3	2
3742	3742	-0.8996	0.1909	2	1
3757	3757	0.2304	-0.4069	3	1
3759	3759	-0.9499	0.0119	2	1
3563	3563	1.2292	-0.2537	3	7
3567	3567	-0.0512	0.1629	1	1
3568	3568	0.4494	-0.5274	3	1
3573	3573	0.8651	-0.5053	3	268
3577	3577	-0.1999	0.8898	1	2
3578	3578	-0.218	-0.5056	3	6
3579	3579	-0.7921	0.0062	2	1
3580	3580	-0.4556	-0.3556	4	14
3585	3585	-0.369	-0.3308	4	4
3589	3589	0.2988	-0.6218	3	3
3590	3590	-0.2209	0.9165	1	3
3591	3591	0.674	0.3893	3	73
3597	3597	-0.8395	-0.2716	2	1
3603	3603	-0.829	-0.2013	2	2
3604	3604	-0.8863	-0.1219	2	1
3608	3608	-0.8929	-0.235	2	1
3616	3616	-0.206	0.9078	1	1
3618	3618	-0.5709	-0.3525	4	1
3620	3620	0.0277	-0.7307	3	1
3623	3623	-1.0317	-0.1696	2	1
3641	3641	0.6962	0.4538	5	1
3447	3447	-0.5248	0.4998	2	13
3449	3449	0.0187	-0.7287	3	2
3468	3468	1.2158	0.2408	5	1
3471	3471	0.7604	-0.4925	3	3
3472	3472	-0.564	-0.4051	4	34
3481	3481	0.0219	-0.4058	4	32
3485	3485	0.879	-0.4943	3	5
3491	3491	-0.6879	-0.2427	2	1
3493	3493	0.0308	0.7845	1	1
3498	3498	-0.4423	-0.3769	4	1
3499	3499	0.6109	-0.5874	3	1
3500	3500	-1.0356	-0.0523	2	1
3504	3504	0.4127	-0.0272	4	1
3511	3511	0.6622	0.3751	5	1
3516	3516	-0.8498	-0.101	2	2
3522	3522	0.5437	-0.0879	3	3
3529	3529	-1.0254	-0.1541	2	49
3532	3532	-0.4563	0.6905	1	5
3533	3533	0.92	0.2839	5	2
3537	3537	-0.3085	-0.2314	4	2
3540	3540	0.6432	-0.5555	3	1
3542	3542	-0.8967	-0.2549	2	2
3550	3550	0.237	0.0076	4	9
3354	3354	0.8017	-0.2237	3	2
3355	3355	0.6464	-0.5802	3	3
3359	3359	0.0285	-0.7224	3	2
3365	3365	0.4766	0.2206	4	11
3371	3371	-0.2287	0.9177	1	7
3385	3385	-0.1722	0.7699	1	2
3386	3386	0.8627	0.2155	5	1
3388	3388	-0.6324	-0.4135	2	8
3389	3389	0.1885	0.2182	1	1
3392	3392	0.388	-0.4436	3	1
3394	3394	-0.6921	0.1644	2	1
3396	3396	0.5775	0.6185	5	35
3400	3400	-0.1879	0.8518	1	1
3402	3402	0.6629	0.4468	5	1
3404	3404	0.4046	-0.5306	3	1
3409	3409	-0.4701	-0.3954	4	2
3412	3412	-0.7977	0.1321	2	1
3414	3414	0.8561	0.5348	5	56
3415	3415	-0.918	0.0629	2	1
3417	3417	-0.884	-0.2451	2	1
3424	3424	-0.2335	-0.2938	4	4
3425	3425	-0.2235	0.9107	1	1
3438	3438	0.569	0.6185	5	1
3440	3440	0.2369	-0.016	4	6
3456	3456	-0.4437	-0.5623	3	1
3264	3264	0.7264	-0.5853	3	1
3269	3269	-0.1344	0.8368	1	1
3271	3271	0.0048	0.7786	1	1
3284	3284	-0.4578	0.5436	1	1
3285	3285	0.9283	-0.4333	3	2
3287	3287	0.6769	-0.2335	3	6
3288	3288	-0.9343	0.1032	2	1
3289	3289	-0.9358	-0.0456	2	1
3292	3292	0.6805	0.3746	3	4
3293	3293	0.767	0.5491	5	1
3299	3299	-0.8349	0.2274	2	2
3301	3301	0.061	-0.4991	2	5
3303	3303	0.0829	-0.7317	3	7
3304	3304	0.8499	0.5388	5	7
3305	3305	-0.5461	-0.2715	2	1
3307	3307	-0.1966	-0.1413	4	1
3308	3308	-0.5989	0.4587	2	37
3309	3309	-0.2575	-0.1737	4	1
3310	3310	-0.9511	-0.2007	2	1
3324	3324	1.2577	-0.2072	3	13
3327	3327	0.8323	0.1904	5	1
3336	3336	-0.2164	-0.1517	4	13
3337	3337	-0.9737	0.0893	2	1
3339	3339	0.7275	-0.3043	3	7
3342	3342	0.0293	0.7622	5	1
3346	3346	0.0095	-0.6579	3	2
3361	3361	-0.7735	-0.1329	2	2
3362	3362	-0.1244	-0.1885	4	2
3165	3165	0.3727	0.1408	4	1
3174	3174	-0.6249	-0.1896	2	2
3175	3175	-0.6206	-0.2315	2	2
3176	3176	0.7907	0.1899	3	1
3177	3177	-0.6749	-0.2699	2	2
3178	3178	0.2526	0.6187	3	30
3197	3197	-0.5574	0.5157	2	2
3198	3198	0.7433	-0.5433	3	7
3199	3199	-0.2035	-0.3094	4	3
3204	3204	-0.1998	-0.1533	4	1
3205	3205	0.363	0.1508	4	3
3207	3207	0.444	0.4232	5	24
3208	3208	0.8322	-0.1236	3	1
3211	3211	0.6595	0.3601	3	1
3212	3212	0.4303	0.5544	1	4
3216	3216	-0.2185	0.8606	1	14
3217	3217	0.7537	-0.5899	3	1
3220	3220	-0.1472	0.7898	1	18
3224	3224	-0.2337	0.8942	1	1
3227	3227	0.6334	-0.574	3	3
3230	3230	1.1315	0.3075	5	1
3235	3235	0.8495	0.2136	5	2
3236	3236	0.7155	0.4883	5	1
3239	3239	-0.2551	0.7818	1	2
3243	3243	-0.5757	0.5011	2	2
3244	3244	0.4424	0.5965	1	1
3247	3247	-0.995	0.0029	2	1
3248	3248	-0.3842	0.7415	1	1
3250	3250	-0.7031	-0.3749	2	56
3251	3251	0.7898	0.457	5	8
3253	3253	0.4657	-0.5192	3	3
3255	3255	-0.0228	0.5985	1	1
3256	3256	1.0904	0.0906	3	1
3262	3262	0.0846	-0.5127	3	3
3073	3073	-0.2964	-0.4588	3	4
3076	3076	-0.3529	0.7068	1	50
3082	3082	-0.6337	-0.4247	2	15
3083	3083	-0.6471	-0.389	2	6
3085	3085	-1.0178	-0.033	2	1
3086	3086	-0.1039	0.8004	1	1
3089	3089	-0.6771	0.2005	2	2
3090	3090	-0.6105	-0.3797	4	2
3099	3099	-1.0016	-0.1417	2	16
3102	3102	-0.4989	0.5421	2	1
3104	3104	0.7782	-0.5617	3	14
3106	3106	0.231	0.3058	4	57
3108	3108	0.7011	-0.3928	3	5
3109	3109	-0.957	-0.1401	2	1
3110	3110	-0.8501	-0.2205	2	3
3113	3113	0.8355	0.2555	5	1
3114	3114	0.5475	-0.5138	3	13
3115	3115	0.6627	-0.5563	3	70
3116	3116	-0.2948	-0.2804	4	1
3123	3123	-1.0243	-0.161	2	50
3124	3124	0.7778	0.5778	5	5
3128	3128	0.7291	-0.2611	3	4
3129	3129	-0.5267	0.508	1	1
3132	3132	0.419	0.061	3	3
3133	3133	1.0215	0.3331	5	1
3136	3136	0.4311	-0.4695	3	1
3137	3137	-0.2274	-0.1242	4	20
3142	3142	-0.781	-0.0298	2	2
3143	3143	-0.4112	0.6531	1	3
3145	3145	-0.2442	-0.1789	4	2
3147	3147	-0.2088	0.8756	1	24
3148	3148	1.1747	0.1947	5	16
3149	3149	1.1876	0.2124	5	1
2977	2977	-0.9557	0.0762	2	2
2982	2982	0.7498	0.6125	5	1
2986	2986	0.9817	-0.3499	3	1
2988	2988	-0.2592	0.8686	1	1
2992	2992	-0.1739	0.7381	1	8
2995	2995	-0.3137	-0.5685	3	1
2996	2996	0.7355	-0.3973	3	13
2997	2997	-0.8755	-0.2664	2	6
2998	2998	0.0287	0.5305	5	8
2999	2999	-0.9808	-0.1819	2	1
3000	3000	-0.9487	0.0992	2	3
3001	3001	0.5881	0.6499	5	7
3002	3002	-0.7801	-0.0825	2	3
3005	3005	0.4322	-0.4575	3	5
3006	3006	0.4431	-0.4753	3	2
3016	3016	-0.3072	-0.2194	4	1
