id	label	x	y	cluster	weight
1878	1878	-0.8871	0.0387	2	246
1879	1879	0.89	-0.0134	5	24
1880	1880	-0.6533	-0.2027	2	50
1881	1881	0.5691	0.5155	5	57
1882	1882	-0.7857	-0.2324	2	21
1883	1883	-0.3649	-0.3165	4	6
1884	1884	-0.3183	0.6532	1	22
1885	1885	-0.5521	-0.2659	2	3
1886	1886	-0.2042	0.805	1	14
1286	1286	0.0111	0.0428	4	17
1287	1287	0.5829	-0.343	3	1
1288	1288	0.765	-0.1196	3	6
1289	1289	-0.7918	0.0806	2	302
3946	3946	0.8205	-0.4002	3	1
3947	3947	-0.2428	0.8985	1	1
3948	3948	-1.0202	-0.1902	2	1
3964	3964	-0.955	0.0889	2	1
3966	3966	-0.6675	-0.4175	2	2
3968	3968	0.3243	-0.5097	3	3
3970	3970	-0.2352	0.9082	1	1
3971	3971	-1.0113	-0.0923	2	1
3978	3978	0.8024	0.2935	5	4
3982	3982	0.6013	-0.621	3	2
3990	3990	0.7517	-0.2762	3	4
3992	3992	0.9173	-0.1724	3	2
3993	3993	-0.0566	0.7981	1	1
3996	3996	-0.2251	0.9222	1	1
4004	4004	-0.1495	0.8291	1	30
1678	1678	0.7581	-0.2369	3	2
1679	1679	0.8385	0.5305	5	99
1680	1680	0.6649	0.4409	5	1
1681	1681	-0.4131	0.689	1	1
1682	1682	-0.1679	0.8125	1	2
3854	3854	-0.7496	0.007	2	1
3860	3860	0.7825	-0.5486	3	8
3865	3865	0.7355	-0.175	3	1
3867	3867	0.4107	0.4704	5	4
3870	3870	0.1342	0.242	1	1
3873	3873	0.6855	0.6409	5	2
3877	3877	-0.9988	-0.2091	2	5
3878	3878	-0.2035	0.789	1	2
3881	3881	0.561	-0.356	3	4
3891	3891	0.6112	0.5775	5	4
3894	3894	-0.6351	-0.4314	2	4
3896	3896	-0.2633	0.8963	1	17
3899	3899	0.9448	-0.0381	5	1
3900	3900	-0.2793	0.8317	1	2
3902	3902	-0.2038	0.8947	1	1
3904	3904	0.8157	0.1927	3	3
3907	3907	-0.6581	-0.4131	2	1
3908	3908	-0.5891	-0.4392	2	3
3910	3910	0.9813	-0.4249	3	3
3911	3911	0.5391	0.6391	5	2
3919	3919	0.5908	0.6606	5	4
3925	3925	-0.8549	-0.2948	2	1
3927	3927	0.7959	-0.5616	3	3
3928	3928	0.8373	0.4725	5	1
3929	3929	-0.4763	-0.2814	4	1
3930	3930	-0.2529	-0.1792	4	5
3931	3931	0.9055	-0.4787	5	2
3936	3936	0.3267	-0.3492	3	1
3940	3940	-0.1498	-0.2072	4	1
3951	3951	0.8449	0.5448	5	1
3952	3952	0.6042	0.6237	5	4
3954	3954	-0.6461	-0.4102	2	13
3748	3748	-0.6306	0.4739	2	16
3755	3755	-0.7432	-0.3919	2	6
3762	3762	-0.7666	-0.3633	2	3
3765	3765	0.7323	-0.5539	3	2
3766	3766	-0.268	-0.2187	4	1
3767	3767	0.5122	0.6296	5	5
3768	3768	0.8306	0.3855	5	4
3769	3769	-0.2334	0.848	1	15
3772	3772	-0.2604	0.8539	1	1
3774	3774	1.2609	-0.0869	5	2
3775	3775	0.3887	-0.1244	4	10
3780	3780	-0.8271	0.2156	2	2
3784	3784	-0.0131	-0.7188	3	5
3785	3785	0.3288	-0.4443	3	2
3787	3787	-0.6522	-0.4206	2	3
