id	label	x	y	cluster	weight
1879	1879	0.89	-0.0134	5	5
1880	1880	-0.6533	-0.2027	2	6
1881	1881	0.5691	0.5155	5	1
1883	1883	-0.3649	-0.3165	4	5
1884	1884	-0.3183	0.6532	1	2
1885	1885	-0.5521	-0.2659	2	1
1886	1886	-0.2042	0.805	1	11
1286	1286	0.0111	0.0428	4	1
1287	1287	0.5829	-0.343	3	1
1288	1288	0.765	-0.1196	3	1
1289	1289	-0.7918	0.0806	2	76
3975	3975	-0.882	-0.2811	2	4
3982	3982	0.6013	-0.621	3	1
3996	3996	-0.2251	0.9222	1	1
1679	1679	0.8385	0.5305	5	1
1681	1681	-0.4131	0.689	1	1
1682	1682	-0.1679	0.8125	1	9
3854	3854	-0.7496	0.007	2	2
3860	3860	0.7825	-0.5486	3	1
3878	3878	-0.2035	0.789	1	1
3901	3901	-0.9161	0.1383	2	3
3908	3908	-0.5891	-0.4392	2	1
3920	3920	-0.5892	-0.4169	4	1
3922	3922	0.8438	-0.2121	3	1
3928	3928	0.8373	0.4725	5	1
3930	3930	-0.2529	-0.1792	4	3
3931	3931	0.9055	-0.4787	5	1
3762	3762	-0.7666	-0.3633	2	5
3765	3765	0.7323	-0.5539	3	3
3766	3766	-0.268	-0.2187	4	1
3783	3783	-0.3495	-0.4845	4	2
3787	3787	-0.6522	-0.4206	2	1
3792	3792	-0.2151	0.9149	1	1
3797	3797	0.705	0.6435	5	1
3815	3815	-0.8448	-0.2839	2	1
3817	3817	0.6344	0.4481	5	2
3827	3827	0.8049	0.2791	5	2
3828	3828	-0.654	-0.3814	2	1
3831	3831	-0.8989	-0.1007	2	1
3652	3652	-0.1807	0.8921	1	2
3663	3663	-0.8127	0.0823	2	1
3667	3667	-0.6963	-0.4142	2	1
3669	3669	-0.2039	0.9207	1	1
3684	3684	-0.7983	-0.1468	2	1
3706	3706	-0.1949	-0.4814	4	1
3720	3720	0.0224	-0.7251	3	1
3727	3727	-0.2601	-0.1801	4	1
3728	3728	-0.3927	0.5853	1	1
3742	3742	-0.8996	0.1909	2	2
3557	3557	-0.201	0.8809	1	1
3559	3559	-0.6824	0.0088	2	2
3565	3565	-0.564	-0.5143	2	2
3567	3567	-0.0512	0.1629	1	4
3569	3569	-0.8343	-0.1891	2	1
