id	label	x	y	cluster	weight
1289	1289	-0.7918	0.0806	2	4
3481	3481	0.0219	-0.4058	4	4
3367	3367	0.6972	0.6196	5	1
3389	3389	0.1885	0.2182	1	3
3396	3396	0.5775	0.6185	5	1
3415	3415	-0.918	0.0629	2	1
3222	3222	-0.9807	-0.1984	2	1
3225	3225	-0.0475	0.8121	1	1
3097	3097	0.7954	-0.4039	3	2
3127	3127	-0.6367	-0.4069	3	1
3146	3146	0.9758	-0.3276	3	2
3006	3006	0.4431	-0.4753	3	1
2888	2888	0.1811	0.3708	2	1
2903	2903	0.3532	-0.6347	3	1
2935	2935	0.7054	0.6155	5	1
2967	2967	-0.7855	0.2459	2	1
2832	2832	-0.8549	-0.2429	2	1
2668	2668	0.3273	0.6017	5	1
2689	2689	1.2566	-0.2634	3	1
2705	2705	0.676	-0.5207	3	1
2729	2729	0.8655	-0.4911	3	1
2736	2736	-0.8891	-0.1716	2	1
2741	2741	-0.2121	-0.1654	4	1
2576	2576	0.6845	0.1395	3	1
2599	2599	0.9887	-0.19	3	1
2607	2607	0.7926	-0.3883	3	1
2524	2524	-0.2747	-0.5777	3	2
2554	2554	-0.8725	-0.2135	2	1
2413	2413	-0.638	0.3051	2	2
2431	2431	-0.2223	0.8962	1	1
2478	2478	-0.7152	-0.2091	2	1
2308	2308	1.1104	0.2307	5	3
2334	2334	0.8491	-0.0941	3	1
2184	2184	-0.2059	-0.1304	4	3
2186	2186	-0.9132	-0.1512	2	3
2204	2204	-0.2398	0.904	1	1
2256	2256	-0.5308	-0.283	4	1
2079	2079	-0.6649	-0.1682	2	2
2127	2127	-0.1805	0.7936	1	1
2135	2135	-0.9826	-0.0908	2	1
2166	2166	-0.1677	-0.1559	4	2
1984	1984	-0.4203	-0.3523	2	1
1990	1990	0.7874	0.39	5	1
1994	1994	0.5817	0.1419	3	1
2002	2002	0.6506	0.447	5	1
2009	2009	1.188	0.1832	3	1
2022	2022	-0.1944	0.7864	1	1
2028	2028	0.8562	-0.2769	3	3
2042	2042	-0.6282	-0.4077	2	1
2073	2073	-0.8744	0.1031	2	1
1922	1922	0.5304	0.6698	5	1
1972	1972	-0.3435	-0.3117	4	1
1891	1891	0.941	-0.4189	3	4
1897	1897	0.2511	-0.5535	3	2
1785	1785	-0.7992	-0.1237	2	1
1799	1799	0.6608	0.4163	5	1
1827	1827	-0.7779	-0.2092	2	1
1847	1847	0.8059	-0.0059	5	1
1693	1693	0.8456	0.5378	5	1
1702	1702	0.7258	-0.5021	3	1
1718	1718	-0.846	0.0835	2	1
