id	label	description	x	y	cluster	weight
3980	3980	"<table><tr><td>Micro-level field;</td><td>3980</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>lecture notes in computer science; computer journal; proceedings of spie; probability in the engineering and informational sciences; lecture notes in electrical engineering</td></tr><tr><td>Terms;</td><td>random neural network; cognitive packet network; storm; self aware network; emergency navigation</td></tr></table>"	0.763	0.5781	5	3
1288	1288	"<table><tr><td>Micro-level field;</td><td>1288</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>aiaa journal; journal of fluid mechanics; journal of sound and vibration; aip advances; international journal of aeroacoustics</td></tr><tr><td>Terms;</td><td>jet noise; computational aeroacoustic; vortex ring; natural ventilation; edge serration</td></tr></table>"	0.765	-0.1196	3	53
4121	4121	"<table><tr><td>Micro-level field;</td><td>4121</td></tr><tr><td>Main fields;</td><td>Biomedical and health sciences</td></tr><tr><td>Sources;</td><td>epma journal; oncology letters; oncotarget; plos one; hepatology</td></tr><tr><td>Terms;</td><td>golgi protein; gp73; tip30; golph2; golm1</td></tr></table>"	-0.9462	-0.274	2	1
3953	3953	"<table><tr><td>Micro-level field;</td><td>3953</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>lecture notes in computer science; sensors; proceedings of spie; sensors and actuators a-physical; ieee international joint conference on neural networks (ijcnn)</td></tr><tr><td>Terms;</td><td>optical mouse; coin recognition; coin; mobile robot velocity estimation; mobile robot</td></tr></table>"	0.6552	0.435	5	4
3585	3585	"<table><tr><td>Micro-level field;</td><td>3585</td></tr><tr><td>Main fields;</td><td>Life and earth sciences</td></tr><tr><td>Sources;</td><td>nuclear instruments & methods in physics research section b-beam interactions with materials and atoms; plasma science & technology; pakistan journal of botany; frontiers in plant science; international journal of radiation biology</td></tr><tr><td>Terms;</td><td>tilling; gamma irradiation; biological effect; ion beam; carbon ion</td></tr></table>"	-0.369	-0.3308	4	1
3614	3614	"<table><tr><td>Micro-level field;</td><td>3614</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>ieee transactions on industry applications; petroleum and chemical industry technical conference; ieee transactions on power delivery; international conference on harmonics and quality of power; ieee industry applications society annual meeting</td></tr><tr><td>Terms;</td><td>static transfer switch; soft starter; voltage unbalance; derating; large induction motor</td></tr></table>"	0.857	0.2232	5	6
3621	3621	"<table><tr><td>Micro-level field;</td><td>3621</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science; Biomedical and health sciences</td></tr><tr><td>Sources;</td><td>physical review e; neuroimage; physica d-nonlinear phenomena; fractals-complex geometry patterns and scaling in nature and society; siam journal on applied dynamical systems</td></tr><tr><td>Terms;</td><td>neural mass model; wafe; neural field; existence; turtle visual cortex</td></tr></table>"	-0.379	0.4336	5	1
3494	3494	"<table><tr><td>Micro-level field;</td><td>3494</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering; Mathematics and computer science</td></tr><tr><td>Sources;</td><td>lecture notes in computer science; physica a-statistical mechanics and its applications; quantum information processing; physics letters a; journal of mathematical psychology</td></tr><tr><td>Terms;</td><td>quantum game; quantum cognition; decision; nash equilibria; psychology</td></tr></table>"	0.3681	0.438	3	5
3521	3521	"<table><tr><td>Micro-level field;</td><td>3521</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>iop conference series-materials science and engineering; advances in intelligent systems and computing; lecture notes in computer science; engineering failure analysis; matec web of conferences</td></tr><tr><td>Terms;</td><td>bucket wheel excavator; hybrid approach; vibration; mechatronic system; scheduling</td></tr></table>"	0.5629	0.5284	5	1
3535	3535	"<table><tr><td>Micro-level field;</td><td>3535</td></tr><tr><td>Main fields;</td><td>Biomedical and health sciences</td></tr><tr><td>Sources;</td><td>bone; journal of bone and mineral research; russian journal of physical chemistry a; applied biochemistry and microbiology; osteoporosis international</td></tr><tr><td>Terms;</td><td>hypophosphatasia; alkaline phosphatase; tissue nonspecific alkaline phosphatase gene; purification</td></tr></table>"	-0.8296	-0.321	2	1
