id	label	description	x	y	cluster	weight
662	662	"<table><tr><td>Micro-level field;</td><td>662</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>ieee transactions on smart grid; ieee power and energy society general meeting pesgm; applied energy; energies; ieee pes innovative smart grid technologies conference europe</td></tr><tr><td>Terms;</td><td>home energy management system; residential demand response; smart home; electric spring; smart grid communication</td></tr></table>"	0.7846	0.3396	5	77259
1185	1185	"<table><tr><td>Micro-level field;</td><td>1185</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>energy policy; ieee transactions on smart grid; ieee power and energy society general meeting pesgm; energies; applied energy</td></tr><tr><td>Terms;</td><td>battery electric vehicle; vehicle; station; plug; electric vehicle charging station</td></tr></table>"	0.7668	0.2886	5	72939
530	530	"<table><tr><td>Micro-level field;</td><td>530</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>ieee transactions on smart grid; energies; ieee power and energy society general meeting pesgm; ieee industrial electronics society; ieee energy conversion congress and exposition</td></tr><tr><td>Terms;</td><td>dc microgrid; droop control; virtual synchronous generator; hybrid renewable energy system; parallel operation</td></tr></table>"	0.8601	0.2445	5	29684
1410	1410	"<table><tr><td>Micro-level field;</td><td>1410</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>ieee transactions on power electronics; ieee energy conversion congress and exposition; annual ieee applied power electronics conference and exposition (apec); ieee transactions on industrial electronics; ieee industrial electronics society</td></tr><tr><td>Terms;</td><td>wireless power transfer system; electric vehicle; inductive power transfer; coil; biomedical implant</td></tr></table>"	0.8904	0.2066	5	21881
857	857	"<table><tr><td>Micro-level field;</td><td>857</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>solar energy; ieee industrial electronics society; ieee photovoltaic specialists conference; renewable energy; energy procedia</td></tr><tr><td>Terms;</td><td>maximum power point tracking; partial shading condition; photovoltaic module; mppt; pv array</td></tr></table>"	0.8707	0.2242	5	16150
760	760	"<table><tr><td>Micro-level field;</td><td>760</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>ieee power and energy society general meeting pesgm; ieee transactions on power systems; international journal of electrical power & energy systems; iet generation transmission & distribution; electric power systems research</td></tr><tr><td>Terms;</td><td>distribution network reconfiguration; service restoration; optimal capacitor placement; optimal reconfiguration; radial distribution system</td></tr></table>"	0.8555	0.257	5	13519
1738	1738	"<table><tr><td>Micro-level field;</td><td>1738</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering; Mathematics and computer science</td></tr><tr><td>Sources;</td><td>applied energy; energy; energy procedia; energies; ieee power and energy society general meeting pesgm</td></tr><tr><td>Terms;</td><td>compressed air energy storage; caes; thermodynamic analysis; electricity storage; energy storage technology</td></tr></table>"	0.8009	0.2292	3	11832
448	448	"<table><tr><td>Micro-level field;</td><td>448</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>ieee transactions on power systems; ieee power and energy society general meeting pesgm; international journal of electrical power & energy systems; energy policy; electric power systems research</td></tr><tr><td>Terms;</td><td>unit commitment problem; transmission expansion planning; economic dispatch problem; valve point effect; market power</td></tr></table>"	0.7836	0.2987	5	10248
3287	3287	"<table><tr><td>Micro-level field;</td><td>3287</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>ieee transactions on smart grid; lecture notes in computer science; energies; energy and buildings; international conference on smart grid communications</td></tr><tr><td>Terms;</td><td>intrusive load monitoring; energy disaggregation; load identification; nilm; event</td></tr></table>"	0.7507	0.4172	5	8433
1348	1348	"<table><tr><td>Micro-level field;</td><td>1348</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>ieee access; ieee transactions on wireless communications; ieee international conference on communications; ieee global communications conference; ieee transactions on vehicular technology</td></tr><tr><td>Terms;</td><td>rf energy harvesting; swipt; wireless information; wireless rechargeable sensor network; wireless powered communication network</td></tr></table>"	0.8305	0.5197	5	7917
623	623	"<table><tr><td>Micro-level field;</td><td>623</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering; Mathematics and computer science</td></tr><tr><td>Sources;</td><td>applied physics letters; ieee electron device letters; journal of applied physics; ieee transactions on electron devices; nanotechnology</td></tr><tr><td>Terms;</td><td>memristor; resistive; rram; resistive switching; resistive random access memory</td></tr></table>"	0.7846	-0.4879	3	7601
146	146	"<table><tr><td>Micro-level field;</td><td>146</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>energy and buildings; building and environment; energy procedia; applied energy; ashrae transactions</td></tr><tr><td>Terms;</td><td>thermal comfort; model predictive control; hvac system; indoor air quality; fault detection</td></tr></table>"	0.5679	0.1291	3	7004
182	182	"<table><tr><td>Micro-level field;</td><td>182</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>physical review e; physica a-statistical mechanics and its applications; lecture notes in computer science; scientific reports; epl</td></tr><tr><td>Terms;</td><td>synchronization; complex dynamical network; scale free network; epidemic; delay</td></tr></table>"	0.5643	0.5108	5	6279
2161	2161	"<table><tr><td>Micro-level field;</td><td>2161</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>ieee power and energy society general meeting pesgm; ieee transactions on power systems; ieee transactions on instrumentation and measurement; ieee transactions on smart grid; ieee transactions on power delivery</td></tr><tr><td>Terms;</td><td>power system state estimation; optimal pmu placement; phasor measurement unit; frequency estimation; pmus</td></tr></table>"	0.8616	0.2623	5	5918
1733	1733	"<table><tr><td>Micro-level field;</td><td>1733</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>energy; applied energy; energy procedia; energy conversion and management; applied thermal engineering</td></tr><tr><td>Terms;</td><td>district heating network; energy hub; demand response; cchp system; multi energy system</td></tr></table>"	0.6862	0.1396	3	4853
2051	2051	"<table><tr><td>Micro-level field;</td><td>2051</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>ieee transactions on smart grid; lecture notes in computer science; international conference on smart grid communications; ieee conference on decision and control; ieee power and energy society general meeting pesgm</td></tr><tr><td>Terms;</td><td>smart grid; false data injection attacks; advanced metering infrastructure; cyber physical system; state estimation</td></tr></table>"	0.7474	0.5356	5	4696
