id	label	x	y	cluster	weight
1880	1880	-0.6533	-0.2027	2	1
1881	1881	0.5691	0.5155	5	6
1288	1288	0.765	-0.1196	3	1
3978	3978	0.8024	0.2935	5	1
1681	1681	-0.4131	0.689	1	1
3929	3929	-0.4763	-0.2814	4	1
3703	3703	-0.2478	0.8701	1	1
3559	3559	-0.6824	0.0088	2	1
3509	3509	0.9172	-0.0129	5	1
3353	3353	-0.318	-0.3185	4	1
3369	3369	0.185	0.6363	1	2
3400	3400	-0.1879	0.8518	1	1
3409	3409	-0.4701	-0.3954	4	1
3328	3328	-0.1594	-0.1513	4	2
3174	3174	-0.6249	-0.1896	2	1
3175	3175	-0.6206	-0.2315	2	1
3193	3193	0.6966	0.6076	5	1
3072	3072	-0.8541	0.1999	2	1
3074	3074	0.9107	-0.5121	3	1
3140	3140	-0.74	-0.2913	2	14
3149	3149	1.1876	0.2124	5	1
2977	2977	-0.9557	0.0762	2	1
3018	3018	0.8254	0.4666	5	3
3049	3049	-0.0673	-0.1149	4	2
3059	3059	-0.8711	-0.0087	2	15
2866	2866	-0.9588	-0.1826	2	2
2882	2882	0.6351	0.4904	5	1
2967	2967	-0.7855	0.2459	2	3
2800	2800	0.1708	0.52	5	1
2810	2810	0.9011	0.5179	5	1
2815	2815	-0.1843	0.8607	1	1
2834	2834	-0.3721	-0.4412	2	1
2837	2837	0.7939	-0.3739	3	11
2855	2855	-0.0396	0.7626	1	1
2859	2859	0.1525	-0.6087	3	1
2671	2671	-0.261	0.8754	1	1
2749	2749	-0.9642	-0.0022	2	1
2770	2770	1.0341	-0.0689	5	2
2575	2575	-0.8678	-0.2171	2	1
2578	2578	-0.7098	-0.3307	2	1
2586	2586	-0.7697	-0.1032	2	1
2592	2592	-0.3153	0.7456	1	1
2610	2610	0.9962	-0.0162	5	2
2628	2628	-0.8426	0.1541	2	1
2650	2650	0.8771	-0.4367	3	2
2477	2477	-0.9291	0.0278	2	4
2486	2486	0.6375	0.5008	5	1
2499	2499	0.8438	0.4998	5	1
2501	2501	1.1993	0.2358	5	3
2507	2507	-1.0154	-0.1537	2	1
2518	2518	0.619	-0.5554	3	1
2570	2570	-0.6161	-0.2489	2	1
1290	1290	-0.5528	0.5006	2	2
2378	2378	0.8969	-0.0208	5	2
2382	2382	-0.3522	-0.2792	4	1
2394	2394	0.6886	-0.5758	3	1
2400	2400	-0.2453	-0.169	4	1
2417	2417	0.3518	0.666	5	3
2439	2439	0.5864	0.5407	5	1
2446	2446	-0.5652	-0.2594	4	1
2308	2308	1.1104	0.2307	5	2
2322	2322	-0.9793	-0.1379	2	10
2330	2330	-1.003	0.0185	2	1
2342	2342	0.2923	-0.6185	3	1
2354	2354	0.8265	-0.5075	3	4
2372	2372	-0.6405	-0.3738	2	3
2187	2187	-0.6369	-0.3887	2	1
2217	2217	0.7249	-0.1766	3	2
2227	2227	0.8549	0.1964	5	2
2242	2242	0.9316	0.4891	5	2
2268	2268	-0.619	0.4381	2	1
2275	2275	0.5297	0.631	5	4
2075	2075	-0.072	0.7752	1	1
2090	2090	0.2139	-0.063	4	1
2099	2099	0.1044	-0.4016	3	1
2116	2116	0.3917	-0.5498	3	2
2127	2127	-0.1805	0.7936	1	1
