id	label	x	y	cluster	weight
1880	1880	-0.6533	-0.2027	2	1
1882	1882	-0.7857	-0.2324	2	287
1883	1883	-0.3649	-0.3165	4	2
1287	1287	0.5829	-0.343	3	4
1288	1288	0.765	-0.1196	3	4
3978	3978	0.8024	0.2935	5	1
1679	1679	0.8385	0.5305	5	4
1682	1682	-0.1679	0.8125	1	1
3896	3896	-0.2633	0.8963	1	2
3767	3767	0.5122	0.6296	5	1
3796	3796	0.6428	0.5444	5	1
3800	3800	-0.196	0.9156	1	2
3815	3815	-0.8448	-0.2839	2	4
3820	3820	0.8299	0.2266	5	1
3837	3837	0.8235	-0.5237	3	1
3686	3686	0.6989	0.4056	5	2
3738	3738	-0.9045	-0.2666	2	1
3596	3596	0.0149	-0.727	3	1
3604	3604	-0.8863	-0.1219	2	1
3499	3499	0.6109	-0.5874	3	2
3502	3502	0.0194	0.7579	1	2
3505	3505	-0.6737	-0.3873	2	1
3515	3515	0.8133	0.2814	3	3
3526	3526	-0.2089	0.8023	1	1
3428	3428	-0.9814	-0.0487	2	5
3456	3456	-0.4437	-0.5623	3	2
3271	3271	0.0048	0.7786	1	1
3282	3282	-0.5683	0.5502	1	2
3304	3304	0.8499	0.5388	5	1
3323	3323	1.1556	0.2109	5	1
3163	3163	-0.7138	-0.2083	2	1
3165	3165	0.3727	0.1408	4	1
3182	3182	-0.7772	0.0927	2	1
3193	3193	0.6966	0.6076	5	1
3200	3200	-0.9898	0.032	2	2
3204	3204	-0.1998	-0.1533	4	6
3220	3220	-0.1472	0.7898	1	3
3224	3224	-0.2337	0.8942	1	1
3069	3069	-0.7261	0.2284	2	1
3078	3078	-0.6375	-0.3519	2	6
3086	3086	-0.1039	0.8004	1	1
3110	3110	-0.8501	-0.2205	2	9
3114	3114	0.5475	-0.5138	3	1
3131	3131	0.8331	-0.4361	3	1
3136	3136	0.4311	-0.4695	3	1
3142	3142	-0.781	-0.0298	2	1
3143	3143	-0.4112	0.6531	1	24
3147	3147	-0.2088	0.8756	1	1
3150	3150	-0.6771	-0.2138	2	6
2995	2995	-0.3137	-0.5685	3	1
2997	2997	-0.8755	-0.2664	2	11
2998	2998	0.0287	0.5305	5	14
3000	3000	-0.9487	0.0992	2	2
3003	3003	-0.7891	-0.18	2	2
3005	3005	0.4322	-0.4575	3	1
3028	3028	-0.3784	0.6689	1	1
3033	3033	-0.8744	-0.202	2	2
3049	3049	-0.0673	-0.1149	4	2
3062	3062	-0.7235	-0.3615	2	4
2867	2867	-0.1274	-0.269	4	2
2868	2868	0.522	0.1366	3	1
2870	2870	-0.6666	-0.3773	2	1
2881	2881	0.8881	0.1158	3	6
2882	2882	0.6351	0.4904	5	2
2888	2888	0.1811	0.3708	2	1
2890	2890	-0.2582	0.8428	1	1
2894	2894	-0.2611	0.849	1	1
2904	2904	0.4209	-0.4482	3	6
2914	2914	-0.5064	-0.1941	4	2
2918	2918	0.0193	-0.7229	3	1
2940	2940	0.3736	0.4561	5	1
2942	2942	0.8369	0.5574	5	2
2963	2963	-0.0058	-0.3948	2	1
