id	label	x	y	cluster	weight
1879	1879	0.89	-0.0134	5	21
1880	1880	-0.6533	-0.2027	2	1
1287	1287	0.5829	-0.343	3	1
1679	1679	0.8385	0.5305	5	23
1680	1680	0.6649	0.4409	5	1
1682	1682	-0.1679	0.8125	1	1
3796	3796	0.6428	0.5444	5	1
3689	3689	1.0157	-0.4347	3	1
3723	3723	-0.2106	0.8983	1	2
3725	3725	0.6587	0.0755	5	6
3559	3559	-0.6824	0.0088	2	3
3577	3577	-0.1999	0.8898	1	1
3594	3594	-0.6295	-0.3796	4	1
3596	3596	0.0149	-0.727	3	1
3472	3472	-0.564	-0.4051	4	1
3481	3481	0.0219	-0.4058	4	1
3499	3499	0.6109	-0.5874	3	1
3505	3505	-0.6737	-0.3873	2	1
3507	3507	0.5654	0.6523	5	1
3526	3526	-0.2089	0.8023	1	1
3389	3389	0.1885	0.2182	1	1
3406	3406	-0.2465	-0.4776	3	1
3271	3271	0.0048	0.7786	1	1
3290	3290	0.7456	-0.5658	3	1
3306	3306	1.0863	0.2043	5	1
3323	3323	1.1556	0.2109	5	1
3336	3336	-0.2164	-0.1517	4	1
3160	3160	-0.5102	-0.3133	4	28
3161	3161	-0.2439	-0.5016	3	1
3163	3163	-0.7138	-0.2083	2	1
3193	3193	0.6966	0.6076	5	1
3214	3214	-0.3557	-0.3139	4	1
3216	3216	-0.2185	0.8606	1	3
3241	3241	0.5382	-0.5537	3	1
3249	3249	0.4418	-0.5129	3	2
3078	3078	-0.6375	-0.3519	2	6
3086	3086	-0.1039	0.8004	1	1
3092	3092	0.8121	-0.3829	5	57
3114	3114	0.5475	-0.5138	3	1
3136	3136	0.4311	-0.4695	3	1
3143	3143	-0.4112	0.6531	1	24
3146	3146	0.9758	-0.3276	3	1
3147	3147	-0.2088	0.8756	1	4
2977	2977	-0.9557	0.0762	2	1
2987	2987	0.0764	0.7466	1	1
3001	3001	0.5881	0.6499	5	1
3005	3005	0.4322	-0.4575	3	1
3049	3049	-0.0673	-0.1149	4	2
3050	3050	-0.7534	-0.1462	2	3
2867	2867	-0.1274	-0.269	4	2
2868	2868	0.522	0.1366	3	1
2870	2870	-0.6666	-0.3773	2	1
2881	2881	0.8881	0.1158	3	6
2882	2882	0.6351	0.4904	5	1
2888	2888	0.1811	0.3708	2	1
2890	2890	-0.2582	0.8428	1	1
2909	2909	-0.3774	-0.5093	3	1
2936	2936	-0.6104	-0.2243	2	1
2940	2940	0.3736	0.4561	5	1
2963	2963	-0.0058	-0.3948	2	1
2787	2787	-0.5585	0.4992	2	4
2800	2800	0.1708	0.52	5	1
2810	2810	0.9011	0.5179	5	1
2821	2821	-0.5904	0.3528	2	2
2827	2827	0.8713	0.0333	5	1
2829	2829	-0.9001	0.1675	2	5
2837	2837	0.7939	-0.3739	3	2
2850	2850	0.9292	0.49	5	1
2854	2854	-0.9801	-0.0675	2	2
2855	2855	-0.0396	0.7626	1	1
2860	2860	-0.7268	0.1933	2	1
2698	2698	-0.9887	-0.0053	2	2
2715	2715	-0.9889	-0.1555	2	4
2721	2721	-0.5846	-0.3293	2	5
2736	2736	-0.8891	-0.1716	2	1
2741	2741	-0.2121	-0.1654	4	5
2752	2752	-0.2821	0.7404	1	1
2753	2753	0.7543	0.6004	5	1
2757	2757	-0.6616	-0.3434	2	1
2575	2575	-0.8678	-0.2171	2	1
2580	2580	-0.6175	-0.2245	4	1
2586	2586	-0.7697	-0.1032	2	2
2599	2599	0.9887	-0.19	3	1
2610	2610	0.9962	-0.0162	5	3
2620	2620	-0.9511	0.0786	2	1
2630	2630	0.331	-0.4723	3	1
2631	2631	0.7896	-0.422	3	5
2635	2635	-0.5816	0.3989	2	1
2477	2477	-0.9291	0.0278	2	4
2488	2488	0.8267	0.2422	5	49
2489	2489	-0.3436	0.6359	1	4
2491	2491	0.6256	-0.3039	3	1
2496	2496	0.0201	-0.7203	3	3
2501	2501	1.1993	0.2358	5	9
2502	2502	0.7957	0.3955	5	1
2504	2504	-0.9266	0.0423	2	1
2509	2509	-0.6628	0.2704	2	1
2513	2513	0.6288	0.3505	5	1
2515	2515	-0.6036	-0.2495	2	1
2518	2518	0.619	-0.5554	3	3
2539	2539	0.7669	-0.4683	3	1
2541	2541	0.7591	-0.3239	3	2
2549	2549	0.2363	0.6727	1	1
2558	2558	0.682	-0.4531	3	4
2571	2571	1.2502	-0.2511	3	44
1291	1291	0.8642	0.1398	5	2
2378	2378	0.8969	-0.0208	5	10
2379	2379	0.0159	-0.7221	3	1
2390	2390	0.4649	0.4186	5	1
2394	2394	0.6886	-0.5758	3	1
2411	2411	-0.0295	-0.1718	4	3
2421	2421	-0.6381	-0.3632	2	1
2426	2426	-0.964	-0.0587	2	2
2428	2428	-0.8538	-0.2161	2	1
2435	2435	0.6977	0.5399	5	5
2439	2439	0.5864	0.5407	5	3
2450	2450	0.5556	0.5107	5	1
2460	2460	-0.457	0.4577	2	2
2463	2463	-0.2949	-0.1054	4	1
2271	2271	-0.7106	0.1988	2	8
2273	2273	-0.8638	0.0585	2	3
2308	2308	1.1104	0.2307	5	6
2322	2322	-0.9793	-0.1379	2	22
2331	2331	0.0361	0.7576	5	10
2333	2333	0.4966	-0.3184	3	1
2334	2334	0.8491	-0.0941	3	1
2343	2343	-0.882	0.0582	2	1
2351	2351	0.8574	0.2102	5	1
2354	2354	0.8265	-0.5075	3	2
2367	2367	0.8171	0.543	5	4
2369	2369	-0.5446	-0.2558	2	1
2372	2372	-0.6405	-0.3738	2	1
2375	2375	-0.6307	-0.3024	2	1
2184	2184	-0.2059	-0.1304	4	5
2187	2187	-0.6369	-0.3887	2	2
2196	2196	0.6396	-0.169	3	1
2197	2197	-0.6312	-0.3988	2	1
2198	2198	0.7893	-0.3992	3	1
2203	2203	0.3196	-0.6358	3	1
2207	2207	0.9548	-0.3628	3	2
2208	2208	-0.43	0.5933	2	3
2210	2210	0.9333	-0.4181	3	1
2221	2221	-0.7658	0.0784	2	3
2226	2226	-0.596	-0.1305	2	3
2228	2228	-0.7046	-0.2238	2	1
2237	2237	-0.698	-0.1212	2	2
2242	2242	0.9316	0.4891	5	2
2256	2256	-0.5308	-0.283	4	3
2260	2260	-0.5883	0.3543	2	107
2081	2081	-0.8456	-0.2281	2	2
2089	2089	0.5742	0.5104	5	1
2103	2103	0.7326	-0.1765	3	3
2110	2110	0.4709	0.6375	5	16
2113	2113	-0.6895	0.1008	2	15
2115	2115	-0.7318	-0.134	2	1
2121	2121	-0.6838	0.4018	2	2
2123	2123	0.5797	0.5246	5	2
2126	2126	-0.8421	0.0452	4	1
2127	2127	-0.1805	0.7936	1	2
2143	2143	-0.6627	-0.1788	2	1
2153	2153	-0.6885	-0.2031	2	2
2164	2164	0.2673	0.7386	5	2
2168	2168	-0.9292	-0.1773	2	1
2170	2170	0.9335	-0.4263	3	1
2172	2172	0.5783	-0.132	3	1
2177	2177	0.6766	0.4208	5	1
1984	1984	-0.4203	-0.3523	2	7
1988	1988	0.3171	-0.6695	3	1
1990	1990	0.7874	0.39	5	2
1993	1993	-0.5089	-0.3307	2	1
2003	2003	0.5046	-0.2215	3	6
2008	2008	-0.2595	0.7393	1	1
2010	2010	-0.8624	-0.156	2	4
2021	2021	-0.4865	-0.3516	4	1
2022	2022	-0.1944	0.7864	1	3
2036	2036	0.8132	-0.4817	3	1
2047	2047	-0.8717	-0.1484	2	4
2049	2049	-0.8837	-0.1554	2	1
2057	2057	0.819	-0.1808	3	3
2066	2066	0.7603	0.5582	5	2
2083	2083	0.3768	0.3258	3	67
2086	2086	-0.7484	-0.1072	2	188
1903	1903	-1.0055	-0.0369	2	2
1915	1915	-0.8206	-0.0573	2	1
1916	1916	0.9148	-0.4407	3	3
1920	1920	-0.9271	0.0881	2	1
1925	1925	0.8096	-0.5594	3	4
1927	1927	-0.2562	-0.1821	4	2
1928	1928	-0.3923	-0.3763	4	1
1932	1932	0.2158	-0.5402	3	5
1933	1933	-0.6526	0.287	2	2
1940	1940	-0.5062	0.5734	1	3
1944	1944	-0.7112	-0.342	2	2
1950	1950	-0.8273	0.0587	2	3
1952	1952	0.2335	0.5865	5	1
1953	1953	0.4642	0.6682	5	4
1955	1955	-0.2206	0.8956	1	1
1958	1958	0.4781	-0.5801	3	1
1959	1959	-0.4947	0.5266	1	5
1965	1965	-0.5232	0.5507	2	3
1966	1966	0.4074	-0.48	3	2
1972	1972	-0.3435	-0.3117	4	1
1974	1974	0.6074	0.4695	5	1
1975	1975	-0.8935	0.0461	2	1
1978	1978	-0.1808	-0.0142	5	1
1888	1888	-0.8763	0.1684	2	1
1890	1890	0.669	-0.2065	3	11
1891	1891	0.941	-0.4189	3	819
1893	1893	0.1836	-0.7057	3	1
1896	1896	-0.3684	0.597	1	1
1898	1898	-0.8408	-0.2089	2	1
1783	1783	-0.5695	-0.2549	4	1
