id	label	description	x	y	cluster	weight
257	257	"<table><tr><td>Micro-level field;</td><td>257</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>ieee transactions on smart grid; energies; ieee power and energy society general meeting pesgm; ieee industrial electronics society; ieee transactions on power systems</td></tr><tr><td>Terms;</td><td>dc microgrid; constant power load; virtual synchronous generator; droop control; inverter</td></tr></table>"	0.8349	0.2419	5	875
615	615	"<table><tr><td>Micro-level field;</td><td>615</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>ieee power and energy society general meeting pesgm; ieee transactions on energy conversion; ieee industrial electronics society; iet renewable power generation; energies</td></tr><tr><td>Terms;</td><td>variable speed wind turbine; dfig; fed induction generator; wind turbine; wind generation</td></tr></table>"	0.8507	0.2247	5	797
331	331	"<table><tr><td>Micro-level field;</td><td>331</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>ieee transactions on power electronics; ieee industrial electronics society; ieee energy conversion congress and exposition; ieee transactions on industrial electronics; annual ieee applied power electronics conference and exposition (apec)</td></tr><tr><td>Terms;</td><td>modular multilevel converter; mmc; selective harmonic elimination; hvdc application; capacitor voltage balancing</td></tr></table>"	0.8596	0.2183	5	769
1264	1264	"<table><tr><td>Micro-level field;</td><td>1264</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>renewable energy; journal of physics conference series; wind energy; energies; energy</td></tr><tr><td>Terms;</td><td>wind turbine; wind farm; vertical axis wind turbine; complex terrain</td></tr></table>"	0.7437	0.0233	3	512
1694	1694	"<table><tr><td>Micro-level field;</td><td>1694</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>ocean engineering; renewable energy; international offshore and polar engineering conference proceedings; energies; applied ocean research</td></tr><tr><td>Terms;</td><td>wave energy converter; wells turbine; oscillating water column; linear generator; moonpool</td></tr></table>"	0.7426	0.0231	3	463
256	256	"<table><tr><td>Micro-level field;</td><td>256</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>ieee industrial electronics society; ieee transactions on power electronics; ieee energy conversion congress and exposition; ieee transactions on industrial electronics; annual ieee applied power electronics conference and exposition (apec)</td></tr><tr><td>Terms;</td><td>shunt active power filter; lcl filter; dynamic voltage restorer; unified power quality conditioner; upqc</td></tr></table>"	0.8579	0.2214	5	422
995	995	"<table><tr><td>Micro-level field;</td><td>995</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>international journal of hydrogen energy; energies; energy policy; applied energy; ieee transactions on smart grid</td></tr><tr><td>Terms;</td><td>battery electric vehicle; vehicle; station; electric vehicle charging station; plug</td></tr></table>"	0.7206	0.2861	5	299
1437	1437	"<table><tr><td>Micro-level field;</td><td>1437</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>ieee industrial electronics society; ieee transactions on industrial electronics; ieee transactions on power electronics; ieee energy conversion congress and exposition; international conference on electrical machines and systems icems</td></tr><tr><td>Terms;</td><td>indirect matrix converter; phase pmsm; phase induction machine; predictive torque control</td></tr></table>"	0.8588	0.2193	5	297
981	981	"<table><tr><td>Micro-level field;</td><td>981</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>energies; lecture notes in computer science; energy; international journal of forecasting; applied energy</td></tr><tr><td>Terms;</td><td>short term load forecasting; wind speed; electricity price forecasting; wind speed forecasting; day</td></tr></table>"	0.6364	0.3591	5	234
931	931	"<table><tr><td>Micro-level field;</td><td>931</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>ieee transactions on smart grid; energies; ieee power and energy society general meeting pesgm; applied energy; ieee pes innovative smart grid technologies conference europe</td></tr><tr><td>Terms;</td><td>residential demand response; home energy management system; electric spring; smart home; direct load control</td></tr></table>"	0.7471	0.3126	5	142
