id	label	x	y	cluster	weight
1289	1289	-0.7918	0.0806	2	64
3975	3975	-0.882	-0.2811	2	2
1682	1682	-0.1679	0.8125	1	4
3901	3901	-0.9161	0.1383	2	1
3928	3928	0.8373	0.4725	5	1
3930	3930	-0.2529	-0.1792	4	1
3762	3762	-0.7666	-0.3633	2	3
3792	3792	-0.2151	0.9149	1	1
3827	3827	0.8049	0.2791	5	1
3742	3742	-0.8996	0.1909	2	2
3573	3573	0.8651	-0.5053	3	1
3603	3603	-0.829	-0.2013	2	1
3636	3636	0.4576	-0.5774	3	5
3637	3637	-0.7516	-0.3527	2	1
3472	3472	-0.564	-0.4051	4	1
3481	3481	0.0219	-0.4058	4	75
3497	3497	-0.2096	0.8794	1	1
3522	3522	0.5437	-0.0879	3	4
3528	3528	0.8477	-0.5189	5	2
3357	3357	1.1583	0.2082	5	5
3367	3367	0.6972	0.6196	5	1
3389	3389	0.1885	0.2182	1	7
3394	3394	-0.6921	0.1644	2	1
3396	3396	0.5775	0.6185	5	18
3398	3398	-0.7758	-0.1754	2	1
3267	3267	1.0314	0.1014	5	1
3276	3276	-0.7982	0.1997	2	1
3287	3287	0.6769	-0.2335	3	2
3323	3323	1.1556	0.2109	5	1
3337	3337	-0.9737	0.0893	2	1
3212	3212	0.4303	0.5544	1	2
3220	3220	-0.1472	0.7898	1	1
3255	3255	-0.0228	0.5985	1	1
3083	3083	-0.6471	-0.389	2	1
3089	3089	-0.6771	0.2005	2	2
3097	3097	0.7954	-0.4039	3	4
3106	3106	0.231	0.3058	4	8
3115	3115	0.6627	-0.5563	3	2
3123	3123	-1.0243	-0.161	2	3
3127	3127	-0.6367	-0.4069	3	4
3129	3129	-0.5267	0.508	1	1
3130	3130	0.6884	-0.4685	3	1
3132	3132	0.419	0.061	3	1
3137	3137	-0.2274	-0.1242	4	9
3146	3146	0.9758	-0.3276	3	18
3148	3148	1.1747	0.1947	5	1
2987	2987	0.0764	0.7466	1	1
2988	2988	-0.2592	0.8686	1	1
3006	3006	0.4431	-0.4753	3	1
3014	3014	-0.8521	-0.0685	4	1
3049	3049	-0.0673	-0.1149	4	5
3058	3058	-0.8469	-0.2541	2	1
3060	3060	0.834	-0.5017	3	1
2868	2868	0.522	0.1366	3	2
2888	2888	0.1811	0.3708	2	2
2891	2891	-0.9459	0.0255	2	1
2904	2904	0.4209	-0.4482	3	6
2925	2925	0.8377	-0.0662	5	1
2810	2810	0.9011	0.5179	5	5
2815	2815	-0.1843	0.8607	1	1
2821	2821	-0.5904	0.3528	2	1
2832	2832	-0.8549	-0.2429	2	40
2841	2841	-0.8795	-0.1684	2	1
2854	2854	-0.9801	-0.0675	2	6
2861	2861	0.7395	0.5932	5	1
2668	2668	0.3273	0.6017	5	10
2704	2704	0.741	-0.1702	3	1
2712	2712	0.587	-0.5035	3	1
2729	2729	0.8655	-0.4911	3	4
2732	2732	-0.7151	-0.2971	2	1
2737	2737	-0.2604	-0.1841	4	4
2743	2743	0.9495	-0.4179	3	1
2751	2751	0.3898	-0.1227	4	2
2759	2759	0.5964	0.642	5	1
2764	2764	0.1209	0.7166	1	1
2576	2576	0.6845	0.1395	3	1
2579	2579	-0.2466	-0.4419	3	7
2580	2580	-0.6175	-0.2245	4	1
2595	2595	0.756	-0.0938	3	1
2596	2596	-0.1402	0.8481	1	1
2599	2599	0.9887	-0.19	3	2
2603	2603	0.9567	-0.356	3	1
2620	2620	-0.9511	0.0786	2	1
2625	2625	0.4278	-0.5863	3	1
2635	2635	-0.5816	0.3989	2	5
2657	2657	0.7727	-0.1765	3	1
2661	2661	0.8394	0.5469	5	1
2473	2473	0.6692	0.5117	5	1
2484	2484	-0.281	-0.2532	4	1
2489	2489	-0.3436	0.6359	1	3
2491	2491	0.6256	-0.3039	3	1
2493	2493	-0.0563	-0.1828	4	1
2495	2495	0.847	0.5221	5	1
2515	2515	-0.6036	-0.2495	2	1
2526	2526	0.7952	0.4061	5	1
2555	2555	0.8015	-0.0702	3	2
2558	2558	0.682	-0.4531	3	2
2574	2574	0.5082	0.6108	5	1
1290	1290	-0.5528	0.5006	2	1
2378	2378	0.8969	-0.0208	5	1
2403	2403	-0.8921	-0.1939	2	2
2413	2413	-0.638	0.3051	2	9
2419	2419	0.795	0.2514	5	2
2423	2423	-0.7574	-0.2376	2	2
2431	2431	-0.2223	0.8962	1	6
2435	2435	0.6977	0.5399	5	16
2451	2451	0.868	0.2064	5	1
2452	2452	0.8703	-0.091	5	3
2455	2455	0.699	-0.2562	3	6
2456	2456	-0.8426	0.1325	2	1
2463	2463	-0.2949	-0.1054	4	3
2481	2481	0.5189	0.53	5	1
2273	2273	-0.8638	0.0585	2	1
2274	2274	0.0227	-0.7211	3	2
2296	2296	-0.7156	0.1147	2	2
2304	2304	-0.6695	-0.3707	2	1
