cluster_id1	weight	perc_cluster
87	1036	10,60171000
156	761	7,78755000
50	613	6,27302000
208	461	4,71756000
252	375	3,83749000
412	307	3,14162000
348	286	2,92672000
66	238	2,43553000
17	202	2,06713000
1247	200	2,04666000
78	186	1,90339000
1918	182	1,86246000
6	151	1,54523000
772	139	1,42243000
28	138	1,41219000
14	133	1,36103000
1847	118	1,20753000
734	107	1,09496000
857	102	1,04379000
25	89	0,91076000
128	88	0,90053000
1854	86	0,88006000
377	76	0,77773000
299	65	0,66516000
1231	63	0,64469000
849	60	0,61399000
1077	57	0,58329000
1956	54	0,55259000
2721	52	0,53213000
201	51	0,52189000
530	49	0,50143000
19	47	0,48096000
911	45	0,46049000
245	45	0,46049000
5	42	0,42979000
2112	42	0,42979000
721	40	0,40933000
256	39	0,39909000
479	35	0,35816000
593	34	0,34793000
1263	34	0,34793000
942	33	0,33769000
98	32	0,32746000
1743	32	0,32746000
1450	30	0,30699000
556	29	0,29676000
105	27	0,27629000
1025	26	0,26606000
525	25	0,25583000
3573	25	0,25583000
308	25	0,25583000
2635	25	0,25583000
41	24	0,24559000
1927	24	0,24559000
360	24	0,24559000
1525	23	0,23536000
150	23	0,23536000
337	23	0,23536000
2074	23	0,23536000
1313	22	0,22513000
2933	22	0,22513000
184	22	0,22513000
501	22	0,22513000
1276	22	0,22513000
205	21	0,21489000
557	21	0,21489000
765	20	0,20466000
1369	20	0,20466000
11	20	0,20466000
2725	19	0,19443000
839	19	0,19443000
301	19	0,19443000
1468	19	0,19443000
1129	18	0,18419000
1343	18	0,18419000
178	17	0,17396000
97	17	0,17396000
1580	17	0,17396000
2121	16	0,16373000
1219	16	0,16373000
1831	16	0,16373000
1113	16	0,16373000
2	16	0,16373000
274	16	0,16373000
2126	16	0,16373000
1457	15	0,15349000
350	15	0,15349000
1258	15	0,15349000
2081	15	0,15349000
352	15	0,15349000
532	15	0,15349000
323	14	0,14326000
2463	14	0,14326000
44	14	0,14326000
1291	14	0,14326000
785	14	0,14326000
1015	14	0,14326000
595	13	0,13303000
959	13	0,13303000
1958	13	0,13303000
75	13	0,13303000
1604	13	0,13303000
1401	13	0,13303000
107	13	0,13303000
1709	12	0,12279000
2300	12	0,12279000
623	11	0,11256000
3115	11	0,11256000
381	11	0,11256000
355	11	0,11256000
848	11	0,11256000
2670	11	0,11256000
910	11	0,11256000
2261	10	0,10233000
1340	10	0,10233000
1460	10	0,10233000
3106	10	0,10233000
639	10	0,10233000
697	10	0,10233000
2277	10	0,10233000
1490	10	0,10233000
227	10	0,10233000
3396	9	0,09209000
1669	9	0,09209000
0	9	0,09209000
114	9	0,09209000
684	8	0,08186000
865	8	0,08186000
218	8	0,08186000
393	8	0,08186000
891	8	0,08186000
599	8	0,08186000
2743	8	0,08186000
2629	8	0,08186000
878	8	0,08186000
1865	8	0,08186000
1928	7	0,07163000
981	7	0,07163000
71	7	0,07163000
2080	7	0,07163000
811	7	0,07163000
316	7	0,07163000
534	7	0,07163000
1410	7	0,07163000
760	7	0,07163000
923	7	0,07163000
2849	7	0,07163000
880	7	0,07163000
1738	7	0,07163000
630	7	0,07163000
8	7	0,07163000
220	7	0,07163000
203	7	0,07163000
1892	6	0,06139000
3212	6	0,06139000
158	6	0,06139000
699	6	0,06139000
2914	6	0,06139000
3049	6	0,06139000
425	6	0,06139000
2557	6	0,06139000
2437	6	0,06139000
230	6	0,06139000
341	6	0,06139000
1447	6	0,06139000
125	6	0,06139000
271	6	0,06139000
1948	6	0,06139000
1407	6	0,06139000
2331	6	0,06139000
602	6	0,06139000
204	6	0,06139000
286	6	0,06139000
449	6	0,06139000
408	6	0,06139000
1605	6	0,06139000
248	5	0,05116000
677	5	0,05116000
752	5	0,05116000
2223	5	0,05116000
651	5	0,05116000
290	5	0,05116000
2294	5	0,05116000
1120	5	0,05116000
2240	5	0,05116000
1553	5	0,05116000
875	5	0,05116000
2088	5	0,05116000
1587	5	0,05116000
267	5	0,05116000
2334	5	0,05116000
1352	5	0,05116000
3250	5	0,05116000
1626	5	0,05116000
2791	5	0,05116000
481	5	0,05116000
215	5	0,05116000
123	5	0,05116000
558	5	0,05116000
2882	5	0,05116000
2745	5	0,05116000
924	5	0,05116000
1462	5	0,05116000
486	5	0,05116000
386	4	0,04093000
1382	4	0,04093000
2630	4	0,04093000
266	4	0,04093000
1740	4	0,04093000
695	4	0,04093000
452	4	0,04093000
1597	4	0,04093000
3220	4	0,04093000
1491	4	0,04093000
921	4	0,04093000
1013	4	0,04093000
2800	4	0,04093000
1904	4	0,04093000
1947	4	0,04093000
467	4	0,04093000
1778	4	0,04093000
450	4	0,04093000
2187	4	0,04093000
2357	4	0,04093000
3104	4	0,04093000
1169	4	0,04093000
58	4	0,04093000
1289	4	0,04093000
21	4	0,04093000
3748	4	0,04093000
3485	4	0,04093000
1878	4	0,04093000
2505	4	0,04093000
496	4	0,04093000
2560	4	0,04093000
374	4	0,04093000
1830	4	0,04093000
645	4	0,04093000
2148	4	0,04093000
774	4	0,04093000
1777	4	0,04093000
1058	4	0,04093000
1316	4	0,04093000
1628	3	0,03069000
1324	3	0,03069000
251	3	0,03069000
82	3	0,03069000
3371	3	0,03069000
1012	3	0,03069000
3022	3	0,03069000
996	3	0,03069000
2201	3	0,03069000
1852	3	0,03069000
800	3	0,03069000
731	3	0,03069000
1776	3	0,03069000
104	3	0,03069000
2354	3	0,03069000
1939	3	0,03069000
1747	3	0,03069000
1656	3	0,03069000
3030	3	0,03069000
2186	3	0,03069000
560	3	0,03069000
1101	3	0,03069000
482	3	0,03069000
1493	3	0,03069000
305	3	0,03069000
2249	3	0,03069000
447	3	0,03069000
1088	3	0,03069000
476	3	0,03069000
2537	3	0,03069000
2288	3	0,03069000
2291	3	0,03069000
1203	3	0,03069000
1942	3	0,03069000
622	3	0,03069000
64	3	0,03069000
485	3	0,03069000
2022	3	0,03069000
1040	3	0,03069000
2806	3	0,03069000
152	3	0,03069000
1775	3	0,03069000
1546	3	0,03069000
905	3	0,03069000
112	3	0,03069000
1145	3	0,03069000
321	3	0,03069000
484	3	0,03069000
232	3	0,03069000
278	3	0,03069000
1944	3	0,03069000
902	3	0,03069000
1635	3	0,03069000
3504	3	0,03069000
2010	3	0,03069000
636	3	0,03069000
15	3	0,03069000
1311	3	0,03069000
83	3	0,03069000
784	3	0,03069000
1279	3	0,03069000
1379	3	0,03069000
54	3	0,03069000
1703	3	0,03069000
4004	3	0,03069000
1185	3	0,03069000
3114	3	0,03069000
1348	3	0,03069000
578	3	0,03069000
1723	3	0,03069000
1325	3	0,03069000
1331	2	0,02046000
2705	2	0,02046000
2619	2	0,02046000
3005	2	0,02046000
435	2	0,02046000
1843	2	0,02046000
57	2	0,02046000
2444	2	0,02046000
2390	2	0,02046000
3532	2	0,02046000
2281	2	0,02046000
366	2	0,02046000
1428	2	0,02046000
2135	2	0,02046000
143	2	0,02046000
2178	2	0,02046000
867	2	0,02046000
956	2	0,02046000
363	2	0,02046000
223	2	0,02046000
438	2	0,02046000
2147	2	0,02046000
2104	2	0,02046000
192	2	0,02046000
710	2	0,02046000
616	2	0,02046000
3324	2	0,02046000
2685	2	0,02046000
1254	2	0,02046000
2488	2	0,02046000
1675	2	0,02046000
1824	2	0,02046000
