nuts2	country_iso_alpha3_code	cluster_id1	counts
AT13	AUT	1752	1
AT13	AUT	1978	1
BE21	BEL	217	3
CH01	CHE	627	2
CH04	CHE	217	12
CH04	CHE	1366	2
CH04	CHE	1978	8
CY00	CYP	1605	104
CY00	CYP	1978	4
CZ01	CZE	1456	40
DE11	DEU	627	2
DE11	DEU	1366	10
DE12	DEU	1605	22
DE13	DEU	1605	88
DE21	DEU	1605	88
DE30	DEU	217	32
DE40	DEU	1366	1
DE71	DEU	1456	16
DE92	DEU	217	4
DE92	DEU	1366	13
DEA2	DEU	1366	14
DEA2	DEU	1605	22
DEA2	DEU	1978	2
DEA4	DEU	627	2
DED4	DEU	1605	20
DEF0	DEU	137	3
DK01	DNK	2172	4
DK05	DNK	217	6
EL30	GRC	217	4
EL30	GRC	1605	494
EL30	GRC	1752	21
EL30	GRC	1978	2
ES11	ESP	627	4
ES24	ESP	1366	4
ES51	ESP	217	39
ES51	ESP	627	2
ES51	ESP	1366	1
ES51	ESP	1752	42
ES52	ESP	137	1
ES61	ESP	259	25
ES61	ESP	1366	9
ES61	ESP	1605	172
ES62	ESP	1605	20
ES70	ESP	1605	624
FI19	FIN	259	4
FI1B	FIN	137	1
FI1B	FIN	259	9
FI1B	FIN	1456	8
FI1D	FIN	259	4
FR10	FRA	1366	78
FR10	FRA	1456	8
FR10	FRA	1752	8
FR10	FRA	2172	4
FRB0	FRA	1366	17
FRF3	FRA	1366	13
FRH0	FRA	217	8
FRI1	FRA	1366	10
FRJ2	FRA	217	11
FRJ2	FRA	1605	20
FRJ2	FRA	2172	8
FRK2	FRA	1366	30
FRK2	FRA	1605	714
FRK2	FRA	1752	8
FRK2	FRA	1978	2
FRL0	FRA	1456	8
FRL0	FRA	1605	20
HR03	HRV	1605	80
HR05	HRV	1366	1
IE04	IRL	217	32
IE04	IRL	259	20
IE05	IRL	259	30
ITC1	ITA	1978	6
ITF4	ITA	217	3
ITF5	ITA	1605	20
ITF6	ITA	137	88
ITG1	ITA	217	4
ITG1	ITA	1605	66
ITH2	ITA	217	24
ITH2	ITA	1978	1
ITH3	ITA	217	24
ITH3	ITA	259	16
ITI1	ITA	217	4
ITI1	ITA	1752	20
ITI3	ITA	217	24
ITI3	ITA	259	16
ITI3	ITA	1366	12
ITI4	ITA	259	12
ITI4	ITA	1456	32
ITI4	ITA	1605	88
NL12	NLD	137	16
NL21	NLD	137	16
NL22	NLD	137	16
NL22	NLD	217	4
NL22	NLD	259	41
NL31	NLD	733	5
NL31	NLD	1366	5
NL33	NLD	137	16
NL33	NLD	217	10
NL33	NLD	259	26
NL33	NLD	1366	10
NO06	NOR	137	4
NO08	NOR	137	3
NO08	NOR	1366	9
NO0A	NOR	1366	14
PL21	POL	1366	1
PL41	POL	1978	40
PL84	POL	1978	40
PT16	PRT	1605	20
PT16	PRT	1978	2
RO32	ROU	217	3
RO32	ROU	259	4
SE11	SWE	1366	4
SE12	SWE	2172	1
SE22	SWE	217	28
SE22	SWE	259	15
SE22	SWE	1456	80
SE23	SWE	217	10
SE33	SWE	1605	22
SI03	SVN	217	8
SI04	SVN	217	8
TR10	TUR	1605	88
TR31	TUR	259	16
TR31	TUR	1456	16
TR31	TUR	1752	7
TR31	TUR	1978	7
TR33	TUR	1605	20
TR33	TUR	1752	6
TR33	TUR	1978	2
TR61	TUR	1752	1
TRB1	TUR	1978	8
TRC1	TUR	1752	3
UKC1	GBR	1366	3
UKC2	GBR	1978	6
UKD4	GBR	259	11
UKF1	GBR	1366	3
UKF1	GBR	1456	16
UKF1	GBR	1978	4
UKF2	GBR	1605	40
UKF2	GBR	1978	8
UKG3	GBR	259	6
UKH2	GBR	259	6
UKH2	GBR	1456	4
UKH2	GBR	1978	2
UKI3	GBR	1366	27
UKI3	GBR	1605	44
UKI3	GBR	1978	5
UKI7	GBR	1978	3
UKJ1	GBR	1456	16
UKJ3	GBR	1752	1
UKJ3	GBR	1978	1
UKK1	GBR	1366	2
UKL2	GBR	1978	3
UKM7	GBR	1366	10
UKM8	GBR	1366	1
UKM8	GBR	1605	106
UKN0	GBR	1605	20
