nuts2	country_iso_alpha3_code	cluster_id1	counts
ES51	ESP	1673	8
DE30	DEU	2307	1
FRK2	FRA	1120	32
TR42	TUR	1738	2
FI19	FIN	2414	57
ES30	ESP	1120	16
EL30	GRC	278	2
BE23	BEL	1891	12
NO08	NOR	393	6
SE11	SWE	2414	19
IE06	IRL	1891	33
UKF2	GBR	393	26
NL33	NLD	1332	1
DE14	DEU	2307	4
UKE3	GBR	1120	12
DE26	DEU	2414	76
ITC1	ITA	1120	12
ES30	ESP	2904	1
UKG3	GBR	2307	5
NL41	NLD	1120	28
EL52	GRC	393	6
TR51	TUR	1120	191
DEG0	DEU	2307	2
UKF2	GBR	2307	6
UKG1	GBR	2307	2
EL30	GRC	530	2
PT11	PRT	14	2
DEC0	DEU	1120	10
DE11	DEU	639	4
DE11	DEU	1738	6
UKI3	GBR	1450	12
UKK1	GBR	2184	4
ES70	ESP	1738	28
UKD3	GBR	14	15
NL22	NLD	2307	14
NO06	NOR	1891	112
PT17	PRT	1891	106
ES30	ESP	2414	114
ITC4	ITA	2414	76
ITF3	ITA	1553	6
ITF6	ITA	1332	14
AT13	AUT	1553	6
NL22	NLD	14	6
AT13	AUT	765	2
UKJ1	GBR	1120	12
NL32	NLD	137	2
ES30	ESP	14	1
UKC2	GBR	1332	6
DE12	DEU	748	3
UKK4	GBR	397	2
DE40	DEU	1553	2
DE30	DEU	2184	21
ES51	ESP	2307	4
UKD4	GBR	397	46
UKJ1	GBR	1735	8
BE23	BEL	2414	95
FR10	FRA	1891	12
FR10	FRA	804	4
AT22	AUT	1891	6
UKH3	GBR	804	6
TR10	TUR	2414	38
UKM8	GBR	376	8
CH04	CHE	137	1
TR10	TUR	1673	1
UKJ1	GBR	2307	2
RO42	ROU	1332	24
UKJ3	GBR	2307	5
ES51	ESP	1120	180
ITC4	ITA	1120	36
UKE3	GBR	1450	4
SE12	SWE	1332	2
DE13	DEU	2307	48
FRI1	FRA	944	20
DED5	DEU	1450	2
ES52	ESP	765	1
SI04	SVN	1735	4
SE12	SWE	1738	2
NO09	NOR	748	12
CH01	CHE	1738	24
FR10	FRA	944	20
UKH1	GBR	804	35
CH01	CHE	1332	2
ES62	ESP	393	4
UKI3	GBR	1120	97
FRH0	FRA	1332	28
ITF5	ITA	1120	8
DE13	DEU	1120	16
ITF4	ITA	765	2
UKD3	GBR	2184	2
FI1B	FIN	137	3
FRJ1	FRA	1553	6
CH04	CHE	1673	8
DEG0	DEU	14	4
NL33	NLD	639	24
FRB0	FRA	2184	6
UKD3	GBR	2580	4
NO06	NOR	3204	4
ITH5	ITA	137	1
CH02	CHE	2307	4
CH04	CHE	1735	4
UKI3	GBR	1891	14
UKD4	GBR	1891	6
FRH0	FRA	2414	95
AT13	AUT	662	4
UKK4	GBR	1891	8
NO08	NOR	278	1
UKM8	GBR	1891	12
UKK1	GBR	1120	25
BE10	BEL	1332	2
FRK2	FRA	2414	285
NO08	NOR	397	28
EL51	GRC	393	6
DE21	DEU	1553	2
DE11	DEU	14	5
UKE4	GBR	397	4
HR03	HRV	1332	4
DED2	DEU	2184	2
DE71	DEU	1553	6
FRE1	FRA	1738	12
UKI3	GBR	804	73
FRF1	FRA	2307	2
UKG1	GBR	1332	4
FRE1	FRA	1332	2
AT13	AUT	534	4
UKG3	GBR	1120	10
ES12	ESP	14	1
FR10	FRA	397	20
CH04	CHE	2307	1
TR31	TUR	2308	8
ES30	ESP	2307	6
RO42	ROU	2904	2
CH01	CHE	2414	76
ITH5	ITA	2307	4
UKJ3	GBR	2414	38
DE12	DEU	1450	2
ES21	ESP	639	8
UKC2	GBR	397	10
ITC1	ITA	393	6
EL30	GRC	2184	2
ES30	ESP	393	4
PT15	PRT	1450	4
FRD2	FRA	2184	3
UKJ4	GBR	1366	3
SE33	SWE	3204	8
UKM7	GBR	1891	56
UKF2	GBR	1891	12
DK01	DNK	397	8
