nuts2	country_iso_alpha3_code	cluster_id1	counts
FRJ1	FRA	466	100
ITF4	ITA	233	18
ITI3	ITA	2414	171
ITI1	ITA	376	2
UKM8	GBR	1435	2
ITF3	ITA	299	9
NL33	NLD	1605	38
ITI4	ITA	392	12
UKH2	GBR	1332	37
UKL1	GBR	2086	3
ITG2	ITA	1366	9
UKF1	GBR	376	4
ITF6	ITA	1332	254
UKJ2	GBR	530	4
DK02	DNK	1332	10
UKI3	GBR	1856	8
ES21	ESP	1605	2
IE04	IRL	1332	182
UKM5	GBR	1332	22
FRF1	FRA	233	63
LU00	LUX	1120	4
CZ05	CZE	2414	475
DEB3	DEU	137	49
DE22	DEU	392	2
UKH1	GBR	486	5
UKD7	GBR	1120	2
DE30	DEU	1450	54
DED5	DEU	1450	4
PL63	POL	1332	1
FRC2	FRA	1462	18
TR72	TUR	2086	13
BE32	BEL	299	1
UKI3	GBR	1120	13
DEB3	DEU	2110	16
UKH1	GBR	2110	6
ES30	ESP	137	15
ES13	ESP	1605	1
FRD2	FRA	2414	57
DED4	DEU	2184	3
TR90	TUR	1332	5
DE12	DEU	299	1
UKE3	GBR	1120	4
FRE1	FRA	376	2
EE00	EST	299	8
FI1C	FIN	1605	12
NO0A	NOR	2414	19
FRI3	FRA	2086	28
ES61	ESP	83	9
DEA1	DEU	83	33
ES30	ESP	1735	8
UKL2	GBR	299	8
DE30	DEU	137	2
TR62	TUR	1120	12
FR10	FRA	1891	93
NL11	NLD	2086	151
TR32	TUR	1450	18
ITC4	ITA	2086	236
BE24	BEL	1366	13
UKD3	GBR	28	12
FRD2	FRA	486	3
ES21	ESP	1332	29
TR10	TUR	2414	38
UKE3	GBR	1856	13
ES70	ESP	137	4
ES51	ESP	2293	3
UKH2	GBR	2184	2
SI04	SVN	1735	52
DK01	DNK	233	168
UKD7	GBR	1450	26
FRH0	FRA	1332	36
EL52	GRC	1891	59
BE24	BEL	466	56
ES61	ESP	1332	17
FRG0	FRA	233	12
FRK2	FRA	1120	96
TR51	TUR	2184	1
ITF6	ITA	1605	127
AT13	AUT	137	4
FI19	FIN	299	1
PL51	POL	2086	84
LT02	LTU	1120	9
BE25	BEL	233	21
PL51	POL	137	1
