nuts2	country_iso_alpha3_code	cluster_id1	counts
TR21	TUR	128	16
FR10	FRA	811	21
UKK1	GBR	878	24
BE23	BEL	201	86
PL91	POL	481	4
SE12	SWE	734	2594
NL21	NLD	1580	19
DEA4	DEU	271	213
FR10	FRA	2112	574
FRK2	FRA	785	958
DEG0	DEU	68	16
DEA5	DEU	1491	9
NO08	NOR	184	18
ITG1	ITA	1429	9
DEF0	DEU	2463	20
RO42	ROU	721	18
DE25	DEU	637	24
UKK1	GBR	97	50
ITI4	ITA	150	730
PL21	POL	875	28
PL91	POL	208	229
UKC2	GBR	734	252
FI1B	FIN	5	7
ITI1	ITA	637	18
UKL1	GBR	208	341
TR81	TUR	752	2
UKL1	GBR	906	4
AT31	AUT	852	309
UKJ1	GBR	2300	8
ITI2	ITA	599	74
PL71	POL	381	4
PT17	PRT	550	12
UKD4	GBR	433	8
SE11	SWE	11	12
DEC0	DEU	14	256
DE21	DEU	1352	4
PL91	POL	44	32
BE10	BEL	2529	9
HU11	HUN	857	196
FRL0	FRA	1275	1
BE24	BEL	1824	6
BE32	BEL	534	36
SE11	SWE	1065	8
CH02	CHE	481	81
NL22	NLD	230	151
PT16	PRT	988	18
PL42	POL	251	5
PL61	POL	525	3
CZ01	CZE	3472	1
DEA3	DEU	97	1963
ITH5	ITA	393	4
LT01	LTU	412	13
UKI3	GBR	54	3
ITH5	ITA	3114	10
FRK2	FRA	486	3
UKM7	GBR	201	55
UKM8	GBR	1435	1
DE23	DEU	204	4
FRI1	FRA	1597	2
PT16	PRT	525	42
IE06	IRL	1587	4
ES13	ESP	557	6
RS11	SRB	274	11
NL22	NLD	66	605
UKJ3	GBR	1490	199
EL52	GRC	2437	9
LV00	LVA	152	12
BE33	BEL	286	28
DEF0	DEU	1219	29
FRG0	FRA	981	12
DED2	DEU	684	16
TR42	TUR	50	128
DK01	DNK	245	426
NL33	NLD	335	2
TR51	TUR	377	12
UKD7	GBR	3207	21
FRF1	FRA	684	39
EL54	GRC	215	8
AT33	AUT	360	30
UKK1	GBR	1835	18
DEA2	DEU	124	1
BE23	BEL	1965	4
NL41	NLD	1407	219
SE12	SWE	252	104
