nuts2	country_iso_alpha3_code	cluster_id1	counts
TR42	TUR	5	6
FRH0	FRA	1579	12
DE92	DEU	205	1
DE91	DEU	1753	2
DEA4	DEU	316	1
DE13	DEU	184	7
PT11	PRT	1703	6
CH02	CHE	201	2
EL30	GRC	1978	9
DEA4	DEU	772	4
FRI1	FRA	87	162
UKM7	GBR	1457	5
UKM7	GBR	201	6
SK01	SVK	124	8
FRL0	FRA	857	2
PL91	POL	208	21
UKF2	GBR	1604	4
ITF4	ITA	1247	8
ES52	ESP	2242	2
UKF1	GBR	1703	2
AT22	AUT	1896	112
FRI3	FRA	1604	35
CH04	CHE	3573	9
UKE3	GBR	721	5
DE12	DEU	1429	16
BE23	BEL	201	37
UKK1	GBR	1835	12
BE31	BEL	1738	10
IE06	IRL	1587	22
DED5	DEU	1450	162
FI1B	FIN	252	4
FI1D	FIN	1468	10
PL71	POL	381	1
TR71	TUR	921	241
NL22	NLD	66	19
DEA4	DEU	271	18
ITC1	ITA	1322	7
AT33	AUT	2435	18
DK02	DNK	1738	40
AT13	AUT	425	20
DEA2	DEU	124	37
ITH1	ITA	1468	62
DED4	DEU	1740	12
DE80	DEU	201	11
PL91	POL	44	2
UKC2	GBR	1743	18
PL22	POL	1247	13
FRJ2	FRA	2435	4
DEG0	DEU	1289	51
ES30	ESP	2725	38
FI1B	FIN	233	18
ITG1	ITA	1429	18
PT17	PRT	1604	337
ES30	ESP	1830	127
UKI3	GBR	828	1
BE35	BEL	1457	1
ITC1	ITA	1830	6
UKE3	GBR	422	4
DK04	DNK	124	24
DE24	DEU	205	8
DEA2	DEU	105	76
TR32	TUR	1450	90
ITC1	ITA	313	3
PL61	POL	525	2
DE72	DEU	286	5
DE26	DEU	1343	16
DE21	DEU	1587	51
DK01	DNK	772	232
FRB0	FRA	105	146
UKD7	GBR	1450	82
TR42	TUR	50	10
EL63	GRC	3573	24
UKG3	GBR	156	28
BE21	BEL	208	8
FRF2	FRA	245	9
LT01	LTU	412	6
UKD4	GBR	1468	6
UKM7	GBR	156	27
CY00	CYP	1604	144
DED4	DEU	66	63
BE33	BEL	205	73
FRI1	FRA	733	6
FRK2	FRA	184	38
ES43	ESP	921	24
ITI1	ITA	1247	75
DEA5	DEU	1738	53
UKE3	GBR	412	1
UKD3	GBR	1289	1
UKH1	GBR	215	40
UKM7	GBR	66	33
UKM7	GBR	1322	24
UKI3	GBR	1429	2
TR42	TUR	857	20
CH04	CHE	1928	4
ITI4	ITA	1760	22
CZ02	CZE	772	6
ITI4	ITA	2743	9
EE00	EST	1322	16
FR10	FRA	721	30
TRC1	TUR	228	10
ITC1	ITA	156	115
ITF3	ITA	1667	9
FRH0	FRA	1743	2
ES30	ESP	1441	33
UKH1	GBR	2435	38
ES61	ESP	921	960
UKE3	GBR	1604	28
ES22	ESP	614	2
TR51	TUR	1450	208
CH01	CHE	1667	1
DE13	DEU	1775	217
DE12	DEU	228	14
SE11	SWE	1457	1
ES52	ESP	105	32
EL54	GRC	87	15
PL61	POL	245	6
ITF6	ITA	299	8
DE60	DEU	3573	24
DED5	DEU	1289	6
SE22	SWE	2608	4
FRE1	FRA	381	44
ITH5	ITA	184	12
SI04	SVN	1604	2
TR42	TUR	57	6
EL53	GRC	724	2
BE21	BEL	3045	9
DEA5	DEU	874	28
DEF0	DEU	381	5
FRK2	FRA	1604	660
DED4	DEU	47	20
CH04	CHE	874	34
EL43	GRC	105	4
UKM5	GBR	921	39
PL21	POL	1775	7
AT13	AUT	772	160
TR10	TUR	1775	6
DEA1	DEU	271	14
UKD7	GBR	1835	1
FRH0	FRA	5	5
TR10	TUR	98	10
ITH3	ITA	19	40
UKK4	GBR	5	2
EL43	GRC	1468	53
FRF1	FRA	57	2
DED4	DEU	593	25
UKM5	GBR	1804	4
HR03	HRV	1743	124
SE33	SWE	2435	6
RO21	ROU	87	1
DE91	DEU	5	5
CY00	CYP	3301	1
UKE4	GBR	205	34
UKD3	GBR	412	29
UKF1	GBR	1738	261
FRL0	FRA	1355	6
TR10	TUR	5	63
PT18	PRT	313	6
DEB3	DEU	3573	6
DEA3	DEU	437	4
TRA1	TUR	1752	6
UKE4	GBR	1587	11
IE05	IRL	1605	1
PT16	PRT	724	4
DE12	DEU	208	6
DE11	DEU	137	7
LV00	LVA	422	135
CH04	CHE	3005	10
CZ06	CZE	146	7
TR52	TUR	534	9
BE31	BEL	2426	14
UKJ1	GBR	19	3
TR90	TUR	1792	6
UKL2	GBR	1604	9
ITF1	ITA	105	19
TR51	TUR	804	8
UKH2	GBR	1896	49
ITG1	ITA	124	10
DE12	DEU	2435	6
DE40	DEU	959	10
UKN0	GBR	921	120
ITH5	ITA	78	141
UKJ3	GBR	1429	8
DEE0	DEU	78	33
UKF2	GBR	447	6
NO06	NOR	1978	28
PL22	POL	299	15
EL30	GRC	921	119
FRH0	FRA	66	24
BE24	BEL	1605	16
FRE2	FRA	341	3
ITF3	ITA	321	18
ITH4	ITA	271	15
CZ01	CZE	105	37
PL91	POL	205	14
UKK1	GBR	87	4
SE12	SWE	1441	16
ES41	ESP	316	6
DE60	DEU	1398	6
UKL2	GBR	1896	10
UKG3	GBR	1429	53
DE12	DEU	1343	398
SE33	SWE	1468	6
ES61	ESP	828	6
CH04	CHE	1989	1
BE23	BEL	921	4
ES41	ESP	252	17
PT16	PRT	959	15
UKJ1	GBR	64	6
CZ01	CZE	124	10
ES30	ESP	146	8
FRI1	FRA	1587	6
CH01	CHE	1918	61
DE21	DEU	1776	27
DE11	DEU	1429	51
BE21	BEL	105	11
RO21	ROU	614	36
PL22	POL	954	2
ES52	ESP	1429	26
DE92	DEU	57	11
DE13	DEU	3301	2
SE22	SWE	1628	8
TR31	TUR	724	35
LT02	LTU	201	1
TRB1	TUR	726	7
UKM8	GBR	2608	64
TR61	TUR	1247	67
FRK2	FRA	78	16
TR22	TUR	5	3
DEC0	DEU	184	6
ITF4	ITA	447	2
ITH3	ITA	2426	6
PT11	PRT	874	72
SE12	SWE	66	45
NL41	NLD	1587	4
BE32	BEL	1835	9
TRC1	TUR	2426	3
DK05	DNK	1289	6
DE94	DEU	1743	66
FRF3	FRA	726	24
ES21	ESP	316	6
UKF1	GBR	1401	115
DK03	DNK	66	4
FRH0	FRA	1441	8
UKC1	GBR	942	4
BG41	BGR	646	36
DE91	DEU	105	14
SE12	SWE	1830	2
AT22	AUT	556	2
ITH5	ITA	1450	12
ES21	ESP	1743	3
TR83	TUR	1743	2
TR31	TUR	959	3
DE11	DEU	66	99
NL33	NLD	245	22
NO09	NOR	205	8
DEA1	DEU	3301	4
DE72	DEU	1401	170
FRI1	FRA	286	1
CH04	CHE	852	4
DE30	DEU	3045	28
BE24	BEL	105	40
CZ01	CZE	5	39
ES21	ESP	252	1
HU11	HUN	1918	2
FRG0	FRA	733	12
TR51	TUR	184	4
DE30	DEU	2435	85
FI1C	FIN	201	3
ITI4	ITA	57	80
ES30	ESP	1457	2
BE24	BEL	124	2
UKD1	GBR	1450	20
UKI3	GBR	1355	21
FI1B	FIN	156	11
CH02	CHE	156	3
IE05	IRL	184	24
NO06	NOR	105	3
PL51	POL	1343	22
FRL0	FRA	1429	2
FR10	FRA	3301	6
UKD7	GBR	614	2
ITG1	ITA	57	6
DE11	DEU	921	276
ES52	ESP	921	246
FRD2	FRA	954	6
ITI1	ITA	1752	69
FRF3	FRA	954	2
FI1B	FIN	1457	2
ES21	ESP	271	6
PL91	POL	105	8
DE14	DEU	66	96
UKJ1	GBR	28	41
LT02	LTU	156	5
SK01	SVK	593	3
BE33	BEL	1401	30
EL61	GRC	645	12
DE92	DEU	19	40
NL22	NLD	721	5
DE24	DEU	921	24
NO08	NOR	772	55
UKD3	GBR	87	12
FRC2	FRA	1429	4
FI1B	FIN	593	139
CH02	CHE	593	12
EL52	GRC	1743	34
PT16	PRT	313	18
ITH4	ITA	78	43
TR31	TUR	1322	8
UKI3	GBR	1760	56
DE11	DEU	381	16
FRE1	FRA	47	6
DEA2	DEU	156	2
RS21	SRB	146	2
UKM5	GBR	2608	10
ITC4	ITA	1401	35
BE21	BEL	5	17
DK01	DNK	1775	2
FRF1	FRA	44	4
TR61	TUR	2426	5
UKE4	GBR	1401	10
RO32	ROU	2223	32
FRF3	FRA	1667	1
IE06	IRL	2426	8
UKH1	GBR	1667	1
TR42	TUR	208	16
DE25	DEU	184	97
EL30	GRC	66	179
BE10	BEL	726	114
CZ06	CZE	313	4
UKJ3	GBR	1667	1
ITF5	ITA	1247	12
UKG3	GBR	5	11
UKH1	GBR	2294	2
UKJ1	GBR	2294	13
FRJ1	FRA	593	8
BE24	BEL	66	133
FI1B	FIN	1775	12
IE06	IRL	19	5
DE80	DEU	5	4
BE35	BEL	2537	4
LV00	LVA	146	2
LT01	LTU	425	5
ITI1	ITA	1398	12
NO06	NOR	1830	64
ES62	ESP	921	16
DE21	DEU	1429	68
CH01	CHE	215	10
CH04	CHE	627	24
ES24	ESP	1738	20
HU33	HUN	556	4
BE33	BEL	19	15
HR05	HRV	1738	94
ES52	ESP	1747	22
SK01	SVK	156	6
FRC1	FRA	245	1
FI19	FIN	1587	14
FRJ1	FRA	156	4
DE13	DEU	425	8
BE33	BEL	1738	64
FRE1	FRA	28	8
ES61	ESP	3045	342
DE71	DEU	921	53
HR02	HRV	921	12
PL63	POL	3005	24
RS11	SRB	1289	1
NL32	NLD	1703	6
DE12	DEU	205	11
BE35	BEL	5	25
FI19	FIN	205	4
RS11	SRB	1835	6
PT17	PRT	874	100
DE91	DEU	2	3
ITF1	ITA	1429	13
BG42	BGR	921	42
EL52	GRC	724	2
RS12	SRB	205	6
EL63	GRC	87	35
DEA2	DEU	921	312
UKM7	GBR	2743	18
DK02	DNK	1587	69
TR52	TUR	1398	3
EL30	GRC	1830	2
DE21	DEU	1918	3
DEB3	DEU	1738	30
ITH5	ITA	1752	37
UKG3	GBR	50	2
BE33	BEL	1918	464
UKG3	GBR	57	2
