nuts2	country_iso_alpha3_code	cluster_id1	counts
DK03	DNK	1738	120
UKM8	GBR	3396	4
DK05	DNK	1284	1536
CH04	CHE	393	8
UKM7	GBR	189	8
DK03	DNK	530	172
UKG2	GBR	3301	18
DED2	DEU	558	40
UKC1	GBR	14	1
DK02	DNK	3127	1
DED4	DEU	14	32
TR10	TUR	319	1
ES51	ESP	2184	7
FI1D	FIN	182	1
TR62	TUR	1602	8
BE21	BEL	654	22
MT00	MLT	1738	12
ES51	ESP	1284	35
NL11	NLD	348	40
ITI3	ITA	2186	2
ITG1	ITA	14	59
NL33	NLD	1738	123
DE12	DEU	275	32
SE11	SWE	94	9
ES24	ESP	381	12
DK01	DNK	760	193
UKJ2	GBR	2819	8
PL41	POL	274	4
ITH4	ITA	2558	156
UKH1	GBR	2079	2
FRG0	FRA	639	192
DEA1	DEU	444	4
TR62	TUR	1120	9
CY00	CYP	2079	2
DE24	DEU	98	8
NL22	NLD	662	32
DE26	DEU	182	5
LU00	LUX	448	40
DE14	DEU	232	8
ES62	ESP	3301	8
IE06	IRL	381	31
ITF3	ITA	394	6
DK01	DNK	259	4
FI1B	FIN	2854	2
ITH3	ITA	677	37
ES21	ESP	444	4
AT12	AUT	1083	1
ES30	ESP	441	25
CZ01	CZE	825	24
DK04	DNK	1468	12
DK01	DNK	632	817
ITF6	ITA	857	68
TR42	TUR	2524	2
IE05	IRL	1083	65
UKH1	GBR	232	2
ITH2	ITA	182	9
FRF2	FRA	1083	2
UKN0	GBR	530	94
LT01	LTU	818	2
DK01	DNK	278	100
DE25	DEU	437	1
PL63	POL	337	23
NL11	NLD	2022	1
DE25	DEU	444	68
DEA5	DEU	857	90
FRC2	FRA	1120	1
BE33	BEL	381	15
DK03	DNK	1185	62
PT11	PRT	444	132
ITC4	ITA	189	2
DK05	DNK	1602	88
CH01	CHE	444	503
EL43	GRC	953	12
EL63	GRC	337	65
FI1D	FIN	1518	4
DED2	DEU	50	37
DE21	DEU	953	58
BE32	BEL	337	6
ITI4	ITA	760	56
UKD4	GBR	2558	6
ITI1	ITA	1468	54
IE06	IRL	825	38
HU11	HUN	760	54
ITF3	ITA	1496	40
DE25	DEU	1247	9
FI19	FIN	1602	6
CH01	CHE	437	1
DE11	DEU	760	132
PT11	PRT	14	2
EL63	GRC	639	318
UKM8	GBR	340	46
PL22	POL	639	20
PT16	PRT	1615	73
RS11	SRB	3301	40
DEA2	DEU	1518	11
FI19	FIN	1576	95
ITH4	ITA	530	7
MT00	MLT	340	10
CH03	CHE	1576	48
ES24	ESP	182	579
ES51	ESP	381	49
UKD1	GBR	1332	18
BG34	BGR	1332	8
DE30	DEU	1576	75
FRH0	FRA	1553	44
HR05	HRV	1175	44
DED2	DEU	1615	15
CZ07	CZE	448	10
ES51	ESP	1602	152
FR10	FRA	2288	12
SE33	SWE	182	19
FRB0	FRA	1332	47
UKI3	GBR	299	39
PT11	PRT	1572	51
DE71	DEU	381	175
UKM6	GBR	234	74
PL81	POL	337	18
DK04	DNK	1124	15
ES52	ESP	1743	12
FI1C	FIN	14	6
CH01	CHE	1083	6
DEB3	DEU	381	285
UKC2	GBR	1605	66
SE11	SWE	2022	24
DED4	DEU	1139	1
DE12	DEU	1332	1
ES12	ESP	530	104
DE25	DEU	784	2
ES11	ESP	2079	4
FRH0	FRA	335	25
DK04	DNK	376	102
DE25	DEU	765	20
ITC1	ITA	2022	44
UKI3	GBR	337	321
UKN0	GBR	376	2
DK01	DNK	1332	3330
DED2	DEU	124	8
PL91	POL	381	32
UKK4	GBR	3367	46
DK05	DNK	448	88
ITI4	ITA	2819	6
ITH3	ITA	857	264
SE12	SWE	444	52
MT00	MLT	530	136
DE12	DEU	50	28
AT12	AUT	1738	70
CH03	CHE	1284	8
UKD7	GBR	1576	206
DE73	DEU	441	52
EL65	GRC	278	3
UKJ3	GBR	286	6
ITF3	ITA	1332	6
UKC2	GBR	394	36
DE60	DEU	337	4
AT13	AUT	784	30
AT13	AUT	2028	54
EL64	GRC	381	13
DK05	DNK	1332	974
FRI3	FRA	649	3
DE71	DEU	297	4
UKJ3	GBR	864	4
EL61	GRC	448	2
DE21	DEU	1615	15
NO08	NOR	530	24
UKJ3	GBR	662	64
SI03	SVN	1185	2
RO32	ROU	376	159
NL42	NLD	1553	24
ITI1	ITA	482	5
FRF3	FRA	857	913
UKE2	GBR	3367	4
PT16	PRT	1175	281
ITI3	ITA	444	4
EL41	GRC	444	4
ES51	ESP	256	592
RO21	ROU	2022	4
ES51	ESP	275	16
UKJ2	GBR	444	26
FI19	FIN	182	7
UKK1	GBR	393	46
FRI1	FRA	3389	42
UKK1	GBR	2022	23
UKG2	GBR	444	24
DEA5	DEU	1602	60
NL33	NLD	376	27
IE06	IRL	677	2
RS11	SRB	182	11
FRK2	FRA	337	19
DE30	DEU	654	18
BG41	BGR	530	184
TRB1	TUR	857	82
DE11	DEU	1139	1
ITH3	ITA	1175	22
SK01	SVK	83	4
UKE3	GBR	394	38
NL41	NLD	953	315
SI04	SVN	393	26
TR31	TUR	444	8
UKL2	GBR	448	4
FR10	FRA	1012	32
DK03	DNK	19	18
UKG3	GBR	337	116
SE22	SWE	1576	6
PT16	PRT	1602	12
PL22	POL	857	42
UKK1	GBR	1984	16
FRF3	FRA	2184	4
ITH3	ITA	337	580
HR05	HRV	825	48
DE94	DEU	444	18
FRF1	FRA	966	2
ITC3	ITA	1891	4
ES42	ESP	1738	120
ES61	ESP	1576	555
CH04	CHE	2186	8
DE92	DEU	278	12
NL33	NLD	2413	9
TRC1	TUR	857	49
NO06	NOR	335	1
DK04	DNK	337	216
ITH4	ITA	639	28
UKH2	GBR	448	4
DE30	DEU	381	87
NO09	NOR	1891	10
ES41	ESP	2308	18
TR52	TUR	1185	8
ITG2	ITA	632	3
ES42	ESP	71	32
FRB0	FRA	966	10
TR62	TUR	2184	2
TR22	TUR	444	8
DE11	DEU	14	2
NL21	NLD	124	12
DK04	DNK	639	3908
BG41	BGR	1185	8
AT13	AUT	2127	8
UKC1	GBR	1576	8
ITH4	ITA	1738	95
UKM7	GBR	697	2
BE22	BEL	760	100
FI1C	FIN	232	106
PT16	PRT	256	140
UKH1	GBR	428	2
BG41	BGR	639	222
DE94	DEU	1572	6
EL30	GRC	14	17
DE12	DEU	1576	48
DE13	DEU	2166	64
FI1B	FIN	232	26
PL63	POL	639	32
SK04	SVK	340	1
ITF4	ITA	1468	21
BE10	BEL	639	70
MT00	MLT	45	18
DK04	DNK	3367	4
TR63	TUR	393	27
BE33	BEL	760	132
FR10	FRA	649	1
DEA5	DEU	1284	130
BE24	BEL	3481	668
UKE3	GBR	256	11
UKK1	GBR	1139	3
FRK2	FRA	662	44
ES51	ESP	825	116
HR06	HRV	530	2
FRI3	FRA	784	2
ITC4	ITA	2608	2
IS00	ISL	1897	4
ES61	ESP	448	30
