nuts2	country_iso_alpha3_code	cluster_id1	counts
DK05	DNK	337	365
DK05	DNK	530	349
DK05	DNK	639	191
UKE3	GBR	376	143
DK02	DNK	1332	141
FR10	FRA	444	123
DK01	DNK	1332	113
ES30	ESP	182	105
ES51	ESP	1576	96
DK05	DNK	256	95
ES51	ESP	337	95
ES51	ESP	530	93
NL33	NLD	1332	90
DK05	DNK	1284	89
DK05	DNK	765	84
UKI3	GBR	444	84
UKI3	GBR	182	76
CH01	CHE	444	76
ITI1	ITA	182	71
ES51	ESP	639	69
UKF1	GBR	340	69
PT17	PRT	1891	69
ME00	MNE	444	69
ES51	ESP	182	68
UKM8	GBR	1576	66
UKM8	GBR	639	64
ITF3	ITA	857	63
ES24	ESP	182	63
FRK2	FRA	444	62
DK01	DNK	639	59
DE21	DEU	340	59
ES61	ESP	530	58
ITC1	ITA	182	52
CH01	CHE	1332	52
TR51	TUR	444	52
SE11	SWE	444	51
UKI3	GBR	662	51
ES30	ESP	337	51
UKH1	GBR	444	51
FR10	FRA	639	50
DE40	DEU	182	50
DE30	DEU	182	50
DK05	DNK	1332	49
SE11	SWE	1576	48
ITG1	ITA	182	47
PT17	PRT	639	47
PT11	PRT	1185	47
ES61	ESP	765	46
EE00	EST	256	46
IE06	IRL	639	45
ITC4	ITA	639	45
ITC4	ITA	1332	45
BE24	BEL	1576	44
ES51	ESP	765	44
CH04	CHE	381	44
NO06	NOR	1332	44
ITH5	ITA	444	43
ITC4	ITA	530	43
DK02	DNK	639	43
ES30	ESP	1083	43
NO06	NOR	1576	42
NL33	NLD	639	42
FR10	FRA	530	41
DEA2	DEU	444	41
ES21	ESP	1891	41
ES51	ESP	857	41
SE12	SWE	1891	40
UKC2	GBR	639	39
DK05	DNK	1576	38
DEB3	DEU	381	38
ES61	ESP	1576	38
ITH3	ITA	530	38
UKM7	GBR	444	38
ES30	ESP	639	37
FRE1	FRA	639	37
DK04	DNK	639	37
UKI3	GBR	381	36
FI19	FIN	857	35
BE24	BEL	444	34
ES30	ESP	530	34
EL30	GRC	1332	34
UKE3	GBR	530	33
CH04	CHE	1576	33
FRE1	FRA	530	33
ITI4	ITA	182	33
NL33	NLD	1576	33
TR10	TUR	639	33
NO06	NOR	1891	33
FR10	FRA	182	33
DK01	DNK	1083	33
UKG3	GBR	182	33
SE12	SWE	1576	32
UKI3	GBR	1332	32
UKE3	GBR	639	32
UKI3	GBR	530	32
DEF0	DEU	337	32
ES21	ESP	639	32
NO06	NOR	530	32
UKD3	GBR	639	32
ITF3	ITA	182	31
ES43	ESP	256	31
UKK4	GBR	1891	31
DE94	DEU	1332	31
ES51	ESP	256	31
DK05	DNK	444	30
ES61	ESP	337	30
UKI3	GBR	1576	30
UKM5	GBR	1576	30
UKF1	GBR	765	30
DE21	DEU	444	30
CH04	CHE	444	30
UKK1	GBR	2028	30
ES61	ESP	639	29
DE21	DEU	1332	29
DE30	DEU	530	29
UKF1	GBR	337	29
UKH1	GBR	639	29
DK05	DNK	340	29
FRJ2	FRA	765	29
SE12	SWE	1332	29
DK03	DNK	337	29
FR10	FRA	381	28
DK01	DNK	1185	28
DK05	DNK	677	28
DK05	DNK	857	28
FRJ2	FRA	444	28
UKI3	GBR	1738	27
FRH0	FRA	1175	27
UKM5	GBR	182	27
NO06	NOR	639	27
UKI3	GBR	2166	27
ES11	ESP	1891	27
TR10	TUR	444	27
ITG1	ITA	530	26
UKM8	GBR	632	26
DEA1	DEU	639	26
UKL2	GBR	1576	26
ITG1	ITA	857	26
NL33	NLD	444	26
ES61	ESP	857	26
SE11	SWE	1332	26
CH04	CHE	530	26
CH04	CHE	2028	26
ES11	ESP	337	26
ES30	ESP	1332	26
FRC2	FRA	393	26
FRE1	FRA	1139	26
DEF0	DEU	1284	26
UKM8	GBR	1332	25
DK05	DNK	376	25
ITH3	ITA	376	25
IE05	IRL	1891	25
ITC1	ITA	444	25
AT13	AUT	2186	25
NO06	NOR	337	25
FRK2	FRA	639	25
DK03	DNK	639	25
IE06	IRL	1891	25
DEF0	DEU	639	25
DE21	DEU	765	25
DEF0	DEU	677	25
FRH0	FRA	444	24
ES21	ESP	1332	24
TR42	TUR	639	24
PT11	PRT	1083	24
NL32	NLD	1332	24
UKM8	GBR	337	24
UKI3	GBR	639	24
UKC1	GBR	632	24
PL21	POL	632	23
ITC4	ITA	857	23
CY00	CYP	337	23
DE11	DEU	1332	23
ES21	ESP	530	23
DK05	DNK	1738	23
BE10	BEL	444	23
BE24	BEL	1332	23
ES21	ESP	765	23
ITF3	ITA	530	22
DE71	DEU	381	22
ES52	ESP	530	22
DE21	DEU	639	22
UKM8	GBR	1891	22
UKN0	GBR	639	22
PT17	PRT	182	22
ITC3	ITA	530	22
TR51	TUR	256	22
NO06	NOR	381	22
ES61	ESP	1175	22
UKK1	GBR	639	22
TR51	TUR	765	22
RO42	ROU	639	22
SE23	SWE	639	22
BE23	BEL	530	21
PT17	PRT	448	21
FI1D	FIN	444	21
DK01	DNK	662	21
CH04	CHE	677	21
UKM8	GBR	1083	21
PT16	PRT	1185	21
DE11	DEU	639	21
ES30	ESP	1576	21
ITF4	ITA	530	21
ITH3	ITA	760	21
UKC2	GBR	632	21
EL30	GRC	639	21
DK04	DNK	1332	21
PT11	PRT	530	21
DEA2	DEU	1738	20
CH04	CHE	182	20
UKM8	GBR	530	20
PL91	POL	765	20
DK05	DNK	662	20
DK01	DNK	677	20
FR10	FRA	448	20
RO12	ROU	530	20
DEA2	DEU	381	20
FI1B	FIN	381	20
IE06	IRL	1185	20
DE12	DEU	381	20
FR10	FRA	1185	20
UKD3	GBR	530	20
ITG1	ITA	1891	20
ES30	ESP	1468	20
PT17	PRT	1185	20
ES52	ESP	1576	20
EL43	GRC	444	20
ITC1	ITA	857	20
ITC4	ITA	1738	19
UKI3	GBR	1185	19
TR51	TUR	337	19
FR10	FRA	1332	19
ES22	ESP	530	19
FRJ2	FRA	256	19
UKG2	GBR	1576	19
ES30	ESP	448	19
UKJ3	GBR	1332	19
DE12	DEU	1185	19
NL41	NLD	662	19
FR10	FRA	393	19
CH04	CHE	1332	19
EL30	GRC	530	19
DEA5	DEU	337	19
ITI4	ITA	1185	19
DEA5	DEU	444	19
UKJ1	GBR	182	19
FRF3	FRA	857	19
ITI1	ITA	1289	18
ITF1	ITA	765	18
HU11	HUN	182	18
UKM7	GBR	1891	18
AT13	AUT	444	18
ES41	ESP	1891	18
SE11	SWE	182	18
UKD7	GBR	1175	18
EL63	GRC	639	18
UKG3	GBR	1738	18
FRI3	FRA	857	18
ES52	ESP	337	18
UKK1	GBR	182	18
CH01	CHE	182	18
IE06	IRL	1897	18
UKG3	GBR	639	18
UKD7	GBR	639	18
TR51	TUR	857	18
FR10	FRA	1139	18
ITF3	ITA	1891	18
FRE1	FRA	2186	17
DK01	DNK	448	17
PT17	PRT	1083	17
ITF6	ITA	1891	17
PL91	POL	639	17
DE30	DEU	649	17
ITI3	ITA	639	17
DK05	DNK	1185	17
FR10	FRA	1576	17
FR10	FRA	662	17
TR42	TUR	857	17
UKH1	GBR	182	17
PT16	PRT	639	17
CH01	CHE	1738	17
DK01	DNK	760	17
UKD3	GBR	1576	17
IE06	IRL	530	17
UKF1	GBR	639	17
ITI1	ITA	1332	17
PL91	POL	677	17
DEF0	DEU	765	17
NL33	NLD	2184	17
FRH0	FRA	639	17
CH04	CHE	448	17
ITF4	ITA	381	16
RS22	SRB	1332	16
ITF3	ITA	760	16
EL52	GRC	530	16
NL21	NLD	381	16
DE12	DEU	275	16
DK03	DNK	1332	16
ITC4	ITA	182	16
CH02	CHE	182	16
ITF3	ITA	2028	16
DK03	DNK	530	16
UKH2	GBR	1332	16
CH01	CHE	337	16
UKK1	GBR	1332	16
ITI2	ITA	1332	16
ES30	ESP	1738	16
PL91	POL	337	16
UKN0	GBR	1576	16
DED2	DEU	182	16
ES42	ESP	639	16
FRK2	FRA	1185	16
DK05	DNK	632	16
PT17	PRT	530	16
DEA2	DEU	639	16
ITH4	ITA	857	16
ES30	ESP	124	16
RO32	ROU	857	16
ITI4	ITA	1891	16
PT17	PRT	662	16
NL33	NLD	182	16
HR05	HRV	639	15
UKM7	GBR	1332	15
NL32	NLD	639	15
