label	sublabel	description	x	y	cluster	weight
"wave energy converter; wind turbine; oscillating water column; spar type"	2820	"<table><tr><td>Micro-level field;</td><td>1891</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>ocean engineering; renewable energy; international offshore and polar engineering conference proceedings; energies; proceedings of the asme international conference on ocean offshore and arctic engineering</td></tr><tr><td>Terms;</td><td>wave energy converter; wind turbine; oscillating water column; spar type</td></tr></table>"	0.7537	0.002	3	2820
"legionella; legionella pneumophila; legionnaires disease; detection; serogroup"	2071	"<table><tr><td>Micro-level field;</td><td>2414</td></tr><tr><td>Main fields;</td><td>Biomedical and health sciences; Life and earth sciences</td></tr><tr><td>Sources;</td><td>infection and immunity; legionella; state of the art 30 years after its recognition; applied and environmental microbiology; journal of clinical microbiology; legionella</td></tr><tr><td>Terms;</td><td>legionella; legionella pneumophila; legionnaires disease; detection; serogroup</td></tr></table>"	-0.5928	-0.2802	2	2071
"swat; swat model; hydrological model; ungauged catchment; rainfall runoff model"	1028	"<table><tr><td>Micro-level field;</td><td>397</td></tr><tr><td>Main fields;</td><td>Life and earth sciences</td></tr><tr><td>Sources;</td><td>journal of hydrology; hydrological processes; water resources research; hydrology and earth system sciences; journal of hydrologic engineering</td></tr><tr><td>Terms;</td><td>swat; swat model; hydrological model; ungauged catchment; rainfall runoff model</td></tr></table>"	0.2959	0.0081	4	1028
"piezoelectric energy harvester; vibration energy harvesting; vibration"	933	"<table><tr><td>Micro-level field;</td><td>1120</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering; Mathematics and computer science</td></tr><tr><td>Sources;</td><td>proceedings of spie; smart materials and structures; journal of physics conference series; journal of intelligent material systems and structures; sensors and actuators a-physical</td></tr><tr><td>Terms;</td><td>piezoelectric energy harvester; vibration energy harvesting; vibration</td></tr></table>"	0.8176	-0.0581	3	933
"wind turbine; wind farm; vertical axis wind turbine"	874	"<table><tr><td>Micro-level field;</td><td>1332</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>renewable energy; journal of physics conference series; wind energy; energies; energy</td></tr><tr><td>Terms;</td><td>wind turbine; wind farm; vertical axis wind turbine</td></tr></table>"	0.7542	0.0012	3	874
"torque reduction; cogging torque; axial flux permanent magnet machine; magnetic gear; optimal design"	644	"<table><tr><td>Micro-level field;</td><td>376</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>ieee transactions on magnetics; ieee transactions on industry applications; international conference on electrical machines and systems icems; ieee energy conversion congress and exposition; ieee transactions on industrial electronics</td></tr><tr><td>Terms;</td><td>torque reduction; cogging torque; axial flux permanent magnet machine; magnetic gear; optimal design</td></tr></table>"	0.8789	0.222	5	644
"nanofiltration membrane; microfiltration; forward osmosis; reverse osmosis membrane; rejection"	394	"<table><tr><td>Micro-level field;</td><td>137</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering; Life and earth sciences</td></tr><tr><td>Sources;</td><td>journal of membrane science; desalination; desalination and water treatment; separation and purification technology; journal of applied polymer science</td></tr><tr><td>Terms;</td><td>nanofiltration membrane; microfiltration; forward osmosis; reverse osmosis membrane; rejection</td></tr></table>"	0.4247	-0.4473	3	394
"olefin metathesis; metathesis catalyst; metathesis polymerization; romp"	346	"<table><tr><td>Micro-level field;</td><td>1553</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>tetrahedron letters; organic letters; journal of the american chemical society; organometallics; journal of organic chemistry</td></tr><tr><td>Terms;</td><td>olefin metathesis; metathesis catalyst; metathesis polymerization; romp</td></tr></table>"	0.0343	-0.7241	3	346
"thin film transistor; igzo; amorphous indium gallium zinc oxide thin film transistor; igzo tfts"	286	"<table><tr><td>Micro-level field;</td><td>1450</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering; Mathematics and computer science</td></tr><tr><td>Sources;</td><td>applied physics letters; ieee electron device letters; ieee transactions on electron devices; japanese journal of applied physics; thin solid films</td></tr><tr><td>Terms;</td><td>thin film transistor; igzo; amorphous indium gallium zinc oxide thin film transistor; igzo tfts</td></tr></table>"	0.7406	-0.5168	3	286
"compressed air energy storage; caes; thermodynamic analysis; electricity storage; energy storage technology"	249	"<table><tr><td>Micro-level field;</td><td>1738</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering; Mathematics and computer science</td></tr><tr><td>Sources;</td><td>applied energy; energy; energy procedia; energies; ieee power and energy society general meeting pesgm</td></tr><tr><td>Terms;</td><td>compressed air energy storage; caes; thermodynamic analysis; electricity storage; energy storage technology</td></tr></table>"	0.8009	0.2292	3	249
