label	sublabel	description	x	y	cluster	weight
"wave energy converter; wind turbine; oscillating water column; spar type"	9482	"<table><tr><td>Micro-level field;</td><td>1891</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>ocean engineering; renewable energy; international offshore and polar engineering conference proceedings; energies; proceedings of the asme international conference on ocean offshore and arctic engineering</td></tr><tr><td>Terms;</td><td>wave energy converter; wind turbine; oscillating water column; spar type</td></tr></table>"	0.7537	0.002	3	9482
"capacitive deionization; electrodialysis; anion exchange membrane; bipolar membrane; diffusion dialysis"	2407	"<table><tr><td>Micro-level field;</td><td>2086</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>desalination; journal of membrane science; separation and purification technology; desalination and water treatment; electrochimica acta</td></tr><tr><td>Terms;</td><td>capacitive deionization; electrodialysis; anion exchange membrane; bipolar membrane; diffusion dialysis</td></tr></table>"	0.4823	-0.4922	3	2407
"legionella; legionella pneumophila; legionnaires disease; detection; serogroup"	2071	"<table><tr><td>Micro-level field;</td><td>2414</td></tr><tr><td>Main fields;</td><td>Biomedical and health sciences; Life and earth sciences</td></tr><tr><td>Sources;</td><td>infection and immunity; legionella; state of the art 30 years after its recognition; applied and environmental microbiology; journal of clinical microbiology; legionella</td></tr><tr><td>Terms;</td><td>legionella; legionella pneumophila; legionnaires disease; detection; serogroup</td></tr></table>"	-0.5928	-0.2802	2	2071
"wind turbine; wind farm; vertical axis wind turbine"	1468	"<table><tr><td>Micro-level field;</td><td>1332</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>renewable energy; journal of physics conference series; wind energy; energies; energy</td></tr><tr><td>Terms;</td><td>wind turbine; wind farm; vertical axis wind turbine</td></tr></table>"	0.7542	0.0012	3	1468
"caveolin; lipid bilayer; lipid raft; cholesterol; membrane"	1343	"<table><tr><td>Micro-level field;</td><td>233</td></tr><tr><td>Main fields;</td><td>Biomedical and health sciences; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>langmuir; biophysical journal; biochimica et biophysica acta-biomembranes; journal of physical chemistry b; chemistry and physics of lipids</td></tr><tr><td>Terms;</td><td>caveolin; lipid bilayer; lipid raft; cholesterol; membrane</td></tr></table>"	-0.5647	-0.2991	2	1343
"nanofiltration membrane; microfiltration; forward osmosis; reverse osmosis membrane; rejection"	940	"<table><tr><td>Micro-level field;</td><td>137</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering; Life and earth sciences</td></tr><tr><td>Sources;</td><td>journal of membrane science; desalination; desalination and water treatment; separation and purification technology; journal of applied polymer science</td></tr><tr><td>Terms;</td><td>nanofiltration membrane; microfiltration; forward osmosis; reverse osmosis membrane; rejection</td></tr></table>"	0.4247	-0.4473	3	940
"rheological; melt; dispersion; reinforcement; poly"	552	"<table><tr><td>Micro-level field;</td><td>299</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>carbon; composites science and technology; journal of applied polymer science; polymer; journal of nanoscience and nanotechnology</td></tr><tr><td>Terms;</td><td>rheological; melt; dispersion; reinforcement; poly</td></tr></table>"	0.6026	-0.4623	3	552
"piezoelectric energy harvester; vibration energy harvesting; vibration"	468	"<table><tr><td>Micro-level field;</td><td>1120</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering; Mathematics and computer science</td></tr><tr><td>Sources;</td><td>proceedings of spie; smart materials and structures; journal of physics conference series; journal of intelligent material systems and structures; sensors and actuators a-physical</td></tr><tr><td>Terms;</td><td>piezoelectric energy harvester; vibration energy harvesting; vibration</td></tr></table>"	0.8176	-0.0581	3	468
"ethanol production; endoglucanase; enzymatic hydrolysis; enzymatic saccharification; beta glucosidase"	266	"<table><tr><td>Micro-level field;</td><td>83</td></tr><tr><td>Main fields;</td><td>Life and earth sciences; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>bioresource technology; applied biochemistry and biotechnology; biotechnology for biofuels; applied microbiology and biotechnology; bioresources</td></tr><tr><td>Terms;</td><td>ethanol production; endoglucanase; enzymatic hydrolysis; enzymatic saccharification; beta glucosidase</td></tr></table>"	-0.1872	-0.3799	4	266
"field emission; chemical vapor deposition; catalyst; carbon nanotube field effect transistor; growth"	264	"<table><tr><td>Micro-level field;</td><td>28</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>carbon; applied physics letters; physical review b; nanotechnology; aip conference proceedings</td></tr><tr><td>Terms;</td><td>field emission; chemical vapor deposition; catalyst; carbon nanotube field effect transistor; growth</td></tr></table>"	0.6898	-0.4795	3	264
