label	sublabel	description	x	y	cluster	weight
"perovskite solar cell; effect; stability; perovskite; efficiency"	1424326	"<table><tr><td>Micro-level field;</td><td>412</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>journal of materials chemistry a; acs applied materials & interfaces; journal of physical chemistry letters; journal of physical chemistry c; advanced materials</td></tr><tr><td>Terms;</td><td>perovskite solar cell; effect; stability; perovskite; efficiency</td></tr></table>"	0.6718	-0.55	3	1424326
"polymer solar cells; photovoltaic performance; bulk heterojunction solar cell; open circuit voltage; organic photovoltaics"	1021322	"<table><tr><td>Micro-level field;</td><td>87</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>organic electronics; solar energy materials and solar cells; applied physics letters; acs applied materials & interfaces; journal of materials chemistry a</td></tr><tr><td>Terms;</td><td>polymer solar cells; photovoltaic performance; bulk heterojunction solar cell; open circuit voltage; organic photovoltaics</td></tr></table>"	0.5463	-0.5712	3	1021322
"dye sensitized solar cell; counter electrode; solar cell; photovoltaic performance; dssc"	730317	"<table><tr><td>Micro-level field;</td><td>156</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>journal of physical chemistry c; electrochimica acta; rsc advances; journal of power sources; journal of materials chemistry a</td></tr><tr><td>Terms;</td><td>dye sensitized solar cell; counter electrode; solar cell; photovoltaic performance; dssc</td></tr></table>"	0.6373	-0.5389	3	730317
"graphene oxide; epitaxial graphene; bilayer graphene; graphene field effect transistor"	417189	"<table><tr><td>Micro-level field;</td><td>14</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>physical review b; carbon; applied physics letters; rsc advances; nano letters</td></tr><tr><td>Terms;</td><td>graphene oxide; epitaxial graphene; bilayer graphene; graphene field effect transistor</td></tr></table>"	0.6866	-0.4837	3	417189
"maximum power point tracking; partial shading condition; photovoltaic module; mppt; pv array"	212592	"<table><tr><td>Micro-level field;</td><td>857</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>solar energy; ieee industrial electronics society; ieee photovoltaic specialists conference; renewable energy; energy procedia</td></tr><tr><td>Terms;</td><td>maximum power point tracking; partial shading condition; photovoltaic module; mppt; pv array</td></tr></table>"	0.8707	0.2242	5	212592
"quantum dot; cdse nanocrystal; diode; semiconductor quantum dot; zns nanoparticle"	205705	"<table><tr><td>Micro-level field;</td><td>66</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>journal of physical chemistry c; nano letters; proceedings of spie; journal of the american chemical society; acs nano</td></tr><tr><td>Terms;</td><td>quantum dot; cdse nanocrystal; diode; semiconductor quantum dot; zns nanoparticle</td></tr></table>"	0.646	-0.5371	3	205705
"silicon nanowire; molecular beam epitaxy; gaas; germanium nanowire"	200335	"<table><tr><td>Micro-level field;</td><td>772</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>nano letters; applied physics letters; nanotechnology; journal of applied physics; journal of crystal growth</td></tr><tr><td>Terms;</td><td>silicon nanowire; molecular beam epitaxy; gaas; germanium nanowire</td></tr></table>"	0.7792	-0.4897	3	200335
"pentacene thin film transistor; pentacene; organic field effect transistor; gate; gate dielectric"	195830	"<table><tr><td>Micro-level field;</td><td>348</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>applied physics letters; organic electronics; advanced materials; japanese journal of applied physics; journal of physical chemistry c</td></tr><tr><td>Terms;</td><td>pentacene thin film transistor; pentacene; organic field effect transistor; gate; gate dielectric</td></tr></table>"	0.546	-0.5717	3	195830
"in ga; cu2znsn; sse; cu2znsns4 thin film; cuinse2"	156007	"<table><tr><td>Micro-level field;</td><td>208</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>thin solid films; ieee photovoltaic specialists conference; solar energy materials and solar cells; journal of alloys and compounds; journal of applied physics</td></tr><tr><td>Terms;</td><td>in ga; cu2znsn; sse; cu2znsns4 thin film; cuinse2</td></tr></table>"	0.7387	-0.5335	3	156007
"absorption enhancement; silicon nanowire array; light trapping; broadband; black silicon"	147656	"<table><tr><td>Micro-level field;</td><td>1247</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>proceedings of spie; optics express; solar energy materials and solar cells; applied physics letters; ieee photovoltaic specialists conference</td></tr><tr><td>Terms;</td><td>absorption enhancement; silicon nanowire array; light trapping; broadband; black silicon</td></tr></table>"	0.7928	-0.4739	3	147656
"white organic light; diode; oled; iridium; host material"	139502	"<table><tr><td>Micro-level field;</td><td>50</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>applied physics letters; synthetic metals; organic electronics; proceedings of spie; journal of applied physics</td></tr><tr><td>Terms;</td><td>white organic light; diode; oled; iridium; host material</td></tr></table>"	0.4888	-0.5882	3	139502
"raman spectroscopy; raman; tip; near field; field optical microscopy"	100616	"<table><tr><td>Micro-level field;</td><td>19</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>proceedings of spie; optics express; applied physics letters; journal of physical chemistry c; nano letters</td></tr><tr><td>Terms;</td><td>raman spectroscopy; raman; tip; near field; field optical microscopy</td></tr></table>"	0.7682	-0.4339	3	100616
"ito film; zinc oxide thin film; indium tin oxide film; zno nanorod array; zno nanowires"	100590	"<table><tr><td>Micro-level field;</td><td>17</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>applied physics letters; thin solid films; applied surface science; journal of applied physics; journal of alloys and compounds</td></tr><tr><td>Terms;</td><td>ito film; zinc oxide thin film; indium tin oxide film; zno nanorod array; zno nanowires</td></tr></table>"	0.7385	-0.5172	3	100590
"czochralski silicon; oxygen precipitation; dislocation; vacancy; screen"	99284	"<table><tr><td>Micro-level field;</td><td>252</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>journal of applied physics; ieee photovoltaic specialists conference; energy procedia; solar energy materials and solar cells; applied physics letters</td></tr><tr><td>Terms;</td><td>czochralski silicon; oxygen precipitation; dislocation; vacancy; screen</td></tr></table>"	0.8114	-0.4677	3	99284
"mos2; black phosphorus; phosphorene; monolayer mos2; transition metal dichalcogenide"	89356	"<table><tr><td>Micro-level field;</td><td>352</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>physical review b; nano letters; acs nano; nanoscale; applied physics letters</td></tr><tr><td>Terms;</td><td>mos2; black phosphorus; phosphorene; monolayer mos2; transition metal dichalcogenide</td></tr></table>"	0.7276	-0.5109	3	89356
