label	sublabel	description	x	y	cluster	weight
"induction generator; variable speed wind turbine; dfig; wind turbine; wind energy conversion system"	21948	"<table><tr><td>Micro-level field;</td><td>639</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>ieee power and energy society general meeting pesgm; ieee transactions on energy conversion; ieee industrial electronics society; iet renewable power generation; renewable energy</td></tr><tr><td>Terms;</td><td>induction generator; variable speed wind turbine; dfig; wind turbine; wind energy conversion system</td></tr></table>"	0.8731	0.234	5	21948
"direct contact membrane distillation; solar pond; solar energy; solar desalination; membrane distillation process"	5340	"<table><tr><td>Micro-level field;</td><td>1605</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering; Life and earth sciences</td></tr><tr><td>Sources;</td><td>desalination; desalination and water treatment; journal of membrane science; solar energy; energy conversion and management</td></tr><tr><td>Terms;</td><td>direct contact membrane distillation; solar pond; solar energy; solar desalination; membrane distillation process</td></tr></table>"	0.5297	-0.3756	3	5340
"lcl filter; shunt active power filter; unified power quality conditioner; upqc; phase pwm rectifier"	4205	"<table><tr><td>Micro-level field;</td><td>337</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>ieee industrial electronics society; ieee transactions on power electronics; ieee energy conversion congress and exposition; ieee transactions on industrial electronics; annual ieee applied power electronics conference and exposition (apec)</td></tr><tr><td>Terms;</td><td>lcl filter; shunt active power filter; unified power quality conditioner; upqc; phase pwm rectifier</td></tr></table>"	0.8804	0.2314	5	4205
"maximum power point tracking; partial shading condition; photovoltaic module; mppt; pv array"	3272	"<table><tr><td>Micro-level field;</td><td>857</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>solar energy; ieee industrial electronics society; ieee photovoltaic specialists conference; renewable energy; energy procedia</td></tr><tr><td>Terms;</td><td>maximum power point tracking; partial shading condition; photovoltaic module; mppt; pv array</td></tr></table>"	0.8707	0.2242	5	3272
"modular multilevel converters; mmc; mmc hvdc; vsc hvdc system; dc fault"	2101	"<table><tr><td>Micro-level field;</td><td>1576</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>ieee transactions on power delivery; ieee energy conversion congress and exposition; ieee transactions on power electronics; european conference on power electronics and applications; ieee power and energy society general meeting pesgm</td></tr><tr><td>Terms;</td><td>modular multilevel converters; mmc; mmc hvdc; vsc hvdc system; dc fault</td></tr></table>"	0.8811	0.2302	5	2101
"dc microgrid; droop control; virtual synchronous generator; hybrid renewable energy system; parallel operation"	2008	"<table><tr><td>Micro-level field;</td><td>530</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>ieee transactions on smart grid; energies; ieee power and energy society general meeting pesgm; ieee industrial electronics society; ieee energy conversion congress and exposition</td></tr><tr><td>Terms;</td><td>dc microgrid; droop control; virtual synchronous generator; hybrid renewable energy system; parallel operation</td></tr></table>"	0.8601	0.2445	5	2008
"wind turbine; wind farm; vertical axis wind turbine"	1833	"<table><tr><td>Micro-level field;</td><td>1332</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>renewable energy; journal of physics conference series; wind energy; energies; energy</td></tr><tr><td>Terms;</td><td>wind turbine; wind farm; vertical axis wind turbine</td></tr></table>"	0.7542	0.0012	3	1833
"multilevel inverter; carrier; selective harmonic elimination; open end; level"	1314	"<table><tr><td>Micro-level field;</td><td>765</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>ieee industrial electronics society; ieee transactions on power electronics; ieee transactions on industrial electronics; ieee energy conversion congress and exposition; annual ieee applied power electronics conference and exposition (apec)</td></tr><tr><td>Terms;</td><td>multilevel inverter; carrier; selective harmonic elimination; open end; level</td></tr></table>"	0.882	0.2287	5	1314
"torque reduction; cogging torque; axial flux permanent magnet machine; magnetic gear; optimal design"	1157	"<table><tr><td>Micro-level field;</td><td>376</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>ieee transactions on magnetics; ieee transactions on industry applications; international conference on electrical machines and systems icems; ieee energy conversion congress and exposition; ieee transactions on industrial electronics</td></tr><tr><td>Terms;</td><td>torque reduction; cogging torque; axial flux permanent magnet machine; magnetic gear; optimal design</td></tr></table>"	0.8789	0.222	5	1157
"z source inverter; high step; transient response; capacitor dc dc converter; z source"	1131	"<table><tr><td>Micro-level field;</td><td>256</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>ieee transactions on power electronics; annual ieee applied power electronics conference and exposition (apec); ieee power electronics specialists conference records; ieee energy conversion congress and exposition; ieee industrial electronics society</td></tr><tr><td>Terms;</td><td>z source inverter; high step; transient response; capacitor dc dc converter; z source</td></tr></table>"	0.8892	0.2158	5	1131
