"TIME" "Pop_1_avg"
"1" "BE10" 1006783.8
"2" "BE21" 1678480.7
"3" "BE22" 809758.2
"4" "BE23" 1383247.7
"5" "BE24" 1037912.7
"6" "BE25" 1139284.6
"7" "BE31" 362569.2
"8" "BE32" 1288096.9
"9" "BE33" 1035455.3
"10" "BE34" 255915.4
"11" "BE35" 455115.8
"12" "BG31" 971647.3
"13" "BG32" 954289.1
"14" "BG33" 999804.6
"15" "BG34" 1140873.9
"16" "BG41" 2125489.6
"17" "BG42" 1571450.5
"18" "CZ01" 1174636.8
"19" "CZ02" 1152983.2
"20" "CZ03" 1180132.8
"21" "CZ04" 1125207.5
"22" "CZ05" 1486485.5
"23" "CZ06" 1648731
"24" "CZ07" 1232289.5
"25" "CZ08" 1254051
"26" "DE11" 3982576.4
"27" "DE12" 2717517.6
"28" "DE13" 2173015.7
"29" "DE14" 1791516.6
"30" "DE21" 4199746
"31" "DE22" 1189076
"32" "DE23" 1085615.4
"33" "DE24" 1103734
"34" "DE25" 1704157.2
"35" "DE26" 1338599.6
"36" "DE27" 1776172.8
"37" "DE30" 3397315.6
"38" "DE40" 2568629.8
"39" "DE50" 662377.5
"40" "DE60" 1738474.7
"41" "DE71" 3761959.3
"42" "DE72" 1060849.1
"43" "DE73" 1255386.9
"44" "DE80" 1726646.3
"45" "DE91" 1654116
"46" "DE92" 2160682.3
"47" "DE93" 1691500.1
"48" "DE94" 2458874
"49" "DEA1" 5234948.7
"50" "DEA2" 4344138.4
"51" "DEA3" 2617891.2
"52" "DEA4" 2062624.7
"53" "DEA5" 3771365.5
"54" "DEB1" 1518633.9
"55" "DEB2" 513808.6
"56" "DEB3" 2015318.2
"57" "DEC0" 1054983.7
"58" "DED2" 1676259
"59" "DEE0" 2511687.4
"60" "DEF0" 2817856
"61" "DEG0" 2361489.8
"62" "EE00" 1364557
"63" "EL30" 3941083.4
"64" "EL41" 198633.5
"65" "EL42" 320449.3
"66" "EL43" 598030.5
"67" "EL51" 595742.6
"68" "EL52" 1875114.5
"69" "EL53" 287197
"70" "EL54" 342265.9
"71" "EL61" 742654.7
"72" "EL62" 206753.3
"73" "EL63" 699883.3
"74" "EL64" 556689.1
"75" "EL65" 587737.6
"76" "ES11" 2722815.5
"77" "ES12" 1065954.5
"78" "ES13" 553944.9
"79" "ES21" 2116519.2
"80" "ES22" 582546.6
"81" "ES23" 294766.9
"82" "ES24" 1256655.5
"83" "ES30" 5804118.4
"84" "ES41" 2490844.3
"85" "ES42" 1874956.6
"86" "ES43" 1071280.9
"87" "ES51" 6801968
"88" "ES52" 4515448.6
"89" "ES53" 931786.3
"90" "ES61" 7700245.1
"91" "ES62" 1299095.7
"92" "ES63" 72667.5
"93" "ES64" 67220.4
"94" "ES70" 1831713.2
"95" "FR10" 11388964.9
"96" "FRB0" 2498735.4
"97" "FRC1" 1626006.5
"98" "FRC2" 1144330
"99" "FRD1" 1449642.6
"100" "FRD2" 1806085.2
"101" "FRE1" 4013737.9
"102" "FRE2" 1886999.6
"103" "FRF1" 1796509
"104" "FRF2" 1339966.2
"105" "FRF3" 2331545.2
"106" "FRG0" 3397039.7
"107" "FRH0" 3051619.9
"108" "FRI1" 3071040.4
