"Region" "KNI" "RD" "K" "C" "CL" "GDP" "P" "M"
"1" "AT12" 0.0434782608695652 "2.64441176470588" 6 0.30975423964984 5593.75 33717 1566220.4 6.14712881651105e-05
"2" "AT13" 0.18 "10.2052941176471" 12 0.30975423964984 21187.2 33717 1617448.9 6.14712881651105e-05
"3" "AT22" 0.0277777777777778 "6.09529411764706" 9 0.30975423964984 11211.1 33717 1194358.4 6.14712881651105e-05
"4" "AT33" 0.0204081632653061 "4.33029411764706" 3 0.30975423964984 11107.42 33717 686029.7 6.14712881651105e-05
"5" "BE10" 0.0967741935483871 "10.8347058823529" 20 0.392432887161502 9950.3 31791 1006783.8 0
"6" "BE21" 0.0909090909090909 "2.86882352941176" 8 0.392432887161502 0 31791 1678480.7 0
"7" "BE23" 0.138461538461538 "12.6905882352941" 143 0.392432887161502 5151.17 31791 1383247.7 0
"8" "BE24" 0.363636363636364 "23.3311764705882" 144 0.392432887161502 37548.64 31791 1037912.7 0
"9" "BE33" 0.111111111111111 "2.47441176470588" 9 0.392432887161502 40301.52 31791 1035455.3 0
"10" "BE35" 0.0493827160493827 "9.44176470588235" 62 0.392432887161502 26174.8 31791 455115.8 0
"11" "CZ01" 0.09375 "12.9488235294118" 56 0.672871167061137 55070.18 13340 1174636.8 0
"12" "CZ05" 0.111111111111111 "2.81352941176471" 2 0.672871167061137 5752.06 13340 1486485.5 0
"13" "DE11" 0.0952380952380952 "8.03470588235294" 19 0.617598956545392 5421.13 30162 3982576.4 9.90927235387333e-06
"14" "DE12" 0.236842105263157 "8.35441176470588" 23 0.617598956545392 0 30162 2717517.6 9.90927235387333e-06
"15" "DE13" 0.0434782608695652 "2.64441176470588" 6 0.617598956545392 11187.5 30162 2173015.7 9.90927235387333e-06
"16" "DE14" 0.0597014925373134 "8.76823529411765" 11 0.617598956545392 10769.92 30162 1791516.6 9.90927235387333e-06
"17" "DE21" 0.356435643564357 "21.3005882352941" 59 0.617598956545392 36242.56 30162 4199746 9.90927235387333e-06
"18" "DE23" 0.0204081632653061 "4.33029411764706" 24 0.617598956545392 11107.42 30162 1085615.4 9.90927235387333e-06
"19" "DE25" 0.0434782608695652 "2.64441176470588" 24 0.617598956545392 11187.5 30162 1704157.2 9.90927235387333e-06
"20" "DE26" 0.0526315789473684 "3.22088235294118" 76 0.617598956545392 11264.4 30162 1338599.6 9.90927235387333e-06
"21" "DE30" 0.263157894736842 "18.0029411764706" 80 0.617598956545392 33418.21 30162 3397315.6 9.90927235387333e-06
"22" "DE40" 0.0204081632653061 "4.33029411764706" 33 0.617598956545392 11107.42 30162 2568629.8 9.90927235387333e-06
"23" "DE50" 0.111111111111111 "2.47441176470588" 9 0.617598956545392 40301.52 30162 662377.5 9.90927235387333e-06
"24" "DE71" 0.0204081632653061 "4.33029411764706" 6 0.617598956545392 5553.71 30162 3761959.3 9.90927235387333e-06
"25" "DE72" 0.148148148148148 "7.25147058823529" 23 0.617598956545392 16749.93 30162 1060849.1 9.90927235387333e-06
"26" "DE80" 0.0555555555555556 "4.43735294117647" 3 0.617598956545392 11449.94 30162 1726646.3 9.90927235387333e-06
"27" "DE91" 0.0597014925373134 "8.76823529411765" 75 0.617598956545392 43079.68 30162 1654116 9.90927235387333e-06
"28" "DE94" 0.0597014925373134 "8.76823529411765" 36 0.617598956545392 21539.84 30162 2458874 9.90927235387333e-06
"29" "DEA1" 0.137931034482759 "7.30676470588235" 5 0.617598956545392 5606.8 30162 5234948.7 9.90927235387333e-06
"30" "DEA2" 0.181818181818182 "7.17764705882353" 24 0.617598956545392 16774.92 30162 4344138.4 9.90927235387333e-06
"31" "DEA3" 0.0204081632653061 "4.33029411764706" 22 0.617598956545392 5553.71 30162 2617891.2 9.90927235387333e-06
"32" "DEA4" 0.142857142857143 "7.36088235294118" 12 0.617598956545392 5571.13 30162 2062624.7 9.90927235387333e-06
"33" "DEA5" 0.0204081632653061 "4.33029411764706" 4 0.617598956545392 0 30162 3771365.5 9.90927235387333e-06
"34" "DEB3" 0.105882352941177 "11.115" 91 0.617598956545392 51183 30162 2015318.2 9.90927235387333e-06
"35" "DEC0" 0.0625 "8.09941176470588" 20 0.617598956545392 10582.42 30162 1054983.7 9.90927235387333e-06
"36" "DED2" 0.301204819277108 "15.78" 42 0.617598956545392 52210.62 30162 1676259 9.90927235387333e-06
"37" "DEE0" 0.0277777777777778 "6.09529411764706" 3 0.617598956545392 0 30162 2511687.4 9.90927235387333e-06
"38" "DEF0" 0.347826086956522 "15.1782352941176" 27 0.617598956545392 52597.1 30162 2817856 9.90927235387333e-06
"39" "DEG0" 0.15 "13.4658823529412" 12 0.617598956545392 15790.11 30162 2361489.8 9.90927235387333e-06
"40" "EE00" 0.142857142857143 "3.25382352941176" 1 0.986660488488556 0 10393 1364557 0
"41" "ES11" 0.0869565217391304 "10.0120588235294" 24 0.580345886078128 5462.7 23088 2722815.5 0
"42" "ES21" 0.0588235294117647 "7.55176470588235" 61 0.580345886078128 15876.57 23088 2116519.2 0
