"Region" "KNI" "RD" "K" "C" "CL" "GDP" "P" "M"
"1" "AT12" 0.215122996871738 "4.25795698924731" 6 0.226888538880813 758444.4 36592 16378335 0.0987490201019065
"2" "AT13" 0.360854986255707 "25.0355913978495" 142 0.226888538880813 6763039.5 36592 17909338 0.0987490201019065
"3" "AT21" 0.239353826766875 "8.65344086021505" 12 0.226888538880813 702631.08 36592 5583134 0.0987490201019065
"4" "AT22" 0.342454717020893 "18.3972043010753" 48 0.226888538880813 2269719.04 36592 12220715 0.0987490201019065
"5" "AT31" 0.325685656806523 "19.3120430107527" 31 0.226888538880813 1293392.7 36592 14389176 0.0987490201019065
"6" "AT32" 0.249332048160173 "2.15709677419355" 2 0.226888538880813 88141.27 36592 5391941 0.0987490201019065
"7" "AT33" 0.373990339725633 "5.45483870967742" 9 0.226888538880813 513419.16 36592 7281649 0.0987490201019065
"8" "AT34" 0.273408172962698 "2.18989247311828" 3 0.226888538880813 263949 36592 3794006 0.0987490201019065
"9" "BE10" 0.342893056105809 "22.1112903225806" 109 0.336977189622149 9671594.52 34313 11720855 0.125556873677177
"10" "BE21" 0.252211311956521 "12.4133333333333" 45 0.336977189622149 4434914.72 34313 18105674 0.125556873677177
"11" "BE22" 0.232315984414969 "11.652688172043" 35 0.336977189622149 3748083.84 34313 8596566 0.125556873677177
"12" "BE23" 0.269282101390674 "17.427311827957" 116 0.336977189622149 4192493.76 34313 14762553 0.125556873677177
"13" "BE24" 0.343072585751646 "27.7895698924731" 268 0.336977189622149 12209052.96 34313 11126238 0.125556873677177
"14" "BE25" 0.243722144172134 "7.04387096774194" 9 0.336977189622149 1121840.58 34313 11797032 0.125556873677177
"15" "BE31" 0.250749006880673 "8.3241935483871" 19 0.336977189622149 636601.44 34313 3928365 0.125556873677177
"16" "BE32" 0.257305449186542 "8.74139784946237" 18 0.336977189622149 1027814.97 34313 13332260 0.125556873677177
"17" "BE33" 0.357117642938605 "12.9003225806452" 22 0.336977189622149 1067108.56 34313 10953618 0.125556873677177
"18" "BE35" 0.223396200465441 "3.38451612903226" 16 0.336977189622149 1464182.97 34313 4872631 0.125556873677177
"19" "BG33" 0.145083815312225 "1.07849462365591" 4 0.505441344452424 0 5817 9508638 0.0605526555685412
"20" "BG34" 0.177040588078157 "1.88741935483871" 3 0.505441344452424 173815.86 5817 10599142 0.0605526555685412
"21" "BG41" 0.238681068269206 "14.3308602150538" 33 0.505441344452424 1586610.84 5817 21226339 0.0605526555685412
"22" "BG42" 0.1975 "1.04322580645161" 1 0.505441344452424 177973.88 5817 14494181 0.0605526555685412
"23" "CY00" 0.263709600675135 "15.6722580645161" 96 0.929431231309884 3928277.55 22387 8535044 0.0860742679411816
"24" "CZ01" 0.270466884001127 "20.4429032258065" 64 0.55316525217991 2575483.2 16291 12603795 0.0140864389603835
"25" "CZ02" 0.227670437851239 "3.26150537634409" 3 0.55316525217991 256482.78 16291 13089097 0.0140864389603835
"26" "CZ03" 0.253424564782902 "9.06903225806452" 26 0.55316525217991 154928.7 16291 12132283 0.0140864389603835
"27" "CZ04" 0.467295764370293 "2.30440860215054" 2 0.55316525217991 177960.28 16291 11245283 0.0140864389603835
"28" "CZ05" 0.401621967252642 "5.38440860215054" 6 0.55316525217991 171941.66 16291 15085520 0.0140864389603835
"29" "CZ06" 0.261329231894801 "9.24279569892473" 12 0.55316525217991 154977.24 16291 16830335 0.0140864389603835
"30" "CZ07" 0.308076448595674 "6.5058064516129" 9 0.55316525217991 417569.65 16291 12224309 0.0140864389603835
"31" "CZ08" 0.260891483023616 "14.7479569892473" 23 0.55316525217991 852740.04 16291 12202979 0.0140864389603835
"32" "DE11" 0.329256959900691 "27.1336559139785" 140 0.553757934724269 6188434.76 34135 40203061 0.226911352623431
"33" "DE12" 0.345326644074841 "29.3756989247312" 153 0.553757934724269 6284840.1 34135 27328488 0.226911352623431
"34" "DE13" 0.311880961997288 "27.6549462365591" 75 0.553757934724269 4705632.32 34135 22001521 0.226911352623431
"35" "DE14" 0.280995644016316 "20.0903225806452" 35 0.553757934724269 2659187.02 34135 18044299 0.226911352623431
"36" "DE21" 0.349711834196275 "26.3701075268817" 313 0.553757934724269 12303167.04 34135 44986521 0.226911352623431
"37" "DE22" 0.218678708499959 "2.28236559139785" 4 0.553757934724269 437594.15 34135 12005856 0.226911352623431
"38" "DE23" 0.229971265426272 "4.4058064516129" 4 0.553757934724269 253848.75 34135 10864815 0.226911352623431
"39" "DE24" 0.357827788306487 "6.26645161290323" 14 0.553757934724269 1172518.62 34135 10630400 0.226911352623431
"40" "DE25" 0.409947825170765 "32.9487096774194" 111 0.553757934724269 6248216.81 34135 17218283 0.226911352623431
"41" "DE26" 0.296131931991685 "13.9833333333333" 35 0.553757934724269 2368904.32 34135 13063501 0.226911352623431
"42" "DE27" 0.278098395731402 "10.757311827957" 16 0.553757934724269 1229150.24 34135 18231304 0.226911352623431
"43" "DE30" 0.414940382140927 "31.9401075268817" 278 0.553757934724269 16260172.74 34135 34667105 0.226911352623431
"44" "DE40" 0.354131472082104 "16.117311827957" 101 0.553757934724269 11412549.72 34135 24777954 0.226911352623431
"45" "DE50" 0.272558529599813 "16.2754838709677" 71 0.553757934724269 5238252.75 34135 6653678 0.226911352623431
"46" "DE60" 0.373892453040525 "16.3310752688172" 49 0.553757934724269 3396036.48 34135 17711125 0.226911352623431
"47" "DE71" 0.391894012043716 "25.038064516129" 134 0.553757934724269 8477233.71 34135 38618806 0.226911352623431
"48" "DE72" 0.417908472653371 "8.81913978494624" 13 0.553757934724269 1994577.12 34135 10349203 0.226911352623431
"49" "DE73" 0.307248420088188 "15.771935483871" 61 0.553757934724269 4738166.97 34135 12111246 0.226911352623431
"50" "DE80" 0.317519665750997 "13.0111827956989" 32 0.553757934724269 1905929.5 34135 16112704 0.226911352623431
"51" "DE91" 0.426248489043248 "26.3832258064516" 112 0.553757934724269 8566364.97 34135 15887431 0.226911352623431
"52" "DE92" 0.385290122956468 "20.5070967741935" 64 0.553757934724269 3646533.28 34135 21198430 0.226911352623431
"53" "DE93" 0.381714876033057 "1.00129032258065" 1 0.553757934724269 0 34135 16867318 0.226911352623431
"54" "DE94" 0.287019652886808 "15.0905376344086" 122 0.553757934724269 9707265.52 34135 24742517 0.226911352623431
"55" "DEA1" 0.354215465166814 "25.368064516129" 87 0.553757934724269 4691200.32 34135 51374826 0.226911352623431
"56" "DEA2" 0.440099816020413 "32.0420430107527" 268 0.553757934724269 9781501.92 34135 43760589 0.226911352623431
"57" "DEA3" 0.240437612837039 "6.38698924731183" 19 0.553757934724269 1549404.21 34135 25943794 0.226911352623431
"58" "DEA4" 0.254846859736832 "8.72978494623656" 13 0.553757934724269 318078.76 34135 20402984 0.226911352623431
"59" "DEA5" 0.312383055650293 "23.7754838709677" 121 0.553757934724269 2934742.51 34135 35845384 0.226911352623431
"60" "DEB1" 0.176201677377802 "2.36333333333333" 2 0.553757934724269 0 34135 14854289 0.226911352623431
"61" "DEB2" 0.300818796724813 "1.07451612903226" 2 0.553757934724269 358091.84 34135 5232053 0.226911352623431
"62" "DEB3" 0.327057264479635 "12.0211827956989" 70 0.553757934724269 3862992.5 34135 20184156 0.226911352623431
"63" "DEC0" 0.241662313783094 "8.4589247311828" 25 0.553757934724269 1102803.24 34135 9973303 0.226911352623431
"64" "DED2" 0.312116875742793 "18.082688172043" 124 0.553757934724269 5896184.08 34135 15992457 0.226911352623431
"65" "DEE0" 0.316465915442528 "16.0791397849462" 64 0.553757934724269 6371419.12 34135 22582983 0.226911352623431
"66" "DEF0" 0.333509097090433 "12.892688172043" 181 0.553757934724269 9687251.2 34135 28414950 0.226911352623431
"67" "DEG0" 0.388726066466456 "19.3782795698925" 64 0.553757934724269 3544036.5 34135 21738080 0.226911352623431
"68" "EE00" 0.278182523745557 "9.35408602150538" 108 0.86590814944774 7930020.05 13364 13214562 0.0937305103626289
"69" "ES11" 0.34689895540601 "17.9911827956989" 108 0.431897262611258 4780255.16 23332 27395572 0.232483154500622
"70" "ES12" 0.267871351345435 "16.479247311828" 31 0.431897262611258 945003.22 23332 10528982 0.232483154500622
"71" "ES13" 0.371445970493711 "10.7759139784946" 19 0.431897262611258 635301.92 23332 5861768 0.232483154500622
"72" "ES21" 0.3325021511169 "24.8938709677419" 246 0.431897262611258 7829149.86 23332 21736762 0.232483154500622
"73" "ES22" 0.283155607455164 "15.7194623655914" 74 0.431897262611258 4201686 23332 6393588 0.232483154500622
"74" "ES23" 0.278844539703578 "5.20666666666667" 7 0.431897262611258 589829.94 23332 3161071 0.232483154500622
"75" "ES24" 0.34505379505308 "15.7552688172043" 126 0.431897262611258 11555514.21 23332 13296757 0.232483154500622
"76" "ES30" 0.486312087905432 "35.9005376344086" 642 0.431897262611258 22582952.28 23332 64463817 0.232483154500622
"77" "ES41" 0.30137026705257 "14.6350537634409" 80 0.431897262611258 3652411 23332 24839409 0.232483154500622
"78" "ES42" 0.270820183337129 "19.7916129032258" 92 0.431897262611258 7984632.5 23332 20679186 0.232483154500622
"79" "ES43" 0.235925216243251 "11.2961290322581" 69 0.431897262611258 5900348 23332 10893630 0.232483154500622
"80" "ES51" 0.392136385542287 "24.6952688172043" 721 0.431897262611258 30038601.28 23332 74670614 0.232483154500622
"81" "ES52" 0.342928802726987 "28.1034408602151" 163 0.431897262611258 3615964 23332 49670316 0.232483154500622
"82" "ES53" 0.276503309346638 "5.75161290322581" 22 0.431897262611258 2865029.04 23332 11268615 0.232483154500622
"83" "ES61" 0.358394831130124 "27.065376344086" 464 0.431897262611258 15240652.23 23332 83817816 0.232483154500622
"84" "ES62" 0.277769161155037 "15.8072043010753" 52 0.431897262611258 4149650.54 23332 14664799 0.232483154500622
"85" "ES70" 0.334672470759915 "9.5694623655914" 27 0.431897262611258 1036788.22 23332 21216331 0.232483154500622
"86" "FI19" 0.31496810197069 "19.2568817204301" 117 0.26112968641573 2843049.72 35528 13722359 0.0745879967731216
"87" "FI1B" 0.266712498073469 "22.0554838709677" 135 0.26112968641573 7376900.4 35528 15939807 0.0745879967731216
"88" "FI1C" 0.317113234671238 "21.7087096774194" 91 0.26112968641573 3479823.12 35528 11583374 0.0745879967731216
"89" "FI1D" 0.297372830749983 "8.55430107526882" 42 0.26112968641573 1375467.96 35528 12966128 0.0745879967731216
"90" "FR10" 0.456087319949001 "34.0133333333333" 620 0.0888118650341178 29847181.32 31753 120365479 0.0806059568160927
"91" "FRB0" 0.33058548563787 "15.7551612903226" 32 0.0888118650341178 2316737.28 31753 25691542 0.0806059568160927
"92" "FRC1" 0.277783143107798 "6.72720430107527" 8 0.0888118650341178 166255.54 31753 16375802 0.0806059568160927
"93" "FRC2" 0.300689702839497 "13.684623655914" 75 0.0888118650341178 4329517.35 31753 11771555 0.0806059568160927
"94" "FRD1" 0.231203360554677 "9.13397849462366" 28 0.0888118650341178 1395563.94 31753 14754914 0.0806059568160927
"95" "FRD2" 0.278950500041943 "12.7341935483871" 46 0.0888118650341178 1713026.89 31753 18511223 0.0806059568160927
"96" "FRE1" 0.326258933812486 "19.2283870967742" 255 0.0888118650341178 12142261.1 31753 40632139 0.0806059568160927
"97" "FRE2" 0.274434587110793 "16.8850537634409" 68 0.0888118650341178 2053731 31753 19268846 0.0806059568160927
"98" "FRF1" 0.33290314038359 "13.5287096774194" 37 0.0888118650341178 2449649.07 31753 18754196 0.0806059568160927
"99" "FRF2" 0.22957171250378 "9.20752688172043" 19 0.0888118650341178 230624.79 31753 13330134 0.0806059568160927
"100" "FRF3" 0.278151099669285 "16.7898924731183" 107 0.0888118650341178 2483725.68 31753 23400842 0.0806059568160927
"101" "FRG0" 0.285811429426043 "17.9664516129032" 84 0.0888118650341178 3751820.24 31753 36952422 0.0806059568160927
"102" "FRH0" 0.258219743465372 "15.3872043010753" 153 0.0888118650341178 4598082.06 31753 32790881 0.0806059568160927
"103" "FRI1" 0.249487110487314 "11.4793548387097" 48 0.0888118650341178 3864944.2 31753 33506669 0.0806059568160927
"104" "FRI3" 0.325180233136827 "12.9824731182796" 69 0.0888118650341178 2412880.32 31753 17960081 0.0806059568160927
"105" "FRJ1" 0.402171316774809 "15.3416129032258" 39 0.0888118650341178 2199158.45 31753 27542259 0.0806059568160927
"106" "FRJ2" 0.407663019777885 "29.6462365591398" 168 0.0888118650341178 7777845.18 31753 29823001 0.0806059568160927
"107" "FRK1" 0.313904822734337 "9.59150537634409" 13 0.0888118650341178 394691.25 31753 13599185 0.0806059568160927
"108" "FRK2" 0.337977334910262 "30.3170967741935" 288 0.0888118650341178 10338041.84 31753 64654807 0.0806059568160927
"109" "FRL0" 0.333888483201592 "21.5350537634409" 101 0.0888118650341178 5179250.23 31753 49867236 0.0806059568160927
"110" "FRM0" 0.222031572915989 "3.19537634408602" 8 0.0888118650341178 687929.12 31753 3258342 0.0806059568160927
"111" "FRY3" 0.4036 "1.08827956989247" 1 0.0888118650341178 0 31753 2558845 0.0806059568160927
"112" "FRY4" 0.196460440214159 "1.14795698924731" 1 0.0888118650341178 0 31753 8431349 0.0806059568160927
"113" "HU21" 0.223526709392422 "5.04408602150538" 6 0.413556825810768 248120.82 11196 10710253 0.0375481497761686
"114" "HU22" 0.485864562787638 "1.02150537634409" 1 0.413556825810768 89639.27 11196 9871196 0.0375481497761686
"115" "HU31" 0.532244897959183 "1.15096774193548" 1 0.413556825810768 89879.48 11196 11694739 0.0375481497761686
"116" "HU32" 0.421325168365219 "4.40365591397849" 16 0.413556825810768 1045749.36 11196 14782302 0.0375481497761686
"117" "HU33" 0.237883585341213 "2.34129032258065" 3 0.413556825810768 351113.52 11196 12757962 0.0375481497761686
"118" "IS00" 0.326746159483795 "6.25032258064516" 7 0.000155586405390224 501444.72 35828 3308604 0.000656840410983928
"119" "ITC1" 0.335267746610348 "21.8550537634409" 202 0.630276519598721 11505793.14 26442 43820532 0.0776670697251914
"120" "ITC3" 0.305304154215008 "20.3886021505376" 123 0.630276519598721 4776265.9 26442 15684564 0.0776670697251914
"121" "ITC4" 0.349986004264469 "33.25" 384 0.630276519598721 15716826.94 26442 98810847 0.0776670697251914
"122" "ITF1" 0.292818129556811 "14.6945161290323" 57 0.630276519598721 3470328 26442 13164088 0.0776670697251914
"123" "ITF2" 0.300818796724813 "1.07451612903226" 2 0.630276519598721 447614.8 26442 3119196 0.0776670697251914
"124" "ITF3" 0.332608023439845 "29.3876344086021" 350 0.630276519598721 11762574.21 26442 58046978 0.0776670697251914
"125" "ITF4" 0.262989181779945 "18.6365591397849" 117 0.630276519598721 5976330.66 26442 40547745 0.0776670697251914
"126" "ITF5" 0.558058196726623 "6.85182795698925" 9 0.630276519598721 947593.57 26442 5739028 0.0776670697251914
"127" "ITF6" 0.272054739635639 "16.358064516129" 52 0.630276519598721 1455825.42 26442 19607369 0.0776670697251914
"128" "ITG1" 0.301995897141827 "22.2632258064516" 213 0.630276519598721 10096878.4 26442 50256328 0.0776670697251914
"129" "ITG2" 0.239699151615601 "19.0050537634409" 56 0.630276519598721 2015404.8 26442 16470104 0.0776670697251914
"130" "ITH1" 0.204421315912103 "5.39333333333333" 13 0.630276519598721 1572314.41 26442 5151906 0.0776670697251914
"131" "ITH2" 0.288906612164845 "15.8197849462366" 39 0.630276519598721 3779056.88 26442 5330566 0.0776670697251914
"132" "ITH3" 0.333627989732717 "21.3449462365591" 208 0.630276519598721 6900314.72 26442 48895997 0.0776670697251914
"133" "ITH4" 0.273948052059272 "15.7129032258065" 69 0.630276519598721 4007998.94 26442 12203585 0.0776670697251914
"134" "ITI1" 0.43336665227606 "25.3275268817204" 234 0.630276519598721 16334073.14 26442 37115207 0.0776670697251914
"135" "ITI2" 0.256982254740611 "10.5362365591398" 40 0.630276519598721 4453401.42 26442 8863643 0.0776670697251914
"136" "ITI4" 0.396220662539002 "31.7867741935484" 261 0.630276519598721 14589219.42 26442 57201074 0.0776670697251914
"137" "LT01" 0.239389479423882 "7.24591397849462" 9 0.449566337871631 481247.94 11515 8088018 0.107567755788985
"138" "LT02" 0.220627401348641 "9.55709677419355" 19 0.449566337871631 988355.29 11515 21286373 0.107567755788985
"139" "LU00" 0.240513807592061 "9.72408602150538" 22 0.417343873719151 1163626.5 80707 5571251 0.0503405822990916
"140" "LV00" 0.276012366374307 "9.87881720430108" 32 0.43443445802258 2508590.08 10613 20024731 0.0224219950797831
"141" "MT00" 0.190435638174584 "5.90860215053763" 20 0.948637633848123 1357865.65 19128 4418158 0
