"Region" "KNI" "RD" "K" "C" "CL" "GDP" "P" "M"
"1" "AT13" 0.145 "19.6972727272727" 2 0.30975423964984 0 33717 1617448.9 6.14712881651105e-05
"2" "BE21" 0.095 "12.8790909090909" 3 0.392432887161502 0 31791 1678480.7 0
"3" "CY00" 0.0810606060606062 "14.3936363636364" 108 0.998796563919215 0 22532 733845.7 0
"4" "CZ01" 0.231404958677686 "12.8790909090909" 40 0.672871167061137 4333.42 13340 1174636.8 0
"5" "DE11" 0.120807453416149 "25" 12 0.617598956545392 14583.45 30162 3982576.4 9.90927235387333e-06
"6" "DE12" 0.0661157024793386 "7.57636363636364" 22 0.617598956545392 0 30162 2717517.6 9.90927235387333e-06
"7" "DE13" 0.0661157024793386 "7.57636363636364" 88 0.617598956545392 6450.12 30162 2173015.7 9.90927235387333e-06
"8" "DE21" 0.0661157024793386 "7.57636363636364" 88 0.617598956545392 6450.12 30162 4199746 9.90927235387333e-06
"9" "DE30" 0.095 "12.8790909090909" 32 0.617598956545392 0 30162 3397315.6 9.90927235387333e-06
"10" "DE40" 0.0775047258979204 "20.4545454545455" 1 0.617598956545392 0 30162 2568629.8 9.90927235387333e-06
"11" "DE71" 0.231404958677686 "12.8790909090909" 16 0.617598956545392 2166.71 30162 3761959.3 9.90927235387333e-06
"12" "DE92" 0.0856420626895856 "33.3345454545455" 17 0.617598956545392 17399.97 30162 2160682.3 9.90927235387333e-06
"13" "DEA2" 0.08680485338726 "27.2736363636364" 38 0.617598956545392 12658.45 30162 4344138.4 9.90927235387333e-06
"14" "DEA4" 0.32 "4.54636363636364" 2 0.617598956545392 0 30162 2062624.7 9.90927235387333e-06
"15" "DEF0" 0.17 "6.81909090909091" 3 0.617598956545392 4450.08 30162 2817856 9.90927235387333e-06
"16" "ES11" 0.32 "4.54636363636364" 4 0.580345886078128 0 23088 2722815.5 0
"17" "ES24" 0.0775047258979204 "20.4545454545455" 4 0.580345886078128 0 23088 1256655.5 0
"18" "ES51" 0.168571428571428 "30.3027272727273" 84 0.580345886078128 0 23088 6801968 0
"19" "ES52" 0.17 "6.81909090909091" 1 0.580345886078128 0 23088 4515448.6 0
"20" "ES61" 0.0946112710818595 "15.1518181818182" 206 0.580345886078128 10500.24 23088 7700245.1 0
"21" "ES62" 0.0661157024793386 "7.57636363636364" 20 0.580345886078128 0 23088 1299095.7 0
"22" "ES70" 0.0661157024793386 "7.57636363636364" 624 0.580345886078128 10750.2 23088 1831713.2 0
"23" "FI19" 0.131487889273356 "7.57636363636364" 4 0.403302501287675 0 33755 1329872.2 0
"24" "FI1B" 0.170546017450042 "27.2727272727273" 18 0.403302501287675 0 33755 1437640.9 0
"25" "FI1D" 0.131487889273356 "7.57636363636364" 4 0.403302501287675 0 33755 1302275.6 0
"26" "FR10" 0.18183465085639 "52.2727272727273" 98 0.0947575660558704 21450.26 30125 11388964.9 0
"27" "FRB0" 0.0775047258979204 "20.4545454545455" 17 0.0947575660558704 24016.85 30125 2498735.4 0
"28" "FRF3" 0.0775047258979204 "20.4545454545455" 13 0.0947575660558704 10916.75 30125 2331545.2 0
"29" "FRH0" 0.095 "12.8790909090909" 8 0.0947575660558704 2150.02 30125 3051619.9 0
"30" "FRI1" 0.0775047258979204 "20.4545454545455" 10 0.0947575660558704 10916.75 30125 3071040.4 0
"31" "FRJ2" 0.1625 "18.9390909090909" 39 0.0947575660558704 2050.02 30125 2724267.5 0
"32" "FRK2" 0.0661157024793386 "7.57636363636364" 754 0.0947575660558704 19350.36 30125 5932409.7 0
"33" "FRL0" 0.121212121212121 "20.4545454545455" 28 0.0947575660558704 1916.71 30125 4736934.8 0
"34" "ITC1" 0.0975 "6.81909090909091" 6 0.795818095200157 0 27941 4265591.9 0.0079404676847064
"35" "ITF4" 0.095 "12.8790909090909" 3 0.795818095200157 0 27941 4030893.8 0.0079404676847064
"36" "ITF5" 0.0661157024793386 "7.57636363636364" 20 0.795818095200157 0 27941 592342.2 0.0079404676847064
"37" "ITF6" 0.17 "6.81909090909091" 88 0.795818095200157 0 27941 1993356.9 0.0079404676847064
"38" "ITG1" 0.0661157024793386 "7.57636363636364" 70 0.795818095200157 2150.04 27941 4974225.2 0.0079404676847064
"39" "ITH2" 0.09625 "19.6963636363636" 25 0.795818095200157 5325.06 27941 490991.9 0.0079404676847064
"40" "ITH3" 0.111764705882353 "20.4554545454545" 40 0.795818095200157 5250.06 27941 4641505.2 0.0079404676847064
"41" "ITI1" 0.143333333333333 "25.7590909090909" 24 0.795818095200157 0 27941 3549021.7 0.0079404676847064
"42" "ITI4" 0.124705882352941 "28.03" 132 0.795818095200157 0 27941 5214042.5 0.0079404676847064
"43" "NL12" 0.17 "6.81909090909091" 16 0.883675925447269 6675.12 36884 638849.2 0
"44" "NL21" 0.17 "6.81909090909091" 16 0.883675925447269 6675.12 36884 1104889 0
"45" "NL22" 0.145751633986928 "14.3936363636364" 61 0.883675925447269 9125.2 36884 1963176 0
"46" "NL31" 0.157608695652174 "21.97" 10 0.883675925447269 4166.7 36884 1163440 0
"47" "NL33" 0.108827183047132 "47.7272727272727" 62 0.883675925447269 17658.29 36884 3444949.4 0
"48" "NO06" 0.17 "6.81909090909091" 4 0.00703646223484651 4450.08 65530 401320.2 0
"49" "PL21" 0.0775047258979204 "20.4545454545455" 1 0.963395699341923 0 7584 3251712.6 0
"50" "PL41" 0.0975 "6.81909090909091" 40 0.963395699341923 2025.04 7584 3365141.4 0
"51" "PT16" 0.0810606060606062 "14.3936363636364" 22 0.682219843010679 0 16652 2347379.9 0.00153047644397125
"52" "SE11" 0.0775047258979204 "20.4545454545455" 4 0.0345515973294629 4366.7 37233 1878853.6 0
"53" "SE12" 0.5 "6.06181818181818" 1 0.0345515973294629 0 37233 1513024.5 0
"54" "SE22" 0.139182263814617 "33.3336363636364" 123 0.0345515973294629 4550.07 37233 1312399 0
"55" "SE23" 0.095 "12.8790909090909" 10 0.0345515973294629 2150.02 37233 1803003.8 0
"56" "SE33" 0.0661157024793386 "7.57636363636364" 22 0.0345515973294629 0 37233 509792.8 0
"57" "UKC1" 0.0775047258979204 "20.4545454545455" 3 0.747772145065209 0 29447 1151819.7 0
"58" "UKC2" 0.0975 "6.81909090909091" 6 0.747772145065209 4050.08 29447 1398045.9 0
"59" "UKD4" 0.131487889273356 "7.57636363636364" 11 0.747772145065209 0 29447 1433192.2 0
"60" "UKF1" 0.116260430390865 "40.1518181818182" 23 0.747772145065209 4725.06 29447 2022060.5 0
"61" "UKF2" 0.0810606060606062 "14.3936363636364" 48 0.747772145065209 0 29447 1605328.5 0
"62" "UKG3" 0.131487889273356 "7.57636363636364" 6 0.747772145065209 2000.04 29447 2607528.6 0
"63" "UKH2" 0.140223930481283 "27.2727272727273" 12 0.747772145065209 1391.71 29447 1631660.9 0
"64" "UKJ1" 0.231404958677686 "12.8790909090909" 16 0.747772145065209 4333.42 29447 2141806.8 0
"65" "UKJ3" 0.145 "19.6972727272727" 2 0.747772145065209 1825.04 29447 1812337.5 0
"66" "UKK1" 0.0775047258979204 "20.4545454545455" 2 0.747772145065209 2183.35 29447 2224808 0
"67" "UKL2" 0.0975 "6.81909090909091" 3 0.747772145065209 4050.08 29447 1076937.2 0
"68" "UKN0" 0.0661157024793386 "7.57636363636364" 20 0.747772145065209 0 29447 1723643.2 0
