"Region" "KNI" "RD" "K" "C" "CL" "GDP" "P" "M"
"1" "AT12" 0.125381531923114 "14.853125" 40 0.226888538880813 105501.2 36592 1637833.5 0.601699750057148
"2" "AT13" 0.185188317633979 "18.8265625" 430 0.226888538880813 279999.2 36592 1790933.8 0.601699750057148
"3" "AT22" 0.240492051052396 "14.2484375" 114 0.226888538880813 102347.64 36592 1222071.5 0.601699750057148
"4" "AT31" 0.112426035502958 "2.6153125" 32 0.226888538880813 0 36592 1438917.6 0.601699750057148
"5" "AT33" 0.0815972222222223 "4.030625" 48 0.226888538880813 12341.12 36592 728164.9 0.601699750057148
"6" "BE10" 0.0999512039596722 "10.7778125" 21 0.336977189622149 44579.92 34313 1172085.5 0.0837970145035898
"7" "BE21" 0.11413694195019 "17.6934375" 76 0.336977189622149 114124.45 34313 1810567.4 0.0837970145035898
"8" "BE22" 0.143413963086094 "5.9096875" 16 0.336977189622149 46916.8 34313 859656.6 0.0837970145035898
"9" "BE23" 0.111146517492318 "21.57375" 197 0.336977189622149 297447.36 34313 1476255.3 0.0837970145035898
"10" "BE24" 0.126739737360907 "19.42625" 204 0.336977189622149 177124.02 34313 1112623.8 0.0837970145035898
"11" "BE25" 0.0857975843398584 "3.6184375" 5 0.336977189622149 36742.11 34313 1179703.2 0.0837970145035898
"12" "BE31" 0.100603641992536 "16.7575" 12 0.336977189622149 21082.42 34313 392836.5 0.0837970145035898
"13" "BE33" 0.198347107438016 "3.29375" 8 0.336977189622149 37614.69 34313 1095361.8 0.0837970145035898
"14" "BG41" 0.111808418005897 "17.6253125" 16 0.505441344452424 18751.1 5817 2122633.9 0.297226463997246
"15" "CY00" 0.068244170096022 "3.495" 4 0.929431231309884 12267.9 22387 853504.4 0
"16" "CZ01" 0.130542196897905 "34.27" 102 0.55316525217991 39222.2 16291 1260379.5 0.105404031822535
"17" "CZ05" 0.137174211248285 "3.1290625" 475 0.55316525217991 0 16291 1508552 0.105404031822535
"18" "CZ06" 0.068244170096022 "3.495" 4 0.55316525217991 12267.9 16291 1683033.5 0.105404031822535
"19" "DE11" 0.14547739051832 "30.331875" 173 0.553757934724269 87766.2 34135 4020306.1 0.0588268060991823
"20" "DE12" 0.148664985886847 "22.4021875" 122 0.553757934724269 203544.8 34135 2732848.8 0.0588268060991823
"21" "DE13" 0.136293568381228 "24.669375" 179 0.553757934724269 210951.93 34135 2200152.1 0.0588268060991823
"22" "DE14" 0.144884823848238 "11.2578125" 23 0.553757934724269 0 34135 1804429.9 0.0588268060991823
"23" "DE21" 0.129461020036939 "24.1959375" 63 0.553757934724269 121528.55 34135 4498652.1 0.0588268060991823
"24" "DE23" 0.10261748958953 "8.74625" 5 0.553757934724269 0 34135 1086481.5 0.0588268060991823
"25" "DE25" 0.114830222751534 "14.4865625" 66 0.553757934724269 72024.61 34135 1721828.3 0.0588268060991823
"26" "DE26" 0.2525 "3.47375" 4 0.553757934724269 25107.2 34135 1306350.1 0.0588268060991823
"27" "DE30" 0.135271104675896 "21.1459375" 174 0.553757934724269 297937.9 34135 3466710.5 0.0588268060991823
"28" "DE40" 0.121142578379421 "13.951875" 193 0.553757934724269 252920.16 34135 2477795.4 0.0588268060991823
"29" "DE50" 0.111309294711884 "12.516875" 28 0.553757934724269 56104.65 34135 665367.8 0.0588268060991823
"30" "DE60" 0.123625477588296 "14.6140625" 61 0.553757934724269 140580.31 34135 1771112.5 0.0588268060991823
"31" "DE71" 0.135398598487477 "8.139375" 12 0.553757934724269 23657.24 34135 3861880.6 0.0588268060991823
"32" "DE72" 0.131862745098039 "7.5046875" 56 0.553757934724269 23882.2 34135 1034920.3 0.0588268060991823
"33" "DE73" 0.074527959331881 "7.5259375" 95 0.553757934724269 93243.2 34135 1211124.6 0.0588268060991823
"34" "DE80" 0.166468489892984 "3.7471875" 4 0.553757934724269 24844.74 34135 1611270.4 0.0588268060991823
"35" "DE91" 0.120302467410764 "18.1175" 82 0.553757934724269 128808.68 34135 1588743.1 0.0588268060991823
"36" "DE92" 0.128558310376492 "3.62125" 4 0.553757934724269 24864.3 34135 2119843 0.0588268060991823
"37" "DE94" 0.111044999107717 "16.9915625" 21 0.553757934724269 41009.72 34135 2474251.7 0.0588268060991823
"38" "DEA1" 0.169354034168849 "18.4125" 111 0.553757934724269 54211.85 34135 5137482.6 0.0588268060991823
"39" "DEA2" 0.148426737676388 "17.416875" 138 0.553757934724269 103404.3 34135 4376058.9 0.0588268060991823
"40" "DEA3" 0.11 "4.9" 4 0.553757934724269 12436.92 34135 2594379.4 0.0588268060991823
"41" "DEA4" 0.1575 "8.37375" 3 0.553757934724269 0 34135 2040298.4 0.0588268060991823
"42" "DEA5" 0.159227396775123 "17.8028125" 33 0.553757934724269 63233.76 34135 3584538.4 0.0588268060991823
"43" "DEB3" 0.133258251537148 "15.321875" 115 0.553757934724269 173398.88 34135 2018415.6 0.0588268060991823
"44" "DED2" 0.118067995806349 "21.6640625" 69 0.553757934724269 74445.2 34135 1599245.7 0.0588268060991823
"45" "DEE0" 0.112194754406857 "15.8278125" 25 0.553757934724269 21314.44 34135 2258298.3 0.0588268060991823
"46" "DEF0" 0.068244170096022 "3.495" 8 0.553757934724269 24535.8 34135 2841495 0.0588268060991823
"47" "DEG0" 0.11085309256041 "11.33125" 41 0.553757934724269 34206.78 34135 2173808 0.0588268060991823
"48" "DK01" 0.140469590230336 "14.0128125" 197 0.423391392264351 218477.6 45989 1759864.4 0.000642085969438031
"49" "DK02" 0.120513784461153 "8.6796875" 26 0.423391392264351 58226.45 45989 824361.3 0.000642085969438031
"50" "DK03" 0.0910607983873915 "14.4690625" 33 0.423391392264351 71145.76 45989 1208503.6 0.000642085969438031
"51" "DK04" 0.0876656475982535 "16.616875" 75 0.423391392264351 79692.8 45989 1284630.7 0.000642085969438031
"52" "DK05" 0.159966492969958 "17.408125" 384 0.423391392264351 286119.8 45989 583515.1 0.000642085969438031
"53" "EE00" 0.120818779697284 "10.0015625" 22 0.86590814944774 33793.92 13364 1321456.2 0.0023288426805484
"54" "ES11" 0.121867610503974 "15.8334375" 144 0.431897262611258 277615.26 23332 2739557.2 0.194160703605475
"55" "ES12" 0.10399832512458 "12.128125" 23 0.431897262611258 10851.15 23332 1052898.2 0.194160703605475
"56" "ES13" 0.0716510341510342 "9.261875" 19 0.431897262611258 22719.14 23332 586176.8 0.194160703605475
"57" "ES21" 0.068244170096022 "3.495" 397 0.431897262611258 184018.5 23332 2173676.2 0.194160703605475
"58" "ES22" 0.153326904532305 "6.1359375" 17 0.431897262611258 0 23332 639358.8 0.194160703605475
"59" "ES24" 0.0966750745241917 "8.5190625" 26 0.431897262611258 93845.36 23332 1329675.7 0.194160703605475
"60" "ES30" 0.138911223547843 "31.8478125" 319 0.431897262611258 296249.52 23332 6446381.7 0.194160703605475
"61" "ES41" 0.124900542543009 "18.1809375" 49 0.431897262611258 111480.05 23332 2483940.9 0.194160703605475
"62" "ES42" 0.115806579041873 "11.9025" 62 0.431897262611258 97253.46 23332 2067918.6 0.194160703605475
"63" "ES43" 0.185185185185185 "3.3959375" 12 0.431897262611258 0 23332 1089363 0.194160703605475
"64" "ES51" 0.171797217017638 "33.375" 584 0.431897262611258 305940.16 23332 7467061.4 0.194160703605475
"65" "ES52" 0.101363938036412 "12.7496875" 41 0.431897262611258 11064.68 23332 4967031.6 0.194160703605475
"66" "ES53" 0.0815972222222223 "4.030625" 36 0.431897262611258 24682.24 23332 1126861.5 0.194160703605475
"67" "ES61" 0.1320027234711 "16.935625" 358 0.431897262611258 257254.5 23332 8381781.6 0.194160703605475
"68" "ES62" 0.161179698216735 "6.5246875" 78 0.431897262611258 0 23332 1466479.9 0.194160703605475
"69" "ES70" 0.0999891041971128 "15.295625" 77 0.431897262611258 82172.08 23332 2121633.1 0.194160703605475
"70" "FI19" 0.10300616920826 "7.2396875" 7 0.26112968641573 35177.7 35528 1372235.9 0.213032437736575
"71" "FI1B" 0.217947356326122 "13.6815625" 68 0.26112968641573 126506.27 35528 1593980.7 0.213032437736575
"72" "FI1C" 0.118372457854212 "18.46625" 19 0.26112968641573 49665.2 35528 1158337.4 0.213032437736575
"73" "FI1D" 0.128558310376492 "3.62125" 4 0.26112968641573 37296.45 35528 1296612.8 0.213032437736575
"74" "FR10" 0.156474129857823 "13.655625" 1696 0.0888118650341178 543640.8 31753 12036547.9 0.203795754101712
"75" "FRB0" 0.118060701054431 "11.3990625" 24 0.0888118650341178 90307.2 31753 2569154.2 0.203795754101712
"76" "FRC2" 0.125317809612316 "10.019375" 33 0.0888118650341178 55272.2 31753 1177155.5 0.203795754101712
"77" "FRD1" 0.137174211248285 "3.1290625" 57 0.0888118650341178 25261.12 31753 1475491.4 0.203795754101712
"78" "FRD2" 0.185778455801339 "6.041875" 70 0.0888118650341178 36691.68 31753 1851122.3 0.203795754101712
"79" "FRE1" 0.134328535370791 "28.0965625" 67 0.0888118650341178 52567.26 31753 4063213.9 0.203795754101712
"80" "FRE2" 0.182215743440233 "6.7509375" 26 0.0888118650341178 60949.35 31753 1926884.6 0.203795754101712
"81" "FRF1" 0.138950480413895 "8.0325" 44 0.0888118650341178 11949.29 31753 1875419.6 0.203795754101712
"82" "FRF2" 0.375 "2.770625" 1 0.0888118650341178 0 31753 1333013.4 0.203795754101712
"83" "FRF3" 0.112426035502958 "2.6153125" 16 0.0888118650341178 0 31753 2340084.2 0.203795754101712
"84" "FRG0" 0.0951823165678588 "8.8959375" 346 0.0888118650341178 234444.6 31753 3695242.2 0.203795754101712
"85" "FRH0" 0.0934239184239185 "16.805625" 267 0.0888118650341178 240720.24 31753 3279088.1 0.203795754101712
"86" "FRI1" 0.120646776280579 "16.0434375" 66 0.0888118650341178 109986.4 31753 3350666.9 0.203795754101712
"87" "FRI3" 0.201176937356467 "9.234375" 539 0.0888118650341178 143151.72 31753 1796008.1 0.203795754101712
"88" "FRJ1" 0.112297166181538 "12.0371875" 137 0.0888118650341178 81132.73 31753 2754225.9 0.203795754101712
"89" "FRJ2" 0.177407487173215 "17.181875" 124 0.0888118650341178 106611.6 31753 2982300.1 0.203795754101712
"90" "FRK2" 0.20012317314737 "15.17875" 2236 0.0888118650341178 474058.2 31753 6465480.7 0.203795754101712
"91" "FRL0" 0.107430576920886 "18.0328125" 53 0.0888118650341178 70547.12 31753 4986723.6 0.203795754101712
"92" "HR03" 0.164639593211022 "6.423125" 78 0.358984914976781 0 10979 1398994.6 0.496129347910579
"93" "HU11" 0.110553713110281 "9.1315625" 20 0.413556825810768 47083.72 11196 1743486.1 0.00652407777996275
"94" "HU21" 0.0857975843398584 "3.6184375" 3 0.413556825810768 0 11196 1071025.3 0.00652407777996275
"95" "HU32" 0.113945578231293 "4.3934375" 6 0.413556825810768 12359.87 11196 1478230.2 0.00652407777996275
"96" "HU33" 0.1575 "8.37375" 31 0.413556825810768 144442.8 11196 1275796.2 0.00652407777996275
"97" "IS00" 0.0815972222222223 "4.030625" 32 0.000155586405390224 0 35828 330860.4 0.712829588502274
"98" "ITC1" 0.101838019156225 "21.770625" 283 0.630276519598721 212170.86 26442 4382053.2 0.195912424024907
"99" "ITC3" 0.100611945114011 "10.9725" 156 0.630276519598721 65096.4 26442 1568456.4 0.195912424024907
"100" "ITC4" 0.12286093988934 "19.216875" 282 0.630276519598721 255628.25 26442 9881084.7 0.195912424024907
"101" "ITF1" 0.0887855943659515 "12.000625" 24 0.630276519598721 42120.04 26442 1316408.8 0.195912424024907
"102" "ITF3" 0.0952260359667767 "10.5040625" 199 0.630276519598721 184707.04 26442 5804697.8 0.195912424024907
"103" "ITF4" 0.173162325948309 "24.338125" 116 0.630276519598721 90377.7 26442 4054774.5 0.195912424024907
"104" "ITF5" 0.131862745098039 "7.5046875" 7 0.630276519598721 35823.3 26442 573902.8 0.195912424024907
