"Region" "KNI" "RD" "K" "C" "CL" "GDP" "P" "M"
"1" "AT12" 0.123533363188536 "6.085" 16 0.226888538880813 38648.16 36592 1637833.5 0
"2" "AT13" 0.114692242360143 "9.83555555555555" 395 0.226888538880813 184122.6 36592 1790933.8 0
"3" "AT22" 0.106498652672374 "10.135" 14 0.226888538880813 11982.59 36592 1222071.5 0
"4" "AT31" 0.38 "2.29333333333333" 2 0.226888538880813 0 36592 1438917.6 0
"5" "AT32" 0.0711662075298439 "3.19861111111111" 6 0.226888538880813 13120.09 36592 539194.1 0
"6" "AT33" 0.159209157127992 "4.07333333333333" 12 0.226888538880813 27311.7 36592 728164.9 0
"7" "BE10" 0.0954631379962193 "4.25444444444444" 5 0.336977189622149 0 34313 1172085.5 0
"8" "BE21" 0.144050697176071 "19.8472222222222" 144 0.336977189622149 172639.2 34313 1810567.4 0
"9" "BE22" 0.0711662075298439 "3.19861111111111" 30 0.336977189622149 13120.09 34313 859656.6 0
"10" "BE23" 0.119664025775806 "17.6133333333333" 588 0.336977189622149 506554.65 34313 1476255.3 0
"11" "BE24" 0.147883031476952 "26.0119444444444" 470 0.336977189622149 411282 34313 1112623.8 0
"12" "BE25" 0.0910438121721857 "14.6613888888889" 66 0.336977189622149 171852.6 34313 1179703.2 0
"13" "BE31" 0.112308184143222 "7.61972222222222" 13 0.336977189622149 78238.56 34313 392836.5 0
"14" "BE32" 0.142091997479521 "7.01611111111111" 6 0.336977189622149 26254.6 34313 1333226 0
"15" "BE33" 0.716049382716049 "2.73861111111111" 6 0.336977189622149 27736.44 34313 1095361.8 0
"16" "BE35" 0.0979162152820191 "10.2777777777778" 69 0.336977189622149 36203.13 34313 487263.1 0
"17" "BG41" 0.102551984877127 "8.28583333333333" 26 0.505441344452424 25734.18 5817 2122633.9 0
"18" "CY00" 0.0582248520710058 "4.23472222222222" 6 0.929431231309884 13513.05 22387 853504.4 0
"19" "CZ01" 0.132458781175044 "16.1238888888889" 212 0.55316525217991 198930.42 16291 1260379.5 0
"20" "CZ03" 0.236294896030246 "4.01111111111111" 6 0.55316525217991 13727.3 16291 1213228.3 0
"21" "CZ04" 0.156087408949011 "3.17" 4 0.55316525217991 27138.66 16291 1124528.3 0
"22" "CZ05" 0.1744 "2.56194444444444" 510 0.55316525217991 27430.72 16291 1508552 0
"23" "CZ06" 0.099030463276311 "17.1058333333333" 60 0.55316525217991 42856.56 16291 1683033.5 0
"24" "CZ07" 0.119870312016175 "7.425" 4 0.55316525217991 12928.19 16291 1222430.9 0
"25" "CZ08" 0.156087408949011 "3.17" 8 0.55316525217991 27138.66 16291 1220297.9 0
"26" "DE11" 0.128086530244914 "20.3366666666667" 308 0.553757934724269 222182.94 34135 4020306.1 0
"27" "DE12" 0.151489419342195 "13.8566666666667" 177 0.553757934724269 227793.09 34135 2732848.8 0
"28" "DE13" 0.0954631379962193 "4.25444444444444" 23 0.553757934724269 26934.18 34135 2200152.1 0
"29" "DE21" 0.124510309659358 "11.9380555555556" 288 0.553757934724269 298568.14 34135 4498652.1 0
"30" "DE22" 0.38 "2.29333333333333" 2 0.553757934724269 0 34135 1200585.6 0
"31" "DE24" 0.098305972931846 "6.36888888888889" 49 0.553757934724269 12581.19 34135 1063040 0
"32" "DE25" 0.101740928982495 "12.5288888888889" 91 0.553757934724269 156372.44 34135 1721828.3 0
"33" "DE26" 0.115436849253056 "3.15166666666667" 4 0.553757934724269 0 34135 1306350.1 0
"34" "DE30" 0.147780567810337 "22.2777777777778" 209 0.553757934724269 270001.89 34135 3466710.5 0
"35" "DE40" 0.131827455987102 "14.4563888888889" 23 0.553757934724269 58739.4 34135 2477795.4 0
"36" "DE50" 0.170977292473319 "12.2516666666667" 93 0.553757934724269 83401.15 34135 665367.8 0
"37" "DE60" 0.173699563977064 "9.30333333333333" 73 0.553757934724269 102662.24 34135 1771112.5 0
"38" "DE71" 0.135062078824408 "16.3802777777778" 119 0.553757934724269 77546.91 34135 3861880.6 0
"39" "DE72" 0.115916955017301 "3.58888888888889" 1 0.553757934724269 0 34135 1034920.3 0
"40" "DE73" 0.0582248520710058 "4.23472222222222" 117 0.553757934724269 27026.1 34135 1211124.6 0
"41" "DE80" 0.18192627824019 "2.90444444444444" 4 0.553757934724269 27141.46 34135 1611270.4 0
"42" "DE91" 0.1059242756653 "18.2158333333333" 190 0.553757934724269 198169.56 34135 1588743.1 0
"43" "DE92" 0.156087408949011 "3.17" 20 0.553757934724269 13569.33 34135 2119843 0
"44" "DE94" 0.0972734238941136 "9.94527777777778" 51 0.553757934724269 95902.48 34135 2474251.7 0
"45" "DEA1" 0.128816613381228 "18.6586111111111" 208 0.553757934724269 133379.09 34135 5137482.6 0
"46" "DEA2" 0.15464142862639 "12.8475" 172 0.553757934724269 94086.72 34135 4376058.9 0
"47" "DEA3" 0.100703297518974 "8.67333333333333" 28 0.553757934724269 35674.59 34135 2594379.4 0
"48" "DEA4" 0.201285206453377 "6.48027777777778" 3 0.553757934724269 0 34135 2040298.4 0
"49" "DEA5" 0.107383461155221 "8.82083333333333" 38 0.553757934724269 23359.6 34135 3584538.4 0
"50" "DEB3" 0.156958105574706 "12.0358333333333" 188 0.553757934724269 216332.1 34135 2018415.6 0
"51" "DEC0" 0.0863814616755794 "6.78777777777778" 72 0.553757934724269 75909.72 34135 997330.3 0
"52" "DED2" 0.109833416271561 "16.8780555555556" 65 0.553757934724269 74916.73 34135 1599245.7 0
"53" "DEE0" 0.105323625078332 "6.15694444444444" 22 0.553757934724269 63482.5 34135 2258298.3 0
"54" "DEF0" 0.136937604653603 "12.9675" 67 0.553757934724269 48909.92 34135 2841495 0
"55" "DEG0" 0.105557379169029 "7.40638888888889" 28 0.553757934724269 75932.16 34135 2173808 0
"56" "DK01" 0.134766656361692 "12.7325" 512 0.423391392264351 560915.86 45989 1759864.4 0
"57" "DK02" 0.0839669421487604 "3.84083333333333" 10 0.423391392264351 13513.45 45989 824361.3 0
