"Region" "KNI" "RD" "K" "C" "CL" "GDP" "P" "M"
"1" "AT11" 1.91109936120237 "0.780508474576271" 615 0.226888538880813 11644756.8 36592 288558.4 0.0385373818125627
"2" "AT12" 1.8676057143644 "6.2602311248074" 1984 0.226888538880813 50826531.03 36592 1637833.5 0.0385373818125627
"3" "AT13" 2.30425726261206 "26.7503852080123" 86216 0.226888538880813 697941405 36592 1790933.8 0.0385373818125627
"4" "AT21" 1.85497079267105 "5.9015562403698" 1723 0.226888538880813 47438587.35 36592 558313.4 0.0385373818125627
"5" "AT22" 2.3277188975029 "15.8575038520801" 138179 0.226888538880813 615719874 36592 1222071.5 0.0385373818125627
"6" "AT31" 2.21153241826236 "7.11191063174114" 141642 0.226888538880813 467224992 36592 1438917.6 0.0385373818125627
"7" "AT32" 1.68106203095147 "4.94374422187981" 4162 0.226888538880813 49030065.72 36592 539194.1 0.0385373818125627
"8" "AT33" 1.91454815647253 "12.1052080123267" 7144 0.226888538880813 107214285.46 36592 728164.9 0.0385373818125627
"9" "AT34" 1.69241357657654 "2.8013405238829" 2529 0.226888538880813 23557628 36592 379400.6 0.0385373818125627
"10" "BE10" 2.08740879593924 "16.9551309707242" 40319 0.336977189622149 364785351 34313 1172085.5 0.000270820025374659
"11" "BE21" 1.95523528720985 "17.1936055469954" 49036 0.336977189622149 547749490.09 34313 1810567.4 0.000270820025374659
"12" "BE22" 1.79162584862656 "5.15590138674884" 155893 0.336977189622149 437778666.64 34313 859656.6 0.000270820025374659
"13" "BE23" 2.21389082655909 "17.667688751926" 99117 0.336977189622149 618027872.64 34313 1476255.3 0.000270820025374659
"14" "BE24" 2.47552538101831 "20.2880277349769" 297915 0.336977189622149 1267195531.02 34313 1112623.8 0.000270820025374659
"15" "BE25" 1.45044271711219 "3.39500770416025" 611 0.336977189622149 25994744.72 34313 1179703.2 0.000270820025374659
"16" "BE31" 2.04523171607342 "11.6953775038521" 10665 0.336977189622149 125810829.78 34313 392836.5 0.000270820025374659
"17" "BE32" 1.81634435863167 "8.88436055469954" 74582 0.336977189622149 495412892.4 34313 1333226 0.000270820025374659
"18" "BE33" 1.9692263027515 "12.1779661016949" 25009 0.336977189622149 188548437.69 34313 1095361.8 0.000270820025374659
"19" "BE34" 0.905217315888592 "0.298921417565485" 6 0.336977189622149 1460649.69 34313 279368 0.000270820025374659
"20" "BE35" 1.78521122150962 "11.2345916795069" 39982 0.336977189622149 288013448.84 34313 487263.1 0.000270820025374659
"21" "BG31" 1.22676050794983 "0.318705701078582" 31 0.505441344452424 1949788.48 5817 803296.7 0.0773287556332427
"22" "BG32" 1.55179649841972 "1.05611710323575" 297 0.505441344452424 8678936.16 5817 829529.7 0.0773287556332427
"23" "BG33" 1.49705709636182 "1.83523882896764" 110 0.505441344452424 4274883.45 5817 950863.8 0.0773287556332427
"24" "BG34" 1.4570674648923 "1.09520801232666" 80 0.505441344452424 2887805.88 5817 1059914.2 0.0773287556332427
"25" "BG41" 1.94041191502466 "17.4100462249615" 32487 0.505441344452424 260422320 5817 2122633.9 0.0773287556332427
"26" "BG42" 1.9775325469785 "3.27312788906009" 955 0.505441344452424 19266836.44 5817 1449418.1 0.0773287556332427
"27" "CY00" 1.95547247185045 "9.30491525423729" 53327 0.929431231309884 199096361.91 22387 853504.4 0.0270115890108336
"28" "CZ01" 2.32820614632638 "26.2640677966102" 138282 0.55316525217991 931710161.06 16291 1260379.5 0.103269946963654
"29" "CZ02" 1.8419492597252 "8.10240369799692" 4937 0.55316525217991 120232019.76 16291 1308909.7 0.103269946963654
"30" "CZ03" 1.87531607297231 "11.8304314329738" 7078 0.55316525217991 115604422.84 16291 1213228.3 0.103269946963654
"31" "CZ04" 1.6335077913956 "5.90913713405239" 2291 0.55316525217991 69642839.76 16291 1124528.3 0.103269946963654
"32" "CZ05" 1.92721264093791 "12.2130200308166" 18850 0.55316525217991 170281941.44 16291 1508552 0.103269946963654
"33" "CZ06" 2.12879824513986 "20.6813251155624" 30794 0.55316525217991 285006680.5 16291 1683033.5 0.103269946963654
"34" "CZ07" 1.86584645801956 "12.309907550077" 16480 0.55316525217991 194022144.93 16291 1222430.9 0.103269946963654
"35" "CZ08" 1.64543191049496 "7.74724191063174" 3115 0.55316525217991 42693466.76 16291 1220297.9 0.103269946963654
"36" "DE11" 2.43648392433763 "20.513312788906" 149301 0.553757934724269 1014767389.16 34135 4020306.1 0.195753363176362
"37" "DE12" 2.32820997901519 "19.4762095531587" 416929 0.553757934724269 1589243195.3 34135 2732848.8 0.195753363176362
"38" "DE13" 2.20950111778228 "15.9228967642527" 269926 0.553757934724269 1108277853.3 34135 2200152.1 0.195753363176362
"39" "DE14" 2.11701905716485 "15.6277966101695" 109389 0.553757934724269 753325490.38 34135 1804429.9 0.195753363176362
"40" "DE21" 2.53296363758836 "17.1551309707242" 537456 0.553757934724269 1745878733.68 34135 4498652.1 0.195753363176362
"41" "DE22" 1.54335313178666 "3.52343605546995" 676 0.553757934724269 18083762.58 34135 1200585.6 0.195753363176362
"42" "DE23" 2.01297476775466 "14.1233281972265" 33946 0.553757934724269 411088162.05 34135 1086481.5 0.195753363176362
"43" "DE24" 2.08724041571615 "9.21428351309707" 99217 0.553757934724269 329691716.4 34135 1063040 0.195753363176362
"44" "DE25" 2.16340897921556 "11.6780739599384" 593259 0.553757934724269 1180540220.2 34135 1721828.3 0.195753363176362
"45" "DE26" 2.05662550339589 "10.0287519260401" 141492 0.553757934724269 568208462.76 34135 1306350.1 0.195753363176362
"46" "DE27" 1.90444093586974 "6.99654853620955" 22361 0.553757934724269 198765781.76 34135 1823130.4 0.195753363176362
"47" "DE30" 2.30358118039215 "19.4303235747304" 511485 0.553757934724269 2597714357.76 34135 3466710.5 0.195753363176362
"48" "DE40" 2.16359955053323 "17.4957473035439" 84791 0.553757934724269 699677661.5 34135 2477795.4 0.195753363176362
"49" "DE50" 2.04225498669023 "16.9442989214176" 39274 0.553757934724269 321699798.56 34135 665367.8 0.195753363176362
"50" "DE60" 2.23903016787277 "16.65656394453" 97987 0.553757934724269 814748125.6 34135 1771112.5 0.195753363176362
"51" "DE71" 2.30824749615609 "30.7224499229584" 96023 0.553757934724269 767536224.32 34135 3861880.6 0.195753363176362
"52" "DE72" 2.08168087583553 "15.1420955315871" 73886 0.553757934724269 457860893.92 34135 1034920.3 0.195753363176362
"53" "DE73" 1.98061487527115 "9.14449922958397" 13618 0.553757934724269 119881222.76 34135 1211124.6 0.195753363176362
"54" "DE80" 2.13894314675691 "16.1287365177196" 19111 0.553757934724269 229423018.48 34135 1611270.4 0.195753363176362
"55" "DE91" 2.27807134682578 "20.444468412943" 94055 0.553757934724269 654242395.2 34135 1588743.1 0.195753363176362
"56" "DE92" 2.17776405698384 "13.0660400616333" 56355 0.553757934724269 360697111.63 34135 2119843 0.195753363176362
"57" "DE93" 1.58219921901103 "1.87453004622496" 343 0.553757934724269 14757193.5 34135 1686731.8 0.195753363176362
"58" "DE94" 1.89607215750438 "10.5797072419106" 46118 0.553757934724269 341558502.56 34135 2474251.7 0.195753363176362
"59" "DEA1" 2.36026848485715 "20.4606933744222" 215253 0.553757934724269 1030648597.5 34135 5137482.6 0.195753363176362
"60" "DEA2" 2.54898436603153 "22.8664560862866" 343421 0.553757934724269 1611287357.7 34135 4376058.9 0.195753363176362
"61" "DEA3" 2.19860732391273 "19.8261787365177" 75678 0.553757934724269 440009456.25 34135 2594379.4 0.195753363176362
"62" "DEA4" 2.10377369209756 "16.5402003081664" 29674 0.553757934724269 279304414.28 34135 2040298.4 0.195753363176362
"63" "DEA5" 2.13822881555995 "24.0022342064715" 64591 0.553757934724269 637416296.88 34135 3584538.4 0.195753363176362
"64" "DEB1" 1.68228175740222 "1.7195531587057" 5999 0.553757934724269 22479752.2 34135 1485428.9 0.195753363176362
"65" "DEB2" 1.2386709213922 "0.628721109399076" 41 0.553757934724269 4361229.45 34135 523205.3 0.195753363176362
"66" "DEB3" 2.18816888381735 "14.9836825885978" 285957 0.553757934724269 1312212297.27 34135 2018415.6 0.195753363176362
"67" "DEC0" 2.10125379359488 "17.0368258859784" 19855 0.553757934724269 201773765.34 34135 997330.3 0.195753363176362
"68" "DED2" 2.28125307927794 "20.0789830508475" 378641 0.553757934724269 1646043663.48 34135 1599245.7 0.195753363176362
"69" "DEE0" 2.17678783911 "17.7802157164869" 72881 0.553757934724269 536646900.84 34135 2258298.3 0.195753363176362
"70" "DEF0" 1.92571649147613 "20.0567950693374" 34781 0.553757934724269 409352195.78 34135 2841495 0.195753363176362
"71" "DEG0" 2.29492873901664 "13.9692141756549" 332027 0.553757934724269 1014275098.71 34135 2173808 0.195753363176362
"72" "DK01" 2.4279600917584 "20.8009244992296" 174599 0.423391392264351 789477114.7 45989 1759864.4 0
"73" "DK02" 2.28696356915799 "8.12587057010786" 54783 0.423391392264351 296289723.32 45989 824361.3 0
"74" "DK03" 1.99344101433032 "11.7594298921418" 27036 0.423391392264351 220120227.41 45989 1208503.6 0
"75" "DK04" 2.01104379972198 "13.8244530046225" 49487 0.423391392264351 280611477.36 45989 1284630.7 0
"76" "DK05" 2.21382676064976 "10.157750385208" 53850 0.423391392264351 366432790.57 45989 583515.1 0
"77" "EE00" 1.83783274643659 "12.4963482280431" 37818 0.86590814944774 274125620.33 13364 1321456.2 0.00639890984206409
"78" "ES11" 2.23708075511691 "19.5145608628659" 50155 0.431897262611258 368125135.44 23332 2739557.2 0.0505320788306933
"79" "ES12" 1.98934416062896 "15.6527889060092" 14091 0.431897262611258 162504059.15 23332 1052898.2 0.0505320788306933
"80" "ES13" 1.90965706763016 "7.91024653312789" 7509 0.431897262611258 84755197.3 23332 586176.8 0.0505320788306933
"81" "ES21" 2.01993523708275 "19.2569183359014" 88614 0.431897262611258 624892020.3 23332 2173676.2 0.0505320788306933
"82" "ES22" 1.68970896930965 "8.9975654853621" 8969 0.431897262611258 75702131.82 23332 639358.8 0.0505320788306933
"83" "ES23" 1.50902237216889 "4.45531587057011" 2369 0.431897262611258 42848174.16 23332 316107.1 0.0505320788306933
"84" "ES24" 2.14151981225515 "18.4608012326656" 74030 0.431897262611258 509930513.4 23332 1329675.7 0.0505320788306933
"85" "ES30" 2.47929951693744 "25.8674730354391" 567039 0.431897262611258 2121204444.8 23332 6446381.7 0.0505320788306933
"86" "ES41" 1.94310845776825 "17.6225423728814" 17986 0.431897262611258 236544036.39 23332 2483940.9 0.0505320788306933
"87" "ES42" 1.77134095371117 "10.8640677966102" 51950 0.431897262611258 233556634.4 23332 2067918.6 0.0505320788306933
"88" "ES43" 1.79730333406185 "6.60591679506934" 19431 0.431897262611258 84068971.44 23332 1089363 0.0505320788306933
"89" "ES51" 2.30179476384052 "23.6906163328197" 843754 0.431897262611258 2015223974.72 23332 7467061.4 0.0505320788306933
"90" "ES52" 2.30563676716263 "21.2023266563945" 242073 0.431897262611258 959996841.41 23332 4967031.6 0.0505320788306933
"91" "ES53" 1.84888736146999 "6.21767334360555" 4257 0.431897262611258 73059685.59 23332 1126861.5 0.0505320788306933
"92" "ES61" 2.23365644119268 "22.6539753466872" 203640 0.431897262611258 866347503.45 23332 8381781.6 0.0505320788306933
"93" "ES62" 1.87783991756902 "8.58536209553159" 30366 0.431897262611258 127514077.59 23332 1466479.9 0.0505320788306933
"94" "ES64" 1.06904435299497 "0.146486902927581" 4 0.431897262611258 488681.4 23332 82787.4 0.0505320788306933
"95" "ES70" 1.83495608986039 "8.14171032357473" 30468 0.431897262611258 157592555.1 23332 2121633.1 0.0505320788306933
