"Region" "KNI" "RD" "K" "C" "CL" "GDP" "P" "M"
"1" "AT11" 0.64 "0.686687898089172" 8 0.226888538880813 237233.67 36592 288558.4 0
"2" "AT12" 0.347247021067208 "5.22796178343949" 159 0.226888538880813 1323638.82 36592 1637833.5 0
"3" "AT13" 0.449776291656181 "14.3587261146497" 1723 0.226888538880813 7580040.58 36592 1790933.8 0
"4" "AT21" 0.455410543286517 "4.09904458598726" 56 0.226888538880813 677775.87 36592 558313.4 0
"5" "AT22" 0.47356958159317 "10.9435031847134" 1452 0.226888538880813 6897011.52 36592 1222071.5 0
"6" "AT31" 0.381169167165815 "8.12503184713376" 681 0.226888538880813 6269951.7 36592 1438917.6 0
"7" "AT32" 0.535359653223755 "2.44713375796178" 22 0.226888538880813 845706.07 36592 539194.1 0
"8" "AT33" 0.278049881568694 "5.31859872611465" 96 0.226888538880813 1370472.47 36592 728164.9 0
"9" "AT34" 0.351673951384095 "1.91044585987261" 99 0.226888538880813 385894.55 36592 379400.6 0
"10" "BE10" 0.546823858944257 "12.3421656050955" 474 0.336977189622149 3550503.39 34313 1172085.5 0
"11" "BE21" 0.486323653199451 "16.2147133757962" 735 0.336977189622149 8034428.31 34313 1810567.4 0
"12" "BE22" 0.346252568096198 "10.0026751592357" 546 0.336977189622149 4519624.76 34313 859656.6 0
"13" "BE23" 0.518503473676636 "10.6175159235669" 3018 0.336977189622149 14041273.08 34313 1476255.3 0
"14" "BE24" 0.580409709498019 "22.795923566879" 2903 0.336977189622149 14678466.24 34313 1112623.8 0
"15" "BE25" 0.189745956696311 "1.21267515923567" 134 0.336977189622149 2237462.52 34313 1179703.2 0
"16" "BE31" 0.448615377377785 "7.68101910828026" 130 0.336977189622149 1770603 34313 392836.5 0
"17" "BE32" 0.514367564937206 "12.6112101910828" 494 0.336977189622149 4980748.92 34313 1333226 0
"18" "BE33" 0.486045446622422 "11.0606369426752" 1113 0.336977189622149 6541899.84 34313 1095361.8 0
"19" "BE34" 0.254336608468226 "1.14382165605096" 5 0.336977189622149 155482.26 34313 279368 0
"20" "BE35" 0.522532629991832 "13.5654140127389" 532 0.336977189622149 3548023.56 34313 487263.1 0
"21" "BG32" 0.233234714003945 "0.680636942675159" 2 0.505441344452424 78506.86 5817 829529.7 0
"22" "BG33" 0.3996 "0.630891719745223" 4 0.505441344452424 78724.21 5817 950863.8 0
"23" "BG34" 0.283418074462851 "1.36133757961783" 8 0.505441344452424 388062.15 5817 1059914.2 0
"24" "BG41" 0.458703513212994 "10.9676433121019" 448 0.505441344452424 2555246.92 5817 2122633.9 0
"25" "BG42" 0.373521391358431 "1.81968152866242" 99 0.505441344452424 232370.64 5817 1449418.1 0
"26" "CY00" 0.426828550989504 "12.6501910828025" 740 0.929431231309884 3079455.51 22387 853504.4 0
"27" "CZ01" 0.520510029118702 "19.1115923566879" 1124 0.55316525217991 7725642.24 16291 1260379.5 0
"28" "CZ02" 0.318006269338084 "2.67477707006369" 28 0.55316525217991 303676.8 16291 1308909.7 0
"29" "CZ03" 0.359032390485379 "5.4684076433121" 146 0.55316525217991 1680045.35 16291 1213228.3 0
"30" "CZ04" 0.536147186147185 "1.83764331210191" 85 0.55316525217991 311457.56 16291 1124528.3 0
"31" "CZ05" 0.409367582616628 "7.11789808917197" 204 0.55316525217991 1699817.76 16291 1508552 0
"32" "CZ06" 0.538666503175736 "9.50426751592357" 506 0.55316525217991 1272541.32 16291 1683033.5 0
"33" "CZ07" 0.303515988261938 "4.66171974522293" 131 0.55316525217991 1312129.8 16291 1222430.9 0
"34" "CZ08" 0.357830474275826 "5.31611464968153" 126 0.55316525217991 1022878.78 16291 1220297.9 0
"35" "DE11" 0.501812846178044 "14.7084076433121" 3027 0.553757934724269 17367159.66 34135 4020306.1 1.06102259235406e-05
"36" "DE12" 0.681352355063539 "25.0323566878981" 2619 0.553757934724269 15030139.14 34135 2732848.8 1.06102259235406e-05
"37" "DE13" 0.538600004634611 "15.3920382165605" 3168 0.553757934724269 18427834.95 34135 2200152.1 1.06102259235406e-05
