"Region" "KNI" "RD" "K" "C" "CL" "GDP" "P" "M"
"1" "AT12" 1.49112426035503 "0.706845238095238" 2 0.30975423964984 0 33717 1566220.4 0.0343344377781343
"2" "AT13" 0.609152563250383 "15.2356547619048" 427 0.30975423964984 1477602.6 33717 1617448.9 0.0343344377781343
"3" "AT21" 0.313683071930774 "0.886369047619048" 3 0.30975423964984 70850.06 33717 559362.2 0.0343344377781343
"4" "AT22" 0.52962884978127 "6.49577380952381" 90 0.30975423964984 694750.98 33717 1194358.4 0.0343344377781343
"5" "AT31" 0.574756675268085 "2.97803571428571" 87 0.30975423964984 137896.64 33717 1390404.9 0.0343344377781343
"6" "AT33" 0.549061860606853 "1.53107142857143" 4 0.30975423964984 0 33717 686029.7 0.0343344377781343
"7" "BE10" 0.500917968894655 "5.29880952380952" 1225 0.392432887161502 1245824.78 31791 1006783.8 0.0115418820163172
"8" "BE21" 0.569721361528994 "3.28922619047619" 19 0.392432887161502 69149.04 31791 1678480.7 0.0115418820163172
"9" "BE23" 0.590210789284657 "4.65458333333333" 178 0.392432887161502 271819.44 31791 1383247.7 0.0115418820163172
"10" "BE24" 0.805809786363824 "11.601369047619" 685 0.392432887161502 717807.92 31791 1037912.7 0.0115418820163172
"11" "BE25" 0.273242630385488 "0.687321428571429" 50 0.392432887161502 141496.6 31791 1139284.6 0.0115418820163172
"12" "BE32" 0.328724414712822 "3.54238095238095" 55 0.392432887161502 577388.34 31791 1288096.9 0.0115418820163172
"13" "BE33" 0.683268678408276 "7.0802380952381" 122 0.392432887161502 197222.64 31791 1035455.3 0.0115418820163172
"14" "BE35" 0.358996539792388 "0.747380952380952" 6 0.392432887161502 141786.84 31791 455115.8 0.0115418820163172
"15" "BG33" 0.223760092272204 "0.914404761904762" 12 0.51357458651207 35413.99 4085 999804.6 0.00466911195856959
"16" "BG41" 0.478706913387364 "3.53440476190476" 12 0.51357458651207 34274.89 4085 2125489.6 0.00466911195856959
"17" "CY00" 0.556253369272238 "1.58416666666667" 391 0.998796563919215 70349.36 22532 733845.7 0
"18" "CZ01" 0.673466812853879 "8.37386904761905" 82 0.672871167061137 130097.12 13340 1174636.8 0.00378462765529744
"19" "CZ03" 0.491866387649545 "1.73130952380952" 3 0.672871167061137 0 13340 1180132.8 0.00378462765529744
"20" "CZ04" 0.223760092272204 "0.914404761904762" 60 0.672871167061137 70827.98 13340 1125207.5 0.00378462765529744
"21" "CZ06" 0.764477884176926 "1.47732142857143" 7 0.672871167061137 35255.15 13340 1648731 0.00378462765529744
"22" "CZ07" 0.394335511982571 "1.36303571428571" 3 0.672871167061137 0 13340 1232289.5 0.00378462765529744
"23" "DE11" 0.577141442689593 "18.4067857142857" 449 0.617598956545392 1378076.49 30162 3982576.4 0.137915601075817
"24" "DE12" 0.752665218050476 "13.1290476190476" 310 0.617598956545392 371959.92 30162 2717517.6 0.137915601075817
"25" "DE13" 0.624718976316698 "9.37732142857143" 434 0.617598956545392 792927.75 30162 2173015.7 0.137915601075817
"26" "DE14" 0.560970056297138 "10.2002976190476" 193 0.617598956545392 473497.35 30162 1791516.6 0.137915601075817
"27" "DE21" 0.890654038530365 "17.0796428571429" 735 0.617598956545392 1713690.4 30162 4199746 0.137915601075817
"28" "DE23" 0.302169421487602 "1.03041666666667" 6 0.617598956545392 35381.99 30162 1085615.4 0.137915601075817
"29" "DE24" 0.410663447851344 "3.32357142857143" 50 0.617598956545392 343114.6 30162 1103734 0.137915601075817
"30" "DE25" 0.722560981845116 "13.9059523809524" 296 0.617598956545392 1291586.7 30162 1704157.2 0.137915601075817
"31" "DE26" 0.424639849453624 "5.23845238095238" 42 0.617598956545392 268466.56 30162 1338599.6 0.137915601075817
"32" "DE27" 0.393842974400967 "3.25940476190476" 96 0.617598956545392 273601.04 30162 1776172.8 0.137915601075817
"33" "DE30" 0.679796655009541 "17.1814285714286" 963 0.617598956545392 1931861.64 30162 3397315.6 0.137915601075817
"34" "DE40" 0.551716626928191 "7.74565476190476" 159 0.617598956545392 1062772.26 30162 2568629.8 0.137915601075817
"35" "DE50" 0.369556234242487 "2.22809523809524" 23 0.617598956545392 138297.2 30162 662377.5 0.137915601075817
"36" "DE60" 0.674552241215232 "9.50952380952381" 65 0.617598956545392 414541.01 30162 1738474.7 0.137915601075817
"37" "DE71" 0.538070888118954 "10.7828571428571" 690 0.617598956545392 809668.86 30162 3761959.3 0.137915601075817
"38" "DE72" 0.514384925849905 "4.48470238095238" 39 0.617598956545392 404379.48 30162 1060849.1 0.137915601075817
"39" "DE73" 0.385831204864045 "5.8" 389 0.617598956545392 330358 30162 1255386.9 0.137915601075817
"40" "DE80" 0.58153964107224 "2.26863095238095" 26 0.617598956545392 244348.79 30162 1726646.3 0.137915601075817
"41" "DE91" 0.832045983976752 "17.832619047619" 287 0.617598956545392 673198.27 30162 1654116 0.137915601075817
"42" "DE92" 0.934628261758994 "6.12892857142857" 92 0.617598956545392 167504.05 30162 2160682.3 0.137915601075817
"43" "DE93" 1.38888888888889 "0.690178571428571" 1 0.617598956545392 0 30162 1691500.1 0.137915601075817
"44" "DE94" 0.747637085137085 "5.11357142857143" 331 0.617598956545392 806689.2 30162 2458874 0.137915601075817
"45" "DEA1" 0.635708882884859 "11.3714285714286" 1339 0.617598956545392 1190191.92 30162 5234948.7 0.137915601075817
"46" "DEA2" 0.745206816321825 "20.1325" 859 0.617598956545392 1119623.6 30162 4344138.4 0.137915601075817
"47" "DEA3" 0.606015629613063 "3.285" 110 0.617598956545392 137594.76 30162 2617891.2 0.137915601075817
"48" "DEA4" 0.64375200527438 "5.21982142857143" 56 0.617598956545392 201270.36 30162 2062624.7 0.137915601075817
"49" "DEA5" 0.584179488133455 "15.1095833333333" 254 0.617598956545392 979957.44 30162 3771365.5 0.137915601075817
"50" "DEB1" 0.594135802469137 "1.84541666666667" 3 0.617598956545392 35173.68 30162 1518633.9 0.137915601075817
"51" "DEB2" 0.258362168396771 "0.708452380952381" 2 0.617598956545392 35304.74 30162 513808.6 0.137915601075817
"52" "DEB3" 0.636619396674863 "9.19041666666667" 144 0.617598956545392 1084644.54 30162 2015318.2 0.137915601075817
"53" "DEC0" 0.52360231884192 "5.48363095238095" 20 0.617598956545392 66456.26 30162 1054983.7 0.137915601075817
"54" "DED2" 0.467092543304885 "11.795" 440 0.617598956545392 1311552.44 30162 1676259 0.137915601075817
"55" "DEE0" 0.645035923399579 "9.05428571428571" 119 0.617598956545392 514030.56 30162 2511687.4 0.137915601075817
"56" "DEF0" 0.495147470810369 "8.26803571428571" 572 0.617598956545392 549501.88 30162 2817856 0.137915601075817
"57" "DEG0" 0.787294049082838 "6.33797619047619" 267 0.617598956545392 363655.05 30162 2361489.8 0.137915601075817
"58" "EE00" 0.4130859375 "0.879940476190476" 54 0.986660488488556 35482.56 10393 1364557 0.0116092717820428
"59" "ES11" 0.458473626514268 "6.59488095238095" 245 0.580345886078128 359381.44 23088 2722815.5 0.143808104139136
"60" "ES12" 0.661395682512112 "4.73422619047619" 54 0.580345886078128 102546.21 23088 1065954.5 0.143808104139136
"61" "ES13" 0.526574404761904 "2.87089285714286" 176 0.580345886078128 242234.86 23088 553944.9 0.143808104139136
